modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
vgg16,cifar100,eval,1,2025-09-29T21:45:00,codecarbon,53160dd8-4c1d-4ede-bdb1-103d058b72d9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.706689016893506,2.6821221720868305e-05,1.5715353796374665e-05,37.000002664,95.94784738904218,70.0,1.235074297910012e-05,4.54044807653986e-05,2.3344751826435745e-05,8.109997557093446e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,2,2025-09-29T21:45:21,codecarbon,2c8142ce-8bb2-4a58-bc4e-24e323bf58c9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.5895127789117396,2.487854213239541e-05,1.565167796224231e-05,37.000000333,97.78781426179324,70.0,1.1133732268569688e-05,4.306086778171903e-05,2.103124835347344e-05,7.522584840376215e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,3,2025-09-29T21:45:43,codecarbon,37b3c0fe-f0dd-42cd-9727-86de684c957b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.4690620647743344,2.1930830604145764e-05,1.4928457503607652e-05,37.000000333,92.58440992457297,70.0,9.90551542881496e-06,3.769336348824481e-05,1.8713902982158795e-05,6.631278189921856e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,4,2025-09-29T21:46:04,codecarbon,64998cb2-0105-4874-aab2-fa50a5b4e9f9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.5540628070011735,2.3925558677004187e-05,1.539549017531189e-05,37.000021312,95.65938749459052,70.0,1.0778020874485558e-05,4.120558852349632e-05,2.036067992707508e-05,7.234428932505695e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,5,2025-09-29T21:46:25,codecarbon,f38e76d8-94b5-4836-8480-b7d27d91fd67,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.633243686053902,2.6260348881260032e-05,1.607864711524338e-05,37.000002664,101.42139088437531,70.0,1.1589788908371417e-05,4.591725895153331e-05,2.18970029666606e-05,7.940405082656533e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,6,2025-09-29T21:46:47,codecarbon,3c659245-03cd-4e96-bdba-6de5fa838ef6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.6225666026584804,2.624165205872704e-05,1.617292751849547e-05,37.000002664,102.6204404046965,70.0,1.1480737579145262e-05,4.616503693455343e-05,2.170174227923983e-05,7.934751679293852e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,7,2025-09-29T21:47:09,codecarbon,c47a6b1e-9d09-479d-a6c4-6bd2241ccf24,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.6064726430922749,2.5419151691770187e-05,1.5822959576106598e-05,37.000000333,99.17281915199644,70.0,1.131428723666284e-05,4.416475755419924e-05,2.138145778767972e-05,7.686050257854179e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,8,2025-09-29T21:47:30,codecarbon,45073f05-0f89-4540-8466-e51c03729e56,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.5965662328526378,2.5387033321718366e-05,1.5901021078441898e-05,37.000000333,100.75146363414454,70.0,1.1174204862713306e-05,4.448253558564375e-05,2.110664503933448e-05,7.676338548769153e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,9,2025-09-29T21:47:51,codecarbon,57f97881-f22a-4277-a24e-8fc1d2750f7e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.4680127259343865,2.33224158690758e-05,1.588706654721344e-05,37.000002664,103.10542595696496,70.0,9.891346800890987e-06,4.194170022486787e-05,1.868750483133934e-05,7.05205518570982e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,10,2025-09-29T21:48:13,codecarbon,34606809-0120-42d1-8cb0-c6139b3e6ba0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.433341617230326,2.2965734947481045e-05,1.602251317579e-05,37.000000333,105.41010107476605,70.0,9.540322199696809e-06,4.187447794379296e-05,1.802724700084784e-05,6.94420471443376e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,11,2025-09-29T21:48:34,codecarbon,da9e9207-790d-4a32-8006-3e8b3f4f5585,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.596752531826496,2.5276623276113155e-05,1.5830019224832344e-05,37.000002664,99.46471985275272,70.0,1.121606483411e-05,4.402253522073352e-05,2.1190935912697265e-05,7.642953596754079e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,12,2025-09-29T21:48:56,codecarbon,3901256f-4a90-4e6c-97c8-6ba8e66ff078,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.5269234431907537,2.3742876477567723e-05,1.5549487162207126e-05,37.000071928,98.23753415440652,70.0,1.0476358296369612e-05,4.151642210814544e-05,1.9799128344230773e-05,7.179190874874583e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,13,2025-09-29T21:49:17,codecarbon,f01d1a16-f369-46df-9e28-2f5b245cc741,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.3432050249539316,2.0156306242534097e-05,1.5006127782484589e-05,37.000041625,97.75536281265504,70.0,8.552873969556938e-06,3.623336232294605e-05,1.6160873458203343e-05,6.094710975070633e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,14,2025-09-29T21:49:38,codecarbon,74e51337-ffce-4024-8734-e6687ad704eb,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.3634266890585425,2.056160026383718e-05,1.5080825708373906e-05,37.000041625,97.43567506042424,70.0,8.798191440227224e-06,3.675169607220141e-05,1.6622719554127092e-05,6.217260706655573e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,cifar100,eval,15,2025-09-29T21:49:59,codecarbon,e86e24e9-64f9-448f-9d00-6ab82538b247,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.463330171070993,2.332284880720456e-05,1.5938199914332974e-05,37.000071928,103.72260725562693,70.0,9.846645333706973e-06,4.206947809137773e-05,1.860573751748436e-05,7.052186094256907e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
