modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
vgg16,fashion,eval,1,2025-09-29T21:56:18,codecarbon,3a43b949-541d-444f-a0b9-5f1fdde9fdb0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.5130743221379817,2.392660483732903e-05,1.5813238310409376e-05,37.000008991000016,101.09176095852686,70.0,1.0361945158690626e-05,4.2404478364233e-05,1.958102910236145e-05,7.234745262528508e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,2,2025-09-29T21:56:41,codecarbon,f3cd1eac-6d3a-4130-9f2e-a85427a2908e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.2973264553584158,1.9853373595856933e-05,1.530329818979294e-05,37.000008991000016,101.70148151739237,70.0,8.132990816735469e-06,3.652169588264087e-05,1.5376438294899547e-05,6.003112499427589e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,3,2025-09-29T21:57:04,codecarbon,20458525-c614-413c-b810-9fabe4a6d9fc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.4103272231295705,2.178378637660681e-05,1.5445909303422328e-05,37.000008991000016,99.79793176424752,70.0,9.29980661471508e-06,3.9005586771168055e-05,1.7562767332937156e-05,6.586816071882029e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,4,2025-09-29T21:57:28,codecarbon,c30f83c2-4b9e-4d3f-b593-6289543568f0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.29510892694816,1.988498996559747e-05,1.535391313567358e-05,37.000041625,102.12124500873573,70.0,8.123764124052898e-06,3.6649473763361584e-05,1.535348628725236e-05,6.012672417466684e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,5,2025-09-29T21:57:51,codecarbon,b65c06a4-9127-46b6-b32b-6d496aa51bb1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.3463948797434568,2.1194231739220103e-05,1.5741467869558794e-05,37.000021312,104.72698732282625,70.0,8.65125998598907e-06,3.90791979327787e-05,1.635505221137363e-05,6.40855101301414e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,6,2025-09-29T21:58:14,codecarbon,c23ddd80-ef47-412e-8f1d-e8ea56159e87,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.291415251325816,1.978560585796525e-05,1.5320870523754927e-05,37.000071928,101.87655722462816,70.0,8.084637306212824e-06,3.645752915559797e-05,1.5284047587515994e-05,5.982621404932679e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,7,2025-09-29T21:58:37,codecarbon,8c007598-a6af-4f6d-9553-70e8979700e3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.2865613792091608,1.992263150101188e-05,1.5485177639374007e-05,37.000008991000016,103.81382064893592,70.0,8.037263919179045e-06,3.70122518233984e-05,1.5191026051373533e-05,6.024054179395098e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,8,2025-09-29T21:59:00,codecarbon,c61c23bb-b6db-46c8-96cc-6d6e4f249584,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.384055673610419,2.1475195757517062e-05,1.55161357790596e-05,37.000008991000016,101.29552505428882,70.0,9.02969776812565e-06,3.884947552279528e-05,1.7055894523703806e-05,6.493506781462473e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,9,2025-09-29T21:59:23,codecarbon,56b89202-19d4-4239-8111-d97e71a7533e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.4079662980511785,2.197220959051148e-05,1.560563603043914e-05,37.000021312,101.59038317539832,70.0,9.27585440591609e-06,3.963892059744012e-05,1.7523125535808506e-05,6.643790053916472e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,10,2025-09-29T21:59:46,codecarbon,2f601b50-b294-4714-9907-66e1bcb28e0a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.3066753400489688,2.020651106680277e-05,1.5464063985508074e-05,37.000008991000016,102.93607012409868,70.0,8.24343308072534e-06,3.7275585377472e-05,1.557989683157454e-05,6.109891528977188e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
