modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
resnet18,fashion,eval,1,2025-09-26T16:27:05,codecarbon,f3d1d94c-9cf3-44c4-bf3e-ecb12a77b244,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.60481864400208,7.455820909317362e-05,1.6191345383446972e-05,37.1754099145,82.12386511495623,70.0,4.198080092132205e-05,0.0001045739725427,7.888868317628901e-05,0.0002254434566403,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet18,fashion,eval,2,2025-09-26T16:27:57,codecarbon,d056a7b6-97f6-410a-ad2e-2b9267678e48,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.1100255101919174,4.759388746510132e-05,1.5303375264649944e-05,37.238667982,78.25787228150882,70.0,2.6660120269812456e-05,6.728977605519049e-05,4.996089010059627e-05,0.0001439107864255,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet18,fashion,eval,3,2025-09-26T16:28:49,codecarbon,218028e8-fb29-46aa-bbb3-9e081c017440,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.994251436088234,4.5700176122559705e-05,1.526263812442671e-05,37.3098356875,78.46570700635263,70.0,2.5528570654002456e-05,6.490838526218567e-05,4.774776980953499e-05,0.0001381847257257,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet18,fashion,eval,4,2025-09-26T16:29:42,codecarbon,3feffc3f-071d-4250-af89-2a115e7656ed,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.005491640884429,4.57969260105242e-05,1.5237748589128496e-05,37.3491759745,78.34197304393463,70.0,2.560966091827057e-05,6.502394090546204e-05,4.784366887373229e-05,0.0001384772706974,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet18,fashion,eval,5,2025-09-26T16:30:34,codecarbon,f64381b2-8773-423d-b3da-4d81a6bbdfe7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.14606266701594,4.7950162615097176e-05,1.5241324693820611e-05,37.206613957,77.84481065267502,70.0,2.6937972725171505e-05,6.753727625152806e-05,5.0512815220281485e-05,0.0001449880641969,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet18,fashion,eval,6,2025-09-26T16:31:25,codecarbon,e999e4c9-49a0-45ca-9936-b725f5369b0c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.4241967773996294,3.504182905069383e-05,1.4455026661772175e-05,37.133925607,74.36122234179238,70.0,1.952469380167064e-05,4.976115092603095e-05,3.667097966859325e-05,0.0001059568243962,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet18,fashion,eval,7,2025-09-26T16:32:17,codecarbon,ae824508-731d-4d92-8616-99f0b7a013cf,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.0482606450095773,4.705646903172693e-05,1.543715400740578e-05,37.317454228,80.3269157677942,70.0,2.6038582768102988e-05,6.756560960496927e-05,4.868158896246719e-05,0.0001422857813355,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet18,fashion,eval,8,2025-09-26T16:33:07,codecarbon,808b7d6c-d681-4dc3-91a3-34265277810f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.249239502940327,3.166475601353456e-05,1.4077983234840349e-05,37.010657332,72.01224531475916,70.0,1.7681232953394566e-05,4.474809136212343e-05,3.3316162817128416e-05,9.574548713264642e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet18,fashion,eval,9,2025-09-26T16:33:57,codecarbon,911978a9-a6b7-4d33-88a1-9b456063d806,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.2634557969868183,3.18445910448304e-05,1.4069013888949322e-05,37.0247893525,71.57032651717307,70.0,1.7884693602973664e-05,4.469809130824842e-05,3.3706473746699184e-05,9.628925865792128e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
resnet18,fashion,eval,10,2025-09-26T16:34:48,codecarbon,19c3dc62-ab05-45ad-a5b9-7a15e9c77c18,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.969242895953357,4.463217168274895e-05,1.5031499020701894e-05,37.4096537695,76.06852391976723,70.0,2.5324211563743216e-05,6.242116104715478e-05,4.721000230897012e-05,0.0001349553749198,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
