modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
vgg16,fashion,eval,1,2025-09-26T17:53:32,codecarbon,3d8f2b49-1cea-4054-af7b-64f2db530fc2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.0828296248801053,4.8860910532811295e-05,1.5849371025397343e-05,37.267137373,83.7788109668797,70.0,2.6510116939402936e-05,7.151144609451876e-05,4.9720351626941314e-05,0.0001477419146608,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,2,2025-09-26T17:54:00,codecarbon,2d898668-b240-49c9-ae34-c7371ac7df8b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9667532402090728,2.95382464844794e-05,1.5018786231331883e-05,37.000000333,86.1381669323675,70.0,1.476719115310744e-05,4.66958706866194e-05,2.7852447096827545e-05,8.931550893655438e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,3,2025-09-26T17:54:28,codecarbon,b1e51058-ac4b-459a-b7bf-0d6d961893ba,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9543301118537784,2.952652696603296e-05,1.5108259749436902e-05,37.000041625,86.59695649928915,70.0,1.4733745279797968e-05,4.675253740060725e-05,2.77937896653182e-05,8.928007234572342e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,4,2025-09-26T17:54:56,codecarbon,927b5e23-e1a0-458a-9544-74aee8d3b29c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.46894051367417,3.875836159989129e-05,1.569837806347662e-05,37.221612832000005,87.55968304791232,70.0,2.00408587409404e-05,5.968282551549464e-05,3.747090932447464e-05,0.0001171945935809,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,5,2025-09-26T17:55:23,codecarbon,7df34c88-2068-45d3-bc07-e05ca11aa237,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9806460947729647,2.978294969728318e-05,1.503698705987003e-05,37.000002664,85.987337427602,70.0,1.4920655905508474e-05,4.698253758306237e-05,2.815223045957585e-05,9.00554239481467e-05,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,6,2025-09-26T17:55:53,codecarbon,f8bfbf43-74ce-4d01-bd45-717dbcba9fe7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.314280608203262,3.558722769744636e-05,1.5377231080493392e-05,37.04179932550001,86.03938239571788,70.0,1.830361113247996e-05,5.48558772237584e-05,3.444647109394686e-05,0.0001076059594501,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,7,2025-09-26T17:56:20,codecarbon,d0b02974-bcfa-4168-8699-01300f56cff2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.383878754917532,3.703849657099051e-05,1.5537072300588467e-05,37.11737750500001,86.57250218958015,70.0,1.9120954589700766e-05,5.700115670492778e-05,3.587208488154122e-05,0.0001119941961761,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,8,2025-09-26T17:56:48,codecarbon,2d8ed93b-d423-4fdf-8e93-aad540d64f0f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.4257559799589217,3.748403534257569e-05,1.5452516927613823e-05,37.109640916,85.59363883493457,70.0,1.9479330994042387e-05,5.724449023603029e-05,3.6617561284866606e-05,0.0001133413825149,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,9,2025-09-26T17:57:17,codecarbon,72acaef6-7431-4667-8232-f26e046b4f15,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.391444408800453,3.720506789945471e-05,1.5557571717971376e-05,37.138293568,87.22070046206235,70.0,1.912921502759028e-05,5.744532373341826e-05,3.5923323162003527e-05,0.000112497861923,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
vgg16,fashion,eval,10,2025-09-26T17:57:44,codecarbon,840ed08e-3323-4aa6-a068-584ed5e92d2c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.37605787999928,3.6824245269745023e-05,1.5498042189846058e-05,37.08849558250001,86.72572721054105,70.0,1.89591100700608e-05,5.6778934315104834e-05,3.560831495948757e-05,0.0001113463593446,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
