modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
resnet18,fashion.csv,train,1,2025-07-29T14:17:15,codecarbon,507c34a7-634f-416a-9413-1297f26a90c4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,9.67892787908204,0.0002969189412019,3.067684199235395e-05,42.5,102.6942989645695,188.83805036544803,0.0001142371303405,0.000276038831938,0.0005075250077381,0.0008978009700167,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.16,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681343078613,machine,N,1.0
resnet18,fashion.csv,eval,1,2025-07-29T14:17:21,codecarbon,104cfca1-fb70-4917-affd-4bcaa6aaddb9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.8180313769262284,5.247156014832971e-05,2.886174618011496e-05,42.5,83.35303639172281,188.83805036544803,2.1434795948476276e-05,4.2041978076667874e-05,9.51827490377968e-05,0.0001586595230629,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.16,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681343078613,machine,N,1.0
resnet18,fashion.csv,train,2,2025-07-29T14:17:35,codecarbon,245a6d90-52d0-4197-95e0-0f02cf712f4c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,9.399743868038058,0.0002893734952565,3.078525322806639e-05,42.5,103.90107194634342,188.83805036544803,0.0001109372117947,0.0002712174391952,0.0004928309719773,0.0008749856229673,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.16,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681343078613,machine,N,1.0
resnet18,fashion.csv,eval,2,2025-07-29T14:17:41,codecarbon,8df1afe0-7076-4ae7-bb40-2f5476641d71,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.6579488851130009,4.84850838362068e-05,2.924401606802384e-05,42.5,87.61942530765138,188.83805036544803,1.954299672021686e-05,4.029503223534903e-05,8.676748945046825e-05,0.000146605518406,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.16,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681343078613,machine,N,1.0
resnet18,fashion.csv,train,3,2025-07-29T14:17:54,codecarbon,5ab9c495-f5ac-4a5c-9fc7-d2e62bfc63b6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.90120528708212,0.0002752193472181,3.091933489249426e-05,42.5,105.35196364045908,188.83805036544803,0.0001050545790439,0.000260421597229,0.0004667112075952,0.0008321873838682,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.16,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681343078613,machine,N,1.0
resnet18,fashion.csv,eval,3,2025-07-29T14:18:00,codecarbon,e65cd62d-786c-4764-95ce-3d8ee4dc2e46,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.6556509020738304,4.767752035415899e-05,2.87968437636456e-05,42.5,82.99343012789392,188.83805036544803,1.949999258827625e-05,3.808391935677946e-05,8.657975726605161e-05,0.0001441636692111,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.16,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681343078613,machine,N,1.0
resnet18,fashion.csv,train,4,2025-07-29T14:18:14,codecarbon,0c8af821-2a72-4eae-9cc3-7bf1663cfe6a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,9.34190235985443,0.0002879890065182,3.082766180000019e-05,42.5,104.4133102126038,188.83805036544803,0.0001102355985145,0.0002708304944434,0.0004897332179903,0.0008707993109483,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.16,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681343078613,machine,N,1.0
resnet18,fashion.csv,eval,4,2025-07-29T14:18:20,codecarbon,70b0fde8-7be2-4a79-b86a-917d6b73b595,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.657412795117125,4.8479298631941104e-05,2.9249984539014734e-05,42.5,87.69670177125266,188.83805036544803,1.953696731733443e-05,4.031836558482382e-05,8.673269264208518e-05,0.0001465880255442,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.16,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681343078613,machine,N,1.0
resnet18,fashion.csv,train,5,2025-07-29T14:18:34,codecarbon,82f92fe8-af04-497b-bce3-57194f309cb8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,9.349416136974469,0.0002891595257245,3.092808379563141e-05,42.5,105.56426642826634,188.83805036544803,0.0001103012631527,0.0002739757747391,0.0004900616002365,0.0008743386381284,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.16,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681343078613,machine,N,1.0
resnet18,fashion.csv,eval,5,2025-07-29T14:18:40,codecarbon,eaf9d443-ff57-4b8b-a454-9520bd1c4e7e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.717996230116114,5.018769100489852e-05,2.921292266252906e-05,42.5,87.26774125442567,188.83805036544803,2.025200347901167e-05,4.158919993813015e-05,8.991252938512026e-05,0.0001517537328022,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.16,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681343078613,machine,N,1.0
