phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,3.425805,769.616,183.962684,5.520131,183.962684,953.578684
eval,1,0.384677,50.422,21.425527,0.438988,21.425527,71.847527
train,2,2.911659,721.148,158.860437,3.588696,158.860437,880.008437
eval,2,0.362455,58.742,20.248159,0.381862,20.248159,78.990159
train,3,2.917007,725.481,159.584246,3.495059,159.584246,885.065246
eval,3,0.369805,45.764,20.559911,0.441841,20.559911,66.323911
train,4,2.900516,715.626,158.403841,5.106746,158.403841,874.029841
eval,4,0.361552,53.328,20.127941,0.431633,20.127941,73.455941
train,5,2.892115,712.68,157.978967,3.761097,157.978967,870.658967
eval,5,0.362491,49.258,20.165263,0.390636,20.165263,69.423263
train,6,2.937413,728.898,160.851667,2.975173,160.851667,889.749667
eval,6,0.362422,56.158,20.509361,0.304687,20.509361,76.667361
train,7,2.911429,734.801,160.049325,5.071119,160.049325,894.850325
eval,7,0.362238,46.874,20.136898,0.438073,20.136898,67.010898
train,8,2.896432,725.044,158.279443,3.382455,158.279443,883.323443
eval,8,0.364768,54.874,20.298709,0.388179,20.298709,75.172709
train,9,2.896311,718.32,158.753021,3.708564,158.753021,877.073021
eval,9,0.361693,49.248,20.508171,0.401347,20.508171,69.756171
train,10,2.907829,736.781,160.517471,4.459776,160.517471,897.298471
eval,10,0.361584,41.945,20.216057,0.307174,20.216057,62.161057
train,11,2.891867,730.67,159.191017,4.6043,159.191017,889.861017
eval,11,0.367174,57.166,20.825202,0.42576,20.825202,77.991202
train,12,2.911707,739.05,158.88157,4.833628,158.88157,897.93157
eval,12,0.362914,47.399,20.439266,0.412317,20.439266,67.838266
train,13,2.924789,725.228,159.900056,5.329162,159.900056,885.128056
eval,13,0.361593,51.973,20.231848,0.391429,20.231848,72.204848
train,14,2.978104,761.213,162.941815,3.787722,162.941815,924.154815
eval,14,0.360164,52.045,20.124906,0.415552,20.124906,72.169906
train,15,2.951203,729.326,161.185588,3.823731,161.185588,890.511588
eval,15,0.366144,51.745,20.689528,0.42907,20.689528,72.434528
train,16,2.975226,737.216,162.4125,4.186139,162.4125,899.6285
eval,16,0.36188,53.177,20.236716,0.425821,20.236716,73.413716
train,17,2.909936,736.688,159.287203,3.630519,159.287203,895.975203
eval,17,0.362902,41.663,20.332704,0.474935,20.332704,61.995704
train,18,2.915017,726.858,159.798301,3.898312,159.798301,886.656301
eval,18,0.363118,50.651,20.712812,0.401773,20.712812,71.363812
train,19,2.905943,740.819,161.159787,3.08677,161.159787,901.978787
eval,19,0.372866,60.29,20.758998,0.476324,20.758998,81.048998
train,20,2.935449,753.688,161.944872,4.107408,161.944872,915.632872
eval,20,0.363252,46.714,20.313418,0.390635,20.313418,67.027418
train,21,2.903612,729.166,159.014985,3.236405,159.014985,888.180985
eval,21,0.362398,53.022,20.614886,0.489049,20.614886,73.636886
train,22,2.902446,747.239,158.928518,3.276137,158.928518,906.167518
eval,22,0.361625,46.069,20.230522,0.388942,20.230522,66.299522
train,23,2.904776,738.081,159.111568,5.179283,159.111568,897.192568
eval,23,0.36468,59.147,20.400694,0.408152,20.400694,79.547694
train,24,2.898564,729.982,158.460372,3.273589,158.460372,888.442372
eval,24,0.362732,53.845,20.657852,0.487707,20.657852,74.502852
train,25,2.905628,739.933,159.557163,4.307532,159.557163,899.490163
eval,25,0.368575,44.28,20.665343,0.388834,20.665343,64.945343
train,26,2.902659,730.326,161.059816,4.977312,161.059816,891.385816
eval,26,0.361378,53.011,20.412182,0.308852,20.412182,73.423182
train,27,2.956314,741.496,163.019493,4.338063,163.019493,904.515493
eval,27,0.363058,52.304,20.842626,0.33267,20.842626,73.146626
train,28,2.922409,733.694,162.121041,5.571657,162.121041,895.815041
eval,28,0.361844,54.767,20.475275,0.385082,20.475275,75.242275
train,29,2.911727,750.748,161.383377,3.896817,161.383377,912.131377
eval,29,0.362252,48.042,20.436687,0.408518,20.436687,68.478687
train,30,2.906318,740.981,161.115981,4.937016,161.115981,902.096981
eval,30,0.361536,60.333,20.445323,0.398569,20.445323,80.778323
