ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
C++/LibTorch,resnet18,fashionmnist,1,1001,1,0.445231,,0.351467,87.07
C++/LibTorch,resnet18,fashionmnist,1,1001,2,0.279862,,0.330175,87.4
C++/LibTorch,resnet18,fashionmnist,1,1001,3,0.225086,,0.311092,88.65
C++/LibTorch,resnet18,fashionmnist,1,1001,4,0.185751,,0.315114,88.94
C++/LibTorch,resnet18,fashionmnist,1,1001,5,0.153846,,0.337937,88.66
C++/LibTorch,resnet18,fashionmnist,1,1001,6,0.129055,,0.338,88.65
C++/LibTorch,resnet18,fashionmnist,1,1001,7,0.110285,,0.34791,89.29
C++/LibTorch,resnet18,fashionmnist,1,1001,8,0.09145,,0.397484,88.95
C++/LibTorch,resnet18,fashionmnist,1,1001,9,0.083316,,0.374348,89.42
C++/LibTorch,resnet18,fashionmnist,1,1001,10,0.07247,,0.405097,89.41
C++/LibTorch,resnet18,fashionmnist,1,1001,11,0.067031,,0.40124,89.51
C++/LibTorch,resnet18,fashionmnist,1,1001,12,0.057777,,0.401934,89.87
C++/LibTorch,resnet18,fashionmnist,1,1001,13,0.051009,,0.458503,89.68
C++/LibTorch,resnet18,fashionmnist,1,1001,14,0.051253,,0.427756,89.6
C++/LibTorch,resnet18,fashionmnist,1,1001,15,0.045068,,0.428957,89.78
C++/LibTorch,resnet18,fashionmnist,1,1001,16,0.041185,,0.467885,89.46
C++/LibTorch,resnet18,fashionmnist,1,1001,17,0.043597,,0.46362,89.49
C++/LibTorch,resnet18,fashionmnist,1,1001,18,0.035791,,0.446036,90.19
C++/LibTorch,resnet18,fashionmnist,1,1001,19,0.035041,,0.450309,89.98
C++/LibTorch,resnet18,fashionmnist,1,1001,20,0.030253,,0.527946,89.16
C++/LibTorch,resnet18,fashionmnist,1,1001,21,0.034098,,0.478396,89.61
C++/LibTorch,resnet18,fashionmnist,1,1001,22,0.029932,,0.499941,89.44
C++/LibTorch,resnet18,fashionmnist,1,1001,23,0.029537,,0.543257,89.45
C++/LibTorch,resnet18,fashionmnist,1,1001,24,0.028454,,0.511956,89.74
C++/LibTorch,resnet18,fashionmnist,1,1001,25,0.026044,,0.524925,89.88
C++/LibTorch,resnet18,fashionmnist,1,1001,26,0.026177,,0.524261,90.06
C++/LibTorch,resnet18,fashionmnist,1,1001,27,0.024721,,0.521244,89.4
C++/LibTorch,resnet18,fashionmnist,1,1001,28,0.02739,,0.519784,89.66
C++/LibTorch,resnet18,fashionmnist,1,1001,29,0.025153,,0.5055,90.02
C++/LibTorch,resnet18,fashionmnist,1,1001,30,0.01994,,0.52405,90.36
