phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,3.99303,918.154,205.046677,4.274955,205.046677,1123.200677
eval,1,0.261454,41.161,14.412096,0.261614,14.412096,55.573096
train,2,3.456743,851.727,179.958833,3.589872,179.958833,1031.685833
eval,2,0.24455,40.885,14.079427,0.287765,14.079427,54.964427
train,3,3.465566,864.48,180.740882,5.937407,180.740882,1045.220882
eval,3,0.248981,45.693,13.773961,0.334043,13.773961,59.466961
train,4,3.464559,871.016,180.957881,3.748829,180.957881,1051.973881
eval,4,0.252027,25.894,14.088871,0.19814,14.088871,39.982871
train,5,3.478112,868.985,181.664326,3.328944,181.664326,1050.649326
eval,5,0.248295,24.88,13.855317,0.289475,13.855317,38.735317
train,6,3.463971,878.013,180.011214,3.946436,180.011214,1058.024214
eval,6,0.247744,25.393,13.754553,0.252214,13.754553,39.147553
train,7,3.46724,875.45,179.888265,3.625392,179.888265,1055.338265
eval,7,0.247846,28.34,13.672923,0.243777,13.672923,42.012923
train,8,3.463362,883.818,180.597701,2.923296,180.597701,1064.415701
eval,8,0.24358,30.907,13.771474,0.250322,13.771474,44.678474
train,9,3.46761,883.294,180.128441,3.579587,180.128441,1063.422441
eval,9,0.244361,33.573,13.511417,0.247805,13.511417,47.084417
train,10,3.465224,867.416,180.234424,3.710014,180.234424,1047.650424
eval,10,0.248782,38.844,13.83359,0.267214,13.83359,52.67759
train,11,3.468985,867.331,181.377934,4.809215,181.377934,1048.708934
eval,11,0.249952,40.168,13.891158,0.34718,13.891158,54.059158
train,12,3.463181,877.661,180.516193,4.1111,180.516193,1058.177193
eval,12,0.248727,26.285,13.848024,0.255511,13.848024,40.133024
train,13,3.465793,886.548,181.12604,3.959359,181.12604,1067.67404
eval,13,0.249346,28.41,13.950954,0.258532,13.950954,42.360954
train,14,3.467099,883.667,181.779311,3.648325,181.779311,1065.446311
eval,14,0.250936,30.77,13.985773,0.258546,13.985773,44.755773
train,15,3.465757,891.713,182.107403,3.111717,182.107403,1073.820403
eval,15,0.249841,33.452,14.085132,0.291641,14.085132,47.537132
train,16,3.473079,890.225,182.420574,2.956039,182.420574,1072.645574
eval,16,0.246248,35.39,13.951854,0.240176,13.951854,49.341854
train,17,3.464708,871.559,184.37993,2.961898,184.37993,1055.93893
eval,17,0.245616,37.332,13.895293,0.20139,13.895293,51.227293
train,18,3.481323,868.116,183.755344,4.726928,183.755344,1051.871344
eval,18,0.24856,36.635,13.96821,0.260164,13.96821,50.60321
train,19,3.472851,873.957,182.622086,3.17426,182.622086,1056.579086
eval,19,0.251884,37.367,14.187849,0.208226,14.187849,51.554849
train,20,3.477949,866.722,187.185922,2.988737,187.185922,1053.907922
eval,20,0.248672,37.163,13.912428,0.294708,13.912428,51.075428
train,21,3.466179,873.383,181.771499,4.155333,181.771499,1055.154499
eval,21,0.245253,41.762,13.695688,0.254229,13.695688,55.457688
train,22,3.474787,868.865,182.166071,4.78709,182.166071,1051.031071
eval,22,0.24783,39.029,13.853684,0.326201,13.853684,52.882684
train,23,3.475641,874.032,185.68725,3.753972,185.68725,1059.71925
eval,23,0.250852,42.658,14.037772,0.407206,14.037772,56.695772
train,24,3.469975,871.629,182.865391,2.973586,182.865391,1054.494391
eval,24,0.245585,40.575,14.047583,0.257449,14.047583,54.622583
train,25,3.475263,876.299,183.581586,3.008481,183.581586,1059.880586
eval,25,0.246765,45.769,13.95692,0.327528,13.95692,59.72592
train,26,3.459047,882.33,185.13453,3.702644,185.13453,1067.46453
eval,26,0.251635,28.161,14.025246,0.411645,14.025246,42.186246
train,27,3.480987,879.179,183.326746,4.267037,183.326746,1062.505746
eval,27,0.24435,27.654,13.876479,0.257722,13.876479,41.530479
train,28,3.470588,885.182,181.812284,3.904782,181.812284,1066.994284
eval,28,0.250269,28.816,13.973093,0.323912,13.973093,42.789093
train,29,3.476,879.806,184.702912,4.455793,184.702912,1064.508912
eval,29,0.248928,29.085,13.871231,0.396937,13.871231,42.956231
train,30,3.482793,882.902,182.733164,3.875822,182.733164,1065.635164
eval,30,0.246499,27.722,14.051977,0.256594,14.051977,41.773977
