phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,7.628857,1735.337,447.069775,9.293693,447.069775,2182.406775
eval,1,0.728791,95.497,41.611312,1.053351,41.611312,137.108312
train,2,7.115976,1685.832,421.866229,8.793216,421.866229,2107.698229
eval,2,0.709928,90.744,40.143584,0.808125,40.143584,130.887584
train,3,7.129251,1679.767,421.492393,8.884138,421.492393,2101.259393
eval,3,0.712228,88.262,40.196651,0.808018,40.196651,128.458651
train,4,7.123459,1697.408,423.674501,8.980904,423.674501,2121.082501
eval,4,0.712643,96.607,40.235269,0.855439,40.235269,136.842269
train,5,7.121413,1699.512,420.942892,8.559097,420.942892,2120.454892
eval,5,0.712306,94.212,40.093431,0.834003,40.093431,134.305431
train,6,7.129204,1695.086,421.060103,8.814455,421.060103,2116.146103
eval,6,0.710374,101.973,40.629048,0.850145,40.629048,142.602048
train,7,7.102351,1695.148,419.347989,8.889356,419.347989,2114.495989
eval,7,0.71711,103.258,40.631536,0.814304,40.631536,143.889536
train,8,7.1351,1717.869,419.834016,8.391641,419.834016,2137.703016
eval,8,0.714191,97.264,40.25509,0.893112,40.25509,137.51909
train,9,7.127742,1709.471,423.562904,9.09537,423.562904,2133.033904
eval,9,0.711776,90.58,40.284965,0.804798,40.284965,130.864965
train,10,7.126946,1724.89,419.894057,8.724296,419.894057,2144.784057
eval,10,0.713931,97.002,40.782223,0.894713,40.782223,137.784223
train,11,7.106184,1713.088,418.925647,8.302626,418.925647,2132.013647
eval,11,0.712319,96.851,40.279594,0.858873,40.279594,137.130594
train,12,7.123825,1712.142,420.911552,8.995049,420.911552,2133.053552
eval,12,0.71397,94.517,40.211177,1.079122,40.211177,134.728177
train,13,7.133632,1710.084,420.204694,9.130143,420.204694,2130.288694
eval,13,0.724444,104.638,40.7915,0.816669,40.7915,145.4295
train,14,7.103386,1726.04,423.938663,7.714948,423.938663,2149.978663
eval,14,0.712719,101.94,40.544962,0.729805,40.544962,142.484962
train,15,7.118613,1721.953,420.862833,8.344417,420.862833,2142.815833
eval,15,0.712789,93.537,40.190335,0.895553,40.190335,133.727335
train,16,7.110251,1715.17,419.806628,9.078647,419.806628,2134.976628
eval,16,0.712961,91.344,40.244104,0.964366,40.244104,131.588104
train,17,7.116771,1728.278,421.731959,8.646083,421.731959,2150.009959
eval,17,0.714785,102.177,40.327535,0.851015,40.327535,142.504535
train,18,7.110368,1723.943,419.306639,8.835511,419.306639,2143.249639
eval,18,0.71349,100.178,40.301108,0.890655,40.301108,140.479108
train,19,7.117666,1720.343,420.808209,9.39754,420.808209,2141.151209
eval,19,0.715117,92.263,40.466917,0.977184,40.466917,132.729917
train,20,7.130084,1722.41,423.742292,6.751543,423.742292,2146.152292
eval,20,0.712657,95.508,40.069003,0.922072,40.069003,135.577003
train,21,7.114272,1718.511,419.800907,9.044027,419.800907,2138.311907
eval,21,0.714353,93.022,40.218044,0.804249,40.218044,133.240044
train,22,7.111137,1717.83,422.332789,8.421364,422.332789,2140.162789
eval,22,0.713926,97.289,40.399873,0.817661,40.399873,137.688873
train,23,7.11253,1710.339,420.270289,9.10094,420.270289,2130.609289
eval,23,0.716516,99.512,40.408829,0.812275,40.408829,139.920829
train,24,7.109945,1710.816,419.644115,8.602308,419.644115,2130.460115
eval,24,0.712621,92.517,40.527186,0.931806,40.527186,133.044186
train,25,7.114142,1706.105,419.830171,9.098025,419.830171,2125.935171
eval,25,0.711059,97.956,40.136475,0.855348,40.136475,138.092475
train,26,7.117701,1721.914,420.223935,8.56874,420.223935,2142.137935
eval,26,0.710925,94.985,40.171552,0.811589,40.171552,135.156552
train,27,7.111548,1713.678,426.721981,7.470561,426.721981,2140.399981
eval,27,0.710756,90.854,40.281135,0.739571,40.281135,131.135135
train,28,7.125173,1722.559,423.439604,6.776016,423.439604,2145.998604
eval,28,0.708937,96.415,40.064197,0.804768,40.064197,136.479197
train,29,7.123914,1714.525,420.790007,8.215166,420.790007,2135.315007
eval,29,0.71118,92.267,40.698869,0.795934,40.698869,132.965869
train,30,7.114734,1711.043,420.213819,8.738211,420.213819,2131.256819
eval,30,0.711865,89.707,40.202175,0.808719,40.202175,129.909175
