phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,12.680347,4196.324,640.750112,15.365477,640.750112,4837.074112
eval,1,0.519386,138.248,28.934233,0.564195,28.934233,167.182233
train,2,12.321531,4198.246,627.14486,15.197868,627.14486,4825.39086
eval,2,0.508015,165.329,28.475181,0.618788,28.475181,193.804181
train,3,12.358922,4205.232,624.659911,15.405698,624.659911,4829.891911
eval,3,0.512115,144.236,28.623444,0.832415,28.623444,172.859444
train,4,12.37708,4212.348,627.253634,15.292697,627.253634,4839.601634
eval,4,0.512388,157.976,28.65988,0.670589,28.65988,186.63588
train,5,12.393655,4229.479,627.495259,14.029472,627.495259,4856.974259
eval,5,0.514139,146.293,29.27612,0.590194,29.27612,175.56912
train,6,12.411471,4211.276,629.186914,14.877557,629.186914,4840.462914
eval,6,0.51269,146.64,28.859256,0.744376,28.859256,175.499256
train,7,12.416603,4212.406,634.477549,12.581273,634.477549,4846.883549
eval,7,0.514444,137.923,29.562787,0.549227,29.562787,167.485787
train,8,12.421162,4205.752,632.116648,13.471029,632.116648,4837.868648
eval,8,0.512204,169.456,29.578793,0.594299,29.578793,199.034793
train,9,12.422985,4221.998,635.261978,13.527682,635.261978,4857.259978
eval,9,0.512737,149.948,28.964093,0.572297,28.964093,178.912093
train,10,12.424728,4221.816,633.089056,15.344894,633.089056,4854.905056
eval,10,0.514867,136.595,29.468294,0.574525,29.468294,166.063294
train,11,12.426499,4242.394,637.895082,15.794196,637.895082,4880.289082
eval,11,0.512712,168.054,29.576092,0.653912,29.576092,197.630092
train,12,12.430588,4226.024,635.866851,15.612504,635.866851,4861.890851
eval,12,0.515462,148.745,29.286464,0.591949,29.286464,178.031464
train,13,12.424634,4220.409,638.584774,14.261485,638.584774,4858.993774
eval,13,0.515198,136.747,29.144184,0.583939,29.144184,165.891184
train,14,12.427932,4242.121,637.75454,13.974237,637.75454,4879.87554
eval,14,0.516204,159.332,29.256895,0.597046,29.256895,188.588895
train,15,12.433215,4226.34,640.717293,14.554728,640.717293,4867.057293
eval,15,0.517733,152.009,29.237288,0.61,29.237288,181.246288
train,16,12.423519,4221.539,639.277777,14.534069,639.277777,4860.816777
eval,16,0.515862,136.978,29.335825,0.728691,29.335825,166.313825
train,17,12.431779,4242.934,640.161687,14.589272,640.161687,4883.095687
eval,17,0.516362,156.409,29.450885,0.609649,29.450885,185.859885
train,18,12.428412,4230.625,638.736515,15.498786,638.736515,4869.361515
eval,18,0.51467,147.639,29.95063,0.8203,29.95063,177.58963
train,19,12.438986,4243.045,641.490675,14.546534,641.490675,4884.535675
eval,19,0.515285,164.804,29.498536,0.584519,29.498536,194.302536
train,20,12.429581,4238.859,641.891289,16.278653,641.891289,4880.750289
eval,20,0.516605,153.064,29.725972,0.649762,29.725972,182.789972
train,21,12.428671,4230.639,642.475503,14.517483,642.475503,4873.114503
eval,21,0.514543,137.609,29.421498,0.646284,29.421498,167.030498
train,22,12.4275,4250.854,645.786321,15.334534,645.786321,4896.640321
eval,22,0.515704,158.091,29.367469,0.624495,29.367469,187.458469
train,23,12.429039,4234.583,646.393696,15.534109,646.393696,4880.976696
eval,23,0.515929,148.597,29.564954,0.865983,29.564954,178.161954
train,24,12.435767,4221.148,652.33539,15.972959,652.33539,4873.48339
eval,24,0.515096,137.719,29.655235,0.543047,29.655235,167.374235
train,25,12.432364,4247.317,653.098793,14.113162,653.098793,4900.415793
eval,25,0.516041,153.201,29.759127,0.63072,29.759127,182.960127
train,26,12.43461,4255.257,656.848859,14.361166,656.848859,4912.105859
eval,26,0.517279,158.369,29.907771,0.664486,29.907771,188.276771
train,27,12.444025,4235.212,651.56721,14.819104,651.56721,4886.77921
eval,27,0.516323,140.534,29.655449,0.627561,29.655449,170.189449
train,28,12.437075,4257.435,656.155551,14.30146,656.155551,4913.590551
eval,28,0.514294,165.876,29.519088,0.73777,29.519088,195.395088
train,29,12.431261,4253.371,647.81507,14.754853,647.81507,4901.18607
eval,29,0.514748,151.936,29.51181,0.71766,29.51181,181.44781
train,30,12.436711,4228.093,651.896158,15.095792,651.896158,4879.989158
eval,30,0.516492,137.368,29.639367,0.708627,29.639367,167.007367
