ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
C++/LibTorch,vgg16,fashionmnist,4,1004,1,0.672182,,0.379394,86.32
C++/LibTorch,vgg16,fashionmnist,4,1004,2,0.336902,,0.326932,88.01
C++/LibTorch,vgg16,fashionmnist,4,1004,3,0.266417,,0.276913,90.01
C++/LibTorch,vgg16,fashionmnist,4,1004,4,0.228475,,0.247907,91.18
C++/LibTorch,vgg16,fashionmnist,4,1004,5,0.198454,,0.261002,90.68
C++/LibTorch,vgg16,fashionmnist,4,1004,6,0.177584,,0.271679,90.36
C++/LibTorch,vgg16,fashionmnist,4,1004,7,0.15957,,0.235345,91.95
C++/LibTorch,vgg16,fashionmnist,4,1004,8,0.138722,,0.237661,91.71
C++/LibTorch,vgg16,fashionmnist,4,1004,9,0.12242,,0.256808,92.14
C++/LibTorch,vgg16,fashionmnist,4,1004,10,0.10373,,0.251955,92.14
C++/LibTorch,vgg16,fashionmnist,4,1004,11,0.095865,,0.26188,92.62
C++/LibTorch,vgg16,fashionmnist,4,1004,12,0.079153,,0.271473,92.56
C++/LibTorch,vgg16,fashionmnist,4,1004,13,0.073832,,0.271976,92.08
C++/LibTorch,vgg16,fashionmnist,4,1004,14,0.062431,,0.2781,92.46
C++/LibTorch,vgg16,fashionmnist,4,1004,15,0.053099,,0.341486,92.16
C++/LibTorch,vgg16,fashionmnist,4,1004,16,0.051062,,0.462377,90.83
C++/LibTorch,vgg16,fashionmnist,4,1004,17,0.048316,,0.351358,91.84
C++/LibTorch,vgg16,fashionmnist,4,1004,18,0.039524,,0.332382,92.5
C++/LibTorch,vgg16,fashionmnist,4,1004,19,0.039055,,0.384604,92.42
C++/LibTorch,vgg16,fashionmnist,4,1004,20,0.036411,,0.361038,92.55
C++/LibTorch,vgg16,fashionmnist,4,1004,21,0.031705,,0.339787,92.45
C++/LibTorch,vgg16,fashionmnist,4,1004,22,0.029223,,0.360304,92.36
C++/LibTorch,vgg16,fashionmnist,4,1004,23,0.032448,,0.347982,92.07
C++/LibTorch,vgg16,fashionmnist,4,1004,24,0.028599,,0.394089,92.0
C++/LibTorch,vgg16,fashionmnist,4,1004,25,0.029234,,0.332241,92.39
C++/LibTorch,vgg16,fashionmnist,4,1004,26,0.02281,,0.439212,92.68
C++/LibTorch,vgg16,fashionmnist,4,1004,27,0.021915,,0.344811,92.81
C++/LibTorch,vgg16,fashionmnist,4,1004,28,0.023048,,0.40736,92.6
C++/LibTorch,vgg16,fashionmnist,4,1004,29,0.024055,,0.404969,92.27
C++/LibTorch,vgg16,fashionmnist,4,1004,30,0.020095,,0.437002,92.4
