phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,25.052824,8413.625,1300.942854,27.133271,1300.942854,9714.567854
eval,1,0.72798,214.307,41.528248,0.800312,41.528248,255.835248
train,2,24.760537,8442.444,1286.909995,26.657846,1286.909995,9729.353995
eval,2,0.719367,194.243,41.115992,0.754615,41.115992,235.358992
train,3,24.811645,8465.501,1290.564607,26.555954,1290.564607,9756.065607
eval,3,0.719001,186.239,41.008164,0.823413,41.008164,227.247164
train,4,24.838025,8501.505,1292.118267,29.942864,1292.118267,9793.623267
eval,4,0.723816,201.374,41.573519,0.779669,41.573519,242.947519
train,5,24.843475,8485.237,1295.537112,28.805151,1295.537112,9780.774112
eval,5,0.720243,187.751,41.1919,0.951184,41.1919,228.9429
train,6,24.850025,8501.598,1299.819759,30.533226,1299.819759,9801.417759
eval,6,0.713269,206.614,40.849618,0.832538,40.849618,247.463618
train,7,24.861556,8477.246,1306.947167,31.349773,1306.947167,9784.193167
eval,7,0.718118,216.761,41.553363,0.630536,41.553363,258.314363
train,8,24.851742,8489.286,1313.103664,27.12909,1313.103664,9802.389664
eval,8,0.718859,195.27,41.603699,0.675609,41.603699,236.873699
train,9,24.854668,8510.404,1302.3407,30.587835,1302.3407,9812.7447
eval,9,0.719266,207.353,41.330443,0.794591,41.330443,248.683443
train,10,24.854571,8486.471,1303.017622,32.647513,1303.017622,9789.488622
eval,10,0.7208,197.243,41.758171,0.677257,41.758171,239.001171
train,11,24.860059,8499.815,1306.635842,34.372505,1306.635842,9806.450842
eval,11,0.717999,207.005,41.848178,0.641813,41.848178,248.853178
train,12,24.857689,8478.171,1314.413456,31.421486,1314.413456,9792.584456
eval,12,0.724897,188.155,42.116077,0.639845,42.116077,230.271077
train,13,24.856729,8498.556,1313.766379,22.397157,1313.766379,9812.322379
eval,13,0.718893,196.378,41.84273,0.648526,41.84273,238.22073
train,14,24.842987,8472.297,1313.008667,22.344258,1313.008667,9785.305667
eval,14,0.720753,212.192,42.041481,0.64993,42.041481,254.233481
train,15,24.853893,8491.111,1313.84897,22.394578,1313.84897,9804.95997
eval,15,0.720441,196.735,41.902664,0.722238,41.902664,238.637664
train,16,24.856696,8502.289,1316.233613,22.252816,1316.233613,9818.522613
eval,16,0.718637,211.859,41.802999,0.643109,41.802999,253.661999
train,17,24.858137,8482.231,1310.07054,25.180918,1310.07054,9792.30154
eval,17,0.720403,188.401,41.469138,0.79839,41.469138,229.870138
train,18,24.854145,8498.939,1309.726763,29.402547,1309.726763,9808.665763
eval,18,0.718677,199.389,41.61589,0.873017,41.61589,241.00489
train,19,24.852795,8476.359,1305.522711,28.115977,1305.522711,9781.881711
eval,19,0.719544,179.781,41.610672,0.878998,41.610672,221.391672
train,20,24.851231,8485.43,1312.837106,23.638792,1312.837106,9798.267106
eval,20,0.718896,195.068,41.945279,0.642881,41.945279,237.013279
train,21,24.855037,8499.671,1315.430722,27.366459,1315.430722,9815.101722
eval,21,0.719532,206.702,41.666409,0.816822,41.666409,248.368409
train,22,24.845983,8473.929,1304.387882,30.119337,1304.387882,9778.316882
eval,22,0.717191,185.485,41.4618,0.794972,41.4618,226.9468
train,23,24.845771,8500.486,1303.893064,29.008586,1303.893064,9804.379064
eval,23,0.736976,196.109,42.982045,0.850603,42.982045,239.091045
train,24,24.843962,8508.26,1304.633932,28.739633,1304.633932,9812.893932
eval,24,0.721085,206.456,41.603195,0.844316,41.603195,248.059195
train,25,24.842148,8487.015,1303.049953,33.364287,1303.049953,9790.064953
eval,25,0.720669,195.698,41.452003,0.936536,41.452003,237.150003
train,26,24.84867,8495.819,1309.310524,27.317786,1309.310524,9805.129524
eval,26,0.720036,206.472,41.87343,0.647443,41.87343,248.34543
train,27,24.852892,8477.749,1315.678176,25.2712,1315.678176,9793.427176
eval,27,0.732078,218.879,42.452883,0.789983,42.452883,261.331883
train,28,24.841695,8490.653,1306.724095,28.722727,1306.724095,9797.377095
eval,28,0.720339,196.148,41.532505,0.791859,41.532505,237.680505
train,29,24.842782,8471.656,1306.875454,28.13656,1306.875454,9778.531454
eval,29,0.718961,210.994,41.343199,0.843981,41.343199,252.337199
train,30,24.839922,8484.901,1306.889995,27.884606,1306.889995,9791.790995
eval,30,0.719999,206.407,41.466575,0.851671,41.466575,247.873575
