ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
C++/LibTorch,vgg16,tinyimagenet,2,1002,1,5.140441,,5.025603,1.16
C++/LibTorch,vgg16,tinyimagenet,2,1002,2,4.934714,,4.809348,2.56
C++/LibTorch,vgg16,tinyimagenet,2,1002,3,4.708217,,4.528326,5.61
C++/LibTorch,vgg16,tinyimagenet,2,1002,4,4.419594,,4.285725,8.05
C++/LibTorch,vgg16,tinyimagenet,2,1002,5,4.19663,,4.167068,9.89
C++/LibTorch,vgg16,tinyimagenet,2,1002,6,4.013885,,4.04791,11.68
C++/LibTorch,vgg16,tinyimagenet,2,1002,7,3.82311,,4.041637,12.6
C++/LibTorch,vgg16,tinyimagenet,2,1002,8,3.611744,,3.95379,13.7
C++/LibTorch,vgg16,tinyimagenet,2,1002,9,3.378194,,4.003838,13.7
C++/LibTorch,vgg16,tinyimagenet,2,1002,10,3.135142,,3.997001,15.77
C++/LibTorch,vgg16,tinyimagenet,2,1002,11,2.854696,,4.183684,15.84
C++/LibTorch,vgg16,tinyimagenet,2,1002,12,2.571324,,4.518506,15.17
C++/LibTorch,vgg16,tinyimagenet,2,1002,13,2.287136,,4.662925,15.91
C++/LibTorch,vgg16,tinyimagenet,2,1002,14,2.012979,,4.953137,15.89
C++/LibTorch,vgg16,tinyimagenet,2,1002,15,1.762672,,5.451972,15.29
C++/LibTorch,vgg16,tinyimagenet,2,1002,16,1.543942,,5.707191,15.11
C++/LibTorch,vgg16,tinyimagenet,2,1002,17,1.347116,,6.338369,14.7
C++/LibTorch,vgg16,tinyimagenet,2,1002,18,1.188331,,6.578937,15.07
C++/LibTorch,vgg16,tinyimagenet,2,1002,19,1.038792,,7.128445,14.82
C++/LibTorch,vgg16,tinyimagenet,2,1002,20,0.919026,,7.780813,14.6
C++/LibTorch,vgg16,tinyimagenet,2,1002,21,0.815937,,7.686866,15.23
C++/LibTorch,vgg16,tinyimagenet,2,1002,22,0.739588,,8.027014,14.93
C++/LibTorch,vgg16,tinyimagenet,2,1002,23,0.680687,,8.265793,14.48
C++/LibTorch,vgg16,tinyimagenet,2,1002,24,0.629488,,8.102951,14.8
C++/LibTorch,vgg16,tinyimagenet,2,1002,25,0.569124,,8.619001,15.11
C++/LibTorch,vgg16,tinyimagenet,2,1002,26,0.524206,,8.379954,14.4
C++/LibTorch,vgg16,tinyimagenet,2,1002,27,0.501455,,8.968483,15.03
C++/LibTorch,vgg16,tinyimagenet,2,1002,28,0.470306,,8.899207,15.15
C++/LibTorch,vgg16,tinyimagenet,2,1002,29,0.437587,,9.25834,15.03
C++/LibTorch,vgg16,tinyimagenet,2,1002,30,0.424239,,9.526774,14.97
