phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,33.995874,6428.149,1804.976435,43.833335,1804.976435,8233.125435
eval,1,2.120007,426.557,115.83753,2.742748,115.83753,542.39453
train,2,32.952169,6498.553,1710.446869,39.499178,1710.446869,8208.999869
eval,2,2.003075,423.88,105.427791,2.585697,105.427791,529.307791
train,3,32.994056,6567.866,1704.232774,40.472517,1704.232774,8272.098774
eval,3,2.063101,443.728,109.357977,2.724133,109.357977,553.085977
train,4,33.076284,6600.814,1709.05833,37.977772,1709.05833,8309.87233
eval,4,2.072129,428.579,111.435857,2.767588,111.435857,540.014857
train,5,33.033003,6567.497,1698.503639,41.356183,1698.503639,8266.000639
eval,5,2.035808,444.392,106.00996,2.678878,106.00996,550.40196
train,6,33.251718,6615.119,1708.901172,40.665729,1708.901172,8324.020172
eval,6,2.058169,429.099,107.689332,2.627122,107.689332,536.788332
train,7,33.367961,6636.762,1717.613658,40.514933,1717.613658,8354.375658
eval,7,2.058006,425.822,107.629551,2.514061,107.629551,533.451551
train,8,33.398149,6633.393,1717.286511,41.348096,1717.286511,8350.679511
eval,8,2.034414,430.079,106.20987,2.635423,106.20987,536.28887
train,9,33.458545,6648.894,1722.631053,41.324996,1722.631053,8371.525053
eval,9,2.123539,466.622,111.986121,2.423901,111.986121,578.608121
train,10,33.521176,6684.994,1723.932942,39.882657,1723.932942,8408.926942
eval,10,2.105081,444.372,111.458103,2.827582,111.458103,555.830103
train,11,33.747821,6679.049,1744.20672,38.419384,1744.20672,8423.25572
eval,11,2.128201,453.484,114.209121,2.273442,114.209121,567.693121
train,12,33.541523,6662.524,1725.085577,41.491583,1725.085577,8387.609577
eval,12,2.103414,449.358,109.972264,2.692213,109.972264,559.330264
train,13,33.789191,6680.257,1735.329691,41.346113,1735.329691,8415.586691
eval,13,2.097485,440.788,109.94248,2.669036,109.94248,550.73048
train,14,33.859861,6711.546,1739.929826,41.111842,1739.929826,8451.475826
eval,14,2.107023,460.78,110.008455,2.717542,110.008455,570.788455
train,15,33.882029,6699.455,1738.117618,41.769736,1738.117618,8437.572618
eval,15,2.092183,440.398,108.742088,2.87328,108.742088,549.140088
train,16,33.97243,6704.739,1741.018073,40.12346,1741.018073,8445.757073
eval,16,1.974804,430.45,103.072596,2.365997,103.072596,533.522596
train,17,32.827697,6577.283,1687.953739,39.141927,1687.953739,8265.236739
eval,17,1.975507,430.674,106.73856,2.660033,106.73856,537.41256
train,18,32.807087,6546.345,1694.973838,39.823792,1694.973838,8241.318838
eval,18,1.9698,430.591,102.413054,2.345277,102.413054,533.004054
train,19,32.876335,6552.923,1687.500012,39.948175,1687.500012,8240.423012
eval,19,1.973345,428.704,103.015303,2.565617,103.015303,531.719303
train,20,32.823142,6563.001,1682.674746,39.668404,1682.674746,8245.675746
eval,20,2.068001,429.768,108.023435,2.666595,108.023435,537.791435
train,21,32.785697,6546.414,1681.951929,40.080005,1681.951929,8228.365929
eval,21,1.999569,427.9,104.099887,2.426358,104.099887,531.999887
train,22,32.918977,6570.9,1686.689949,40.507259,1686.689949,8257.589949
eval,22,2.06585,437.329,107.13542,2.598438,107.13542,544.46442
train,23,32.934836,6574.815,1682.243662,40.999085,1682.243662,8257.058662
eval,23,2.038846,439.592,105.908677,2.74258,105.908677,545.500677
train,24,33.17657,6597.676,1704.127082,38.506218,1704.127082,8301.803082
eval,24,2.094668,436.83,108.746039,2.554738,108.746039,545.576039
train,25,33.279023,6614.695,1704.659692,39.801744,1704.659692,8319.354692
eval,25,2.085307,432.179,108.235705,2.497445,108.235705,540.414705
train,26,33.340163,6636.719,1709.708626,40.845818,1709.708626,8346.427626
eval,26,2.070828,446.563,108.085109,2.564611,108.085109,554.648109
train,27,33.386376,6652.933,1710.089603,41.301773,1710.089603,8363.022603
eval,27,2.004802,424.977,107.466396,2.685347,107.466396,532.443396
train,28,33.409387,6665.171,1713.047503,40.249383,1713.047503,8378.218503
eval,28,2.078215,441.964,109.504683,2.592761,109.504683,551.468683
train,29,33.332436,6626.801,1704.71125,40.10637,1704.71125,8331.51225
eval,29,2.075252,444.825,108.328627,2.685805,108.328627,553.153627
train,30,33.457313,6657.394,1707.062828,40.651569,1707.062828,8364.456828
eval,30,2.079466,439.95,108.103846,2.648819,108.103846,548.053846
