ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
Java/DL4J,resnet18,cifar100,3,1003,1,3.74306,,nan,17.9
Java/DL4J,resnet18,cifar100,3,1003,2,3.052408,,nan,22.31
Java/DL4J,resnet18,cifar100,3,1003,3,2.865927,,nan,23.81
Java/DL4J,resnet18,cifar100,3,1003,4,2.413574,,nan,24.94
Java/DL4J,resnet18,cifar100,3,1003,5,1.65658,,nan,25.93
Java/DL4J,resnet18,cifar100,3,1003,6,1.687317,,nan,25.24
Java/DL4J,resnet18,cifar100,3,1003,7,1.044871,,nan,25.83
Java/DL4J,resnet18,cifar100,3,1003,8,0.785942,,nan,25.03
Java/DL4J,resnet18,cifar100,3,1003,9,0.513693,,nan,24.59
Java/DL4J,resnet18,cifar100,3,1003,10,0.291278,,nan,25.13
Java/DL4J,resnet18,cifar100,3,1003,11,0.348764,,nan,24.71
Java/DL4J,resnet18,cifar100,3,1003,12,0.263184,,nan,24.82
Java/DL4J,resnet18,cifar100,3,1003,13,0.18804,,nan,24.79
Java/DL4J,resnet18,cifar100,3,1003,14,0.50943,,nan,23.87
Java/DL4J,resnet18,cifar100,3,1003,15,0.303294,,nan,24.09
Java/DL4J,resnet18,cifar100,3,1003,16,0.290652,,nan,24.56
Java/DL4J,resnet18,cifar100,3,1003,17,0.180745,,nan,25.46
Java/DL4J,resnet18,cifar100,3,1003,18,0.102803,,nan,25.35
Java/DL4J,resnet18,cifar100,3,1003,19,0.09909,,nan,24.98
Java/DL4J,resnet18,cifar100,3,1003,20,0.161188,,nan,23.61
Java/DL4J,resnet18,cifar100,3,1003,21,0.29215,,nan,24.6
Java/DL4J,resnet18,cifar100,3,1003,22,0.113357,,nan,25.15
Java/DL4J,resnet18,cifar100,3,1003,23,0.087122,,nan,26.08
Java/DL4J,resnet18,cifar100,3,1003,24,0.208493,,nan,26.14
Java/DL4J,resnet18,cifar100,3,1003,25,0.152309,,nan,24.61
Java/DL4J,resnet18,cifar100,3,1003,26,0.351355,,nan,24.59
Java/DL4J,resnet18,cifar100,3,1003,27,0.199618,,nan,25.93
Java/DL4J,resnet18,cifar100,3,1003,28,0.056439,,nan,26.13
Java/DL4J,resnet18,cifar100,3,1003,29,0.067833,,nan,26.84
Java/DL4J,resnet18,cifar100,3,1003,30,0.073386,,nan,26.79
