ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
Java/DL4J,resnet18,fashionmnist,2,1002,1,0.44363,,nan,85.94
Java/DL4J,resnet18,fashionmnist,2,1002,2,0.413555,,nan,87.67
Java/DL4J,resnet18,fashionmnist,2,1002,3,0.177006,,nan,87.26
Java/DL4J,resnet18,fashionmnist,2,1002,4,0.114571,,nan,87.93
Java/DL4J,resnet18,fashionmnist,2,1002,5,0.171823,,nan,87.97
Java/DL4J,resnet18,fashionmnist,2,1002,6,0.144189,,nan,88.49
Java/DL4J,resnet18,fashionmnist,2,1002,7,0.06153,,nan,88.53
Java/DL4J,resnet18,fashionmnist,2,1002,8,0.024206,,nan,88.85
Java/DL4J,resnet18,fashionmnist,2,1002,9,0.065635,,nan,88.7
Java/DL4J,resnet18,fashionmnist,2,1002,10,0.094817,,nan,88.55
Java/DL4J,resnet18,fashionmnist,2,1002,11,0.026646,,nan,88.84
Java/DL4J,resnet18,fashionmnist,2,1002,12,0.028502,,nan,88.99
Java/DL4J,resnet18,fashionmnist,2,1002,13,0.081658,,nan,89.5
Java/DL4J,resnet18,fashionmnist,2,1002,14,0.127466,,nan,88.84
Java/DL4J,resnet18,fashionmnist,2,1002,15,0.035197,,nan,89.06
Java/DL4J,resnet18,fashionmnist,2,1002,16,0.070399,,nan,89.26
Java/DL4J,resnet18,fashionmnist,2,1002,17,0.017736,,nan,89.51
Java/DL4J,resnet18,fashionmnist,2,1002,18,0.035821,,nan,89.16
Java/DL4J,resnet18,fashionmnist,2,1002,19,0.072773,,nan,88.89
Java/DL4J,resnet18,fashionmnist,2,1002,20,0.037003,,nan,89.25
Java/DL4J,resnet18,fashionmnist,2,1002,21,0.004435,,nan,89.65
Java/DL4J,resnet18,fashionmnist,2,1002,22,0.004796,,nan,89.19
Java/DL4J,resnet18,fashionmnist,2,1002,23,0.008126,,nan,88.6
Java/DL4J,resnet18,fashionmnist,2,1002,24,0.079448,,nan,88.86
Java/DL4J,resnet18,fashionmnist,2,1002,25,0.020229,,nan,89.64
Java/DL4J,resnet18,fashionmnist,2,1002,26,0.064067,,nan,89.42
Java/DL4J,resnet18,fashionmnist,2,1002,27,0.015071,,nan,89.42
Java/DL4J,resnet18,fashionmnist,2,1002,28,0.067511,,nan,89.63
Java/DL4J,resnet18,fashionmnist,2,1002,29,0.004914,,nan,89.63
Java/DL4J,resnet18,fashionmnist,2,1002,30,0.056258,,nan,89.44
