phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,67.836354,12950.364,3484.580629,80.466343,3484.580629,16434.944629
eval,1,2.194063,452.096,119.740404,2.740062,119.740404,571.836404
train,2,67.03265,13175.592,3423.365182,75.445668,3423.365182,16598.957182
eval,2,2.015127,422.125,106.529114,2.556966,106.529114,528.654114
train,3,67.105462,13327.591,3432.531807,72.810505,3432.531807,16760.122807
eval,3,2.203282,454.447,119.116521,2.902926,119.116521,573.563521
train,4,67.102839,13376.168,3433.438667,77.705591,3433.438667,16809.606667
eval,4,2.050956,425.04,112.769315,1.980778,112.769315,537.809315
train,5,67.086797,13319.538,3436.60722,78.167284,3436.60722,16756.14522
eval,5,2.198032,449.435,117.604025,3.004209,117.604025,567.039025
train,6,67.104219,13373.849,3439.215162,79.866368,3439.215162,16813.064162
eval,6,2.194476,460.232,117.364536,2.837179,117.364536,577.596536
train,7,67.407801,13355.785,3449.341882,79.337709,3449.341882,16805.126882
eval,7,2.03365,427.838,108.486028,2.489007,108.486028,536.324028
train,8,67.347906,13365.132,3464.389916,72.364513,3464.389916,16829.521916
eval,8,2.201874,453.818,119.261776,2.515343,119.261776,573.079776
train,9,67.425488,13356.534,3474.101725,73.64472,3474.101725,16830.635725
eval,9,2.04333,434.381,110.123104,1.971364,110.123104,544.504104
train,10,67.413124,13330.803,3454.255767,79.330782,3454.255767,16785.058767
eval,10,2.168986,453.439,116.055385,2.635057,116.055385,569.494385
train,11,67.583438,13356.9,3484.824178,67.351497,3484.824178,16841.724178
eval,11,2.205049,453.603,118.105373,2.725948,118.105373,571.708373
train,12,67.470811,13330.918,3453.904497,79.314304,3453.904497,16784.822497
eval,12,2.039248,427.262,108.658017,2.488077,108.658017,535.920017
train,13,67.738753,13331.215,3464.874175,80.980889,3464.874175,16796.089175
eval,13,2.229194,460.832,120.102233,2.83927,120.102233,580.934233
train,14,67.801049,13325.233,3464.921613,80.85527,3464.921613,16790.154613
eval,14,2.239398,457.042,120.954911,2.893496,120.954911,577.996911
train,15,67.78684,13318.717,3457.709125,81.034826,3457.709125,16776.426125
eval,15,2.037367,426.131,110.255925,2.538077,110.255925,536.386925
train,16,67.939126,13376.253,3466.16787,79.582921,3466.16787,16842.42087
eval,16,2.777127,548.202,147.709158,3.565352,147.709158,695.911158
train,17,66.54773,13164.375,3386.243904,77.772208,3386.243904,16550.618904
eval,17,2.135202,454.884,114.685644,2.199029,114.685644,569.569644
train,18,66.535851,13122.761,3396.999679,73.51782,3396.999679,16519.760679
eval,18,2.079147,444.87,110.111569,2.436596,110.111569,554.981569
train,19,66.786942,13180.103,3412.367201,76.031911,3412.367201,16592.470201
eval,19,1.975927,422.768,104.80946,2.40521,104.80946,527.57746
train,20,66.765982,13184.392,3404.465022,77.267809,3404.465022,16588.857022
eval,20,1.980821,424.116,104.987139,2.305423,104.987139,529.103139
train,21,67.00951,13219.996,3420.315048,75.597408,3420.315048,16640.311048
eval,21,2.157907,437.655,114.770447,2.695203,114.770447,552.425447
train,22,66.896605,13185.913,3404.452769,77.767844,3404.452769,16590.365769
eval,22,2.134708,440.268,113.469748,2.629946,113.469748,553.737748
train,23,66.927253,13178.053,3418.430227,75.020397,3418.430227,16596.483227
eval,23,2.17484,456.28,115.793511,2.80352,115.793511,572.073511
train,24,67.08132,13200.223,3415.267808,78.89483,3415.267808,16615.490808
eval,24,2.175317,450.153,114.992787,2.917329,114.992787,565.145787
train,25,67.264089,13188.451,3423.832596,77.551761,3423.832596,16612.283596
eval,25,2.172595,447.77,115.390654,2.827917,115.390654,563.160654
train,26,67.763834,13309.292,3449.943322,78.560497,3449.943322,16759.235322
eval,26,2.048971,431.74,108.361355,2.395995,108.361355,540.101355
train,27,67.823426,13319.951,3453.797798,78.292277,3453.797798,16773.748798
eval,27,2.228658,453.411,119.811736,2.780053,119.811736,573.222736
train,28,67.582812,13274.605,3435.765421,76.747389,3435.765421,16710.370421
eval,28,2.265716,468.587,123.588061,2.94101,123.588061,592.175061
train,29,67.649521,13299.552,3439.954459,79.665421,3439.954459,16739.506459
eval,29,2.059441,442.533,109.176559,2.543798,109.176559,551.709559
train,30,67.909115,13296.098,3451.004501,79.692687,3451.004501,16747.102501
eval,30,2.284598,456.627,120.647752,3.034008,120.647752,577.274752
