phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,43.698003,14011.626,2190.981894,48.899647,2190.981894,16202.607894
eval,1,2.835677,980.194,150.630607,3.60037,150.630607,1130.824607
train,2,40.611658,13699.335,2034.587394,45.168044,2034.587394,15733.922394
eval,2,2.793985,935.589,143.104049,3.348246,143.104049,1078.693049
train,3,40.706395,13737.707,2039.627218,45.04955,2039.627218,15777.334218
eval,3,2.791532,958.133,144.459479,3.221833,144.459479,1102.592479
train,4,40.68876,13748.592,2053.146538,44.680718,2053.146538,15801.738538
eval,4,2.800256,948.121,146.707837,3.425086,146.707837,1094.828837
train,5,40.742264,13756.73,2076.873781,46.651701,2076.873781,15833.603781
eval,5,2.79075,953.671,145.7213,3.326854,145.7213,1099.3923
train,6,40.752389,13748.31,2097.190587,46.148843,2097.190587,15845.500587
eval,6,2.796571,953.551,147.197008,3.424322,147.197008,1100.748008
train,7,40.795795,13823.099,2103.877938,48.670151,2103.877938,15926.976938
eval,7,2.804434,948.683,150.2375,3.38012,150.2375,1098.9205
train,8,40.784727,13779.537,2122.677351,48.98735,2122.677351,15902.214351
eval,8,2.800026,947.61,151.052552,3.414801,151.052552,1098.662552
train,9,40.815803,13768.485,2137.614094,48.095703,2137.614094,15906.099094
eval,9,2.792638,954.962,151.99661,3.174899,151.99661,1106.95861
train,10,40.837133,13825.405,2145.903399,50.692523,2145.903399,15971.308399
eval,10,2.790944,951.358,150.427843,3.512895,150.427843,1101.785843
train,11,40.865834,13793.279,2149.446642,49.883498,2149.446642,15942.725642
eval,11,2.801562,947.547,151.747508,3.655801,151.747508,1099.294508
train,12,40.844983,13799.352,2150.976791,51.133113,2150.976791,15950.328791
eval,12,2.794381,941.715,149.853563,3.448186,149.853563,1091.568563
train,13,40.849973,13807.167,2154.372321,49.670497,2154.372321,15961.539321
eval,13,2.798942,931.239,150.684865,3.464985,150.684865,1081.923865
train,14,40.829955,13780.904,2155.10408,50.12012,2155.10408,15936.00808
eval,14,2.800278,947.683,151.872379,3.712302,151.872379,1099.555379
train,15,40.842997,13801.302,2163.403059,49.431648,2163.403059,15964.705059
eval,15,2.808486,945.897,151.871876,3.430853,151.871876,1097.768876
train,16,40.830751,13780.921,2163.109388,51.426235,2163.109388,15944.030388
eval,16,2.806282,936.928,151.499505,3.517915,151.499505,1088.427505
train,17,40.826069,13813.424,2166.046553,48.726057,2166.046553,15979.470553
eval,17,2.793695,920.523,151.510003,3.48601,151.510003,1072.033003
train,18,40.766006,13860.298,2164.947367,50.516903,2164.947367,16025.245367
eval,18,2.822002,926.892,152.571333,3.676598,152.571333,1079.463333
train,19,40.830082,13786.189,2170.393664,51.485894,2170.393664,15956.582664
eval,19,2.813945,914.584,152.806764,3.627361,152.806764,1067.390764
train,20,40.830539,13757.09,2182.177067,50.24824,2182.177067,15939.267067
eval,20,2.809793,920.749,152.511919,3.69683,152.511919,1073.260919
train,21,40.851451,13735.043,2180.419207,51.237844,2180.419207,15915.462207
eval,21,2.812794,922.72,153.954914,3.555999,153.954914,1076.674914
train,22,40.833244,13751.511,2179.936368,50.580804,2179.936368,15931.447368
eval,22,2.817012,919.317,153.121705,3.518998,153.121705,1072.438705
train,23,40.84952,13728.74,2191.593267,43.731564,2191.593267,15920.333267
eval,23,2.810496,920.377,152.890332,3.574995,152.890332,1073.267332
train,24,40.840618,13724.335,2180.885126,50.655583,2180.885126,15905.220126
eval,24,2.816565,920.795,154.697261,3.640971,154.697261,1075.492261
train,25,40.859847,13761.749,2182.759022,50.838404,2182.759022,15944.508022
eval,25,2.830837,910.436,154.238865,3.538376,154.238865,1064.674865
train,26,40.875233,13751.144,2185.401829,50.590844,2185.401829,15936.545829
eval,26,2.822597,951.992,154.030074,3.745778,154.030074,1106.022074
train,27,40.879803,13747.053,2184.202795,51.437479,2184.202795,15931.255795
eval,27,2.82393,912.018,153.539454,3.570921,153.539454,1065.557454
train,28,40.897324,13768.053,2186.621737,52.524719,2186.621737,15954.674737
eval,28,2.830299,938.488,155.205216,3.870039,155.205216,1093.693216
train,29,40.940857,13687.142,2191.242363,52.03921,2191.242363,15878.384363
eval,29,2.835488,912.726,154.623854,3.65188,154.623854,1067.349854
train,30,41.01017,13661.706,2194.85767,51.690854,2194.85767,15856.56367
eval,30,2.824307,945.182,153.979952,3.616237,153.979952,1099.161952
