ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
Java/DL4J,vgg16,fashionmnist,4,1004,1,0.548956,,nan,80.74
Java/DL4J,vgg16,fashionmnist,4,1004,2,0.488032,,nan,83.89
Java/DL4J,vgg16,fashionmnist,4,1004,3,0.351509,,nan,86.6
Java/DL4J,vgg16,fashionmnist,4,1004,4,0.266676,,nan,90.31
Java/DL4J,vgg16,fashionmnist,4,1004,5,0.21841,,nan,89.92
Java/DL4J,vgg16,fashionmnist,4,1004,6,0.381305,,nan,90.97
Java/DL4J,vgg16,fashionmnist,4,1004,7,0.081172,,nan,90.55
Java/DL4J,vgg16,fashionmnist,4,1004,8,0.108306,,nan,91.61
Java/DL4J,vgg16,fashionmnist,4,1004,9,0.107671,,nan,92.04
Java/DL4J,vgg16,fashionmnist,4,1004,10,0.155214,,nan,91.08
Java/DL4J,vgg16,fashionmnist,4,1004,11,0.088567,,nan,92.26
Java/DL4J,vgg16,fashionmnist,4,1004,12,0.139788,,nan,92.4
Java/DL4J,vgg16,fashionmnist,4,1004,13,0.125703,,nan,92.37
Java/DL4J,vgg16,fashionmnist,4,1004,14,0.132142,,nan,91.62
Java/DL4J,vgg16,fashionmnist,4,1004,15,0.033578,,nan,92.46
Java/DL4J,vgg16,fashionmnist,4,1004,16,0.054065,,nan,92.4
Java/DL4J,vgg16,fashionmnist,4,1004,17,0.019525,,nan,92.43
Java/DL4J,vgg16,fashionmnist,4,1004,18,0.060778,,nan,92.36
Java/DL4J,vgg16,fashionmnist,4,1004,19,0.065014,,nan,91.95
Java/DL4J,vgg16,fashionmnist,4,1004,20,0.041769,,nan,92.58
Java/DL4J,vgg16,fashionmnist,4,1004,21,0.089459,,nan,92.44
Java/DL4J,vgg16,fashionmnist,4,1004,22,0.006016,,nan,92.8
Java/DL4J,vgg16,fashionmnist,4,1004,23,0.049374,,nan,92.39
Java/DL4J,vgg16,fashionmnist,4,1004,24,0.043371,,nan,92.85
Java/DL4J,vgg16,fashionmnist,4,1004,25,0.025984,,nan,92.7
Java/DL4J,vgg16,fashionmnist,4,1004,26,0.042525,,nan,92.57
Java/DL4J,vgg16,fashionmnist,4,1004,27,0.087886,,nan,92.21
Java/DL4J,vgg16,fashionmnist,4,1004,28,0.01737,,nan,92.5
Java/DL4J,vgg16,fashionmnist,4,1004,29,0.01322,,nan,92.12
Java/DL4J,vgg16,fashionmnist,4,1004,30,0.014354,,nan,92.53
