phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,85.064525,27811.231,4383.903643,99.339238,4383.903643,32195.134643
eval,1,2.868037,966.139,157.881881,4.104387,157.881881,1124.020881
train,2,81.767953,27778.679,4249.93018,96.462724,4249.93018,32028.60918
eval,2,2.832597,959.602,153.910818,3.440175,153.910818,1113.512818
train,3,81.944345,27781.365,4327.219609,97.654939,4327.219609,32108.584609
eval,3,2.836021,966.61,154.44262,3.516008,154.44262,1121.05262
train,4,82.070334,27743.262,4347.444409,101.179659,4347.444409,32090.706409
eval,4,2.84558,955.4,156.148969,3.620311,156.148969,1111.548969
train,5,82.221624,27708.928,4362.671191,101.421773,4362.671191,32071.599191
eval,5,2.854837,952.624,156.219857,3.674218,156.219857,1108.843857
train,6,82.216262,27564.797,4376.276337,102.575644,4376.276337,31941.073337
eval,6,2.855453,907.464,157.210864,3.591565,157.210864,1064.674864
train,7,82.316197,27556.262,4396.680235,101.155779,4396.680235,31952.942235
eval,7,2.859323,951.593,159.486854,3.648829,159.486854,1111.079854
train,8,82.327686,27486.116,4399.378551,102.823494,4399.378551,31885.494551
eval,8,2.854192,945.696,159.13737,3.71543,159.13737,1104.83337
train,9,82.377536,27422.767,4412.590362,103.38569,4412.590362,31835.357362
eval,9,2.862742,935.975,159.818319,3.706336,159.818319,1095.793319
train,10,82.340161,27459.231,4409.76992,103.435554,4409.76992,31869.00092
eval,10,2.855601,935.061,159.328049,3.728383,159.328049,1094.389049
train,11,82.552338,27297.764,4422.45617,103.967218,4422.45617,31720.22017
eval,11,2.876038,928.195,160.738926,3.884535,160.738926,1088.933926
train,12,82.698612,27298.643,4445.266193,104.688281,4445.266193,31743.909193
eval,12,2.863695,935.148,161.433241,3.903149,161.433241,1096.581241
train,13,82.668061,27232.834,4444.380283,103.335385,4444.380283,31677.214283
eval,13,2.852359,895.194,157.693764,3.664789,157.693764,1052.887764
train,14,82.612725,27313.276,4436.286707,104.025886,4436.286707,31749.562707
eval,14,2.862278,940.306,158.810452,3.753682,158.810452,1099.116452
train,15,82.568087,27294.145,4442.814964,104.356756,4442.814964,31736.959964
eval,15,2.856799,936.754,157.76595,3.707999,157.76595,1094.51995
train,16,82.477258,27340.056,4435.296113,104.878304,4435.296113,31775.352113
eval,16,2.861944,902.81,160.597774,3.584851,160.597774,1063.407774
train,17,82.398198,27407.041,4429.751584,105.264789,4429.751584,31836.792584
eval,17,2.863999,932.552,160.326059,3.25415,160.326059,1092.878059
train,18,82.525865,27395.128,4444.530086,103.935177,4444.530086,31839.658086
eval,18,2.864496,937.342,160.750842,3.349115,160.750842,1098.092842
train,19,82.296233,27440.061,4437.146115,100.586031,4437.146115,31877.207115
eval,19,2.855724,942.793,159.014909,3.762668,159.014909,1101.807909
train,20,82.352811,27456.763,4437.583882,103.92622,4437.583882,31894.346882
eval,20,2.871745,936.138,159.592073,3.781741,159.592073,1095.730073
train,21,82.303157,27474.298,4434.455915,103.116814,4434.455915,31908.753915
eval,21,2.854766,935.819,160.359245,3.684349,160.359245,1096.178245
train,22,82.271319,27539.061,4422.726816,102.852072,4422.726816,31961.787816
eval,22,2.854831,932.867,158.496228,3.729009,158.496228,1091.363228
train,23,82.184293,27545.944,4412.984705,104.748795,4412.984705,31958.928705
eval,23,2.864542,949.823,158.702516,3.859968,158.702516,1108.525516
train,24,82.230842,27586.875,4426.775649,101.215378,4426.775649,32013.650649
eval,24,2.856499,933.618,160.221329,2.990415,160.221329,1093.839329
train,25,82.116913,27672.763,4411.558784,101.132649,4411.558784,32084.321784
eval,25,2.845271,921.433,157.299727,3.615048,157.299727,1078.732727
train,26,81.947704,27670.103,4386.410075,104.125535,4386.410075,32056.513075
eval,26,2.851034,929.098,157.763096,3.65922,157.763096,1086.861096
train,27,82.000737,27766.915,4401.303577,102.619251,4401.303577,32168.218577
eval,27,2.843925,958.394,156.927203,3.622951,156.927203,1115.321203
train,28,82.019457,27720.898,4401.68019,100.621368,4401.68019,32122.57819
eval,28,2.84504,927.325,157.59915,3.57913,157.59915,1084.92415
train,29,82.00817,27740.307,4403.254068,101.34803,4403.254068,32143.561068
eval,29,2.844593,950.241,158.736908,3.650888,158.736908,1108.977908
train,30,82.008816,27654.888,4401.449551,102.006642,4401.449551,32056.337551
eval,30,2.852871,914.767,157.986825,3.582502,157.986825,1072.753825
