ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
Java/DL4J,vgg16,tinyimagenet,2,1002,1,5.29851,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,2,5.298399,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,3,5.298517,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,4,5.298653,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,5,5.298432,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,6,5.298383,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,7,5.298258,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,8,5.298543,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,9,5.298409,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,10,5.29848,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,11,5.298402,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,12,5.298406,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,13,5.298507,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,14,5.298522,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,15,5.298545,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,16,5.298492,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,17,5.298463,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,18,5.298576,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,19,5.298537,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,20,5.298426,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,21,5.298465,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,22,5.298447,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,23,5.298375,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,24,5.298548,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,25,5.298451,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,26,5.298456,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,27,5.298608,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,28,5.298622,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,29,5.298561,,nan,0.5
Java/DL4J,vgg16,tinyimagenet,2,1002,30,5.298433,,nan,0.5
