phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,4.879485,947.938,345.891917,13.600936,345.891917,1293.829917
eval,1,0.768658,87.407,48.299916,1.497939,48.299916,135.706916
train,2,1.520518,460.651,91.439119,2.887683,91.439119,552.090119
eval,2,0.331025,41.935,19.318169,0.580414,19.318169,61.253169
train,3,1.433397,428.098,86.26269,2.855825,86.26269,514.36069
eval,3,0.314415,34.399,18.600479,0.602737,18.600479,52.999479
train,4,1.568101,474.211,94.222224,2.516883,94.222224,568.433224
eval,4,0.304287,39.285,17.561455,0.444038,17.561455,56.846455
train,5,1.563631,439.552,93.581433,2.688368,93.581433,533.133433
eval,5,0.323891,46.905,18.765692,0.554766,18.765692,65.670692
train,6,1.56018,472.075,94.284507,2.224296,94.284507,566.359507
eval,6,0.326569,37.692,19.014992,0.478445,19.014992,56.706992
train,7,1.536899,451.543,91.281382,2.761485,91.281382,542.824382
eval,7,0.308591,31.109,17.699844,0.629256,17.699844,48.808844
train,8,1.524509,467.046,91.751221,2.614169,91.751221,558.797221
eval,8,0.304494,34.941,17.582648,0.414682,17.582648,52.523648
train,9,1.603439,463.64,95.799489,2.622941,95.799489,559.439489
eval,9,0.324398,32.567,18.67831,0.4746,18.67831,51.24531
train,10,1.58742,448.843,94.445739,2.636644,94.445739,543.288739
eval,10,0.292346,31.508,16.973503,0.559527,16.973503,48.481503
train,11,1.604361,467.816,95.805317,2.473109,95.805317,563.621317
eval,11,0.299389,33.509,17.204829,0.488363,17.204829,50.713829
train,12,1.618894,471.89,99.534358,2.369186,99.534358,571.424358
eval,12,0.294557,34.708,17.160504,0.480291,17.160504,51.868504
train,13,1.559709,477.991,93.394645,2.867436,93.394645,571.385645
eval,13,0.323308,43.477,18.538012,0.535709,18.538012,62.015012
train,14,1.533339,459.59,91.57728,2.78872,91.57728,551.16728
eval,14,0.315487,35.42,18.059689,0.563326,18.059689,53.479689
train,15,1.552973,482.846,92.589634,2.711576,92.589634,575.435634
eval,15,0.308167,38.42,17.848046,0.487142,17.848046,56.268046
train,16,1.516366,447.278,91.188231,2.937791,91.188231,538.466231
eval,16,0.341538,35.642,19.801603,0.617384,19.801603,55.443603
train,17,1.531373,477.276,91.469986,2.76925,91.469986,568.745986
eval,17,0.310529,42.82,17.910481,0.609252,17.910481,60.730481
train,18,1.558842,454.945,92.748988,2.822135,92.748988,547.693988
eval,18,0.298452,32.672,17.171369,0.508931,17.171369,49.843369
train,19,1.53525,485.526,91.630622,2.663681,91.630622,577.156622
eval,19,0.339836,43.154,19.72188,0.492696,19.72188,62.87588
train,20,1.537081,448.076,91.871851,2.842138,91.871851,539.947851
eval,20,0.291956,34.065,17.242242,0.554629,17.242242,51.307242
train,21,1.564965,471.574,94.325277,2.504082,94.325277,565.899277
eval,21,0.306891,41.903,17.900487,0.500203,17.900487,59.803487
train,22,1.495281,462.323,90.694102,2.506874,90.694102,553.017102
eval,22,0.31929,34.162,18.511677,0.450279,18.511677,52.673677
train,23,1.589481,459.447,95.70315,2.888294,95.70315,555.15015
eval,23,0.311662,35.265,18.074947,0.56447,18.074947,53.339947
train,24,1.55358,473.641,93.509859,3.141027,93.509859,567.150859
eval,24,0.337248,41.653,20.039277,0.424416,20.039277,61.692277
train,25,1.514482,456.711,92.111432,2.545446,92.111432,548.822432
eval,25,0.307886,35.844,17.985246,0.839236,17.985246,53.829246
train,26,1.595805,475.381,96.181397,2.482584,96.181397,571.562397
eval,26,0.294616,37.904,17.426009,0.598251,17.426009,55.330009
train,27,1.565608,469.041,94.601401,2.571431,94.601401,563.642401
eval,27,0.327157,35.239,18.911162,0.584778,18.911162,54.150162
train,28,1.589522,471.23,95.801854,2.446406,95.801854,567.031854
eval,28,0.307492,35.738,17.907384,0.60176,17.907384,53.645384
train,29,1.572123,471.786,96.375677,2.508064,96.375677,568.161677
eval,29,0.337792,35.752,19.671804,0.389872,19.671804,55.423804
train,30,1.616227,500.767,96.761994,2.760034,96.761994,597.528994
eval,30,0.340217,45.025,19.757356,0.47193,19.757356,64.782356
