phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,4.824163,996.099,320.483472,11.436954,320.483472,1316.582472
eval,1,0.665194,77.885,41.693111,1.374089,41.693111,119.578111
train,2,1.642077,510.762,93.976891,2.353394,93.976891,604.738891
eval,2,0.211976,20.88,12.241493,0.450325,12.241493,33.121493
train,3,1.6358,538.721,92.907031,2.043993,92.907031,631.628031
eval,3,0.218519,32.08,12.31905,0.400003,12.31905,44.39905
train,4,1.649701,511.491,92.827368,3.478351,92.827368,604.318368
eval,4,0.235124,22.623,13.474127,0.423302,13.474127,36.097127
train,5,1.637474,531.384,92.589358,2.933488,92.589358,623.973358
eval,5,0.220481,28.742,12.908665,0.50031,12.908665,41.650665
train,6,1.633534,514.924,92.381483,3.02171,92.381483,607.305483
eval,6,0.225413,22.6,12.821297,0.487646,12.821297,35.421297
train,7,1.63469,544.667,92.038972,2.602893,92.038972,636.705972
eval,7,0.244072,30.291,14.044073,0.361691,14.044073,44.335073
train,8,1.64926,501.85,93.422247,2.811195,93.422247,595.272247
eval,8,0.217349,29.299,12.346118,0.580597,12.346118,41.645118
train,9,1.63711,515.992,92.382872,2.420315,92.382872,608.374872
eval,9,0.215487,20.384,12.36075,0.500691,12.36075,32.74475
train,10,1.639702,539.513,95.632796,2.692106,95.632796,635.145796
eval,10,0.21948,29.17,12.549369,0.516544,12.549369,41.719369
train,11,1.648282,504.058,93.015255,2.862843,93.015255,597.073255
eval,11,0.211834,20.204,12.47842,0.505161,12.47842,32.68242
train,12,1.642594,533.245,92.528403,2.507851,92.528403,625.773403
eval,12,0.228713,28.845,13.140891,0.434579,13.140891,41.985891
train,13,1.761446,555.744,98.067789,2.951797,98.067789,653.811789
eval,13,0.235473,29.828,13.530825,0.389797,13.530825,43.358825
train,14,1.640234,508.795,92.221076,2.450938,92.221076,601.016076
eval,14,0.250385,34.095,14.645666,0.395762,14.645666,48.740666
train,15,1.643529,505.926,93.726766,3.352976,93.726766,599.652766
eval,15,0.214231,33.654,12.291341,0.325331,12.291341,45.945341
train,16,1.644182,531.385,93.394203,2.455881,93.394203,624.779203
eval,16,0.230964,27.7,13.175527,0.363965,13.175527,40.875527
train,17,1.644625,510.579,92.49627,2.344483,92.49627,603.07527
eval,17,0.224842,31.647,12.906529,0.413568,12.906529,44.553529
train,18,1.644004,514.706,93.028026,3.031841,93.028026,607.734026
eval,18,0.239672,34.383,13.693948,0.461905,13.693948,48.076948
train,19,1.640617,520.453,93.61285,2.242392,93.61285,614.06585
eval,19,0.230207,35.565,13.436363,0.362896,13.436363,49.001363
train,20,1.64877,525.079,93.401389,2.620135,93.401389,618.480389
eval,20,0.240064,24.998,13.674967,0.53165,13.674967,38.672967
train,21,1.64941,541.868,93.649683,2.363297,93.649683,635.517683
eval,21,0.24278,29.016,13.845674,0.364178,13.845674,42.861674
train,22,1.643974,513.166,92.882236,3.027615,92.882236,606.048236
eval,22,0.225036,31.451,12.922199,0.424248,12.922199,44.373199
train,23,1.649797,511.644,93.348429,2.985533,93.348429,604.992429
eval,23,0.23911,21.23,13.744467,0.347974,13.744467,34.974467
train,24,1.642821,538.923,94.2019,2.826941,94.2019,633.1249
eval,24,0.209775,27.214,12.070726,0.399317,12.070726,39.284726
train,25,1.640148,518.865,92.593966,2.438503,92.593966,611.458966
eval,25,0.262801,35.078,14.988513,0.395746,14.988513,50.066513
train,26,1.660695,507.303,94.233744,2.463175,94.233744,601.536744
eval,26,0.252353,34.206,14.436083,0.394954,14.436083,48.642083
train,27,1.641306,520.605,93.636744,2.675642,93.636744,614.241744
eval,27,0.213516,23.202,12.414793,0.408823,12.414793,35.616793
train,28,1.639747,545.055,93.838455,2.390319,93.838455,638.893455
eval,28,0.22847,32.171,13.583816,0.370282,13.583816,45.754816
train,29,1.649436,513.796,94.119034,3.517228,94.119034,607.915034
eval,29,0.20875,32.628,12.111343,0.510182,12.111343,44.739343
train,30,1.643243,538.229,93.318416,2.885685,93.318416,631.547416
eval,30,0.247212,25.511,14.15271,0.342999,14.15271,39.66371
