phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,10.582706,1839.164,664.078969,18.472708,664.078969,2503.242969
eval,1,1.316048,164.221,76.876213,2.306522,76.876213,241.097213
train,2,7.204459,1308.129,408.660629,8.999779,408.660629,1716.789629
eval,2,0.727765,91.979,40.73062,0.839831,40.73062,132.70962
train,3,7.315196,1279.921,417.509857,9.874413,417.509857,1697.430857
eval,3,0.734205,97.507,41.112452,1.04145,41.112452,138.619452
train,4,7.261856,1284.004,412.280055,8.853668,412.280055,1696.284055
eval,4,0.70411,89.13,39.505022,1.058158,39.505022,128.635022
train,5,7.221331,1305.975,410.243021,8.490711,410.243021,1716.218021
eval,5,0.712442,86.4,40.902121,0.732857,40.902121,127.302121
train,6,7.167085,1344.0,405.187801,10.452646,405.187801,1749.187801
eval,6,0.699164,89.669,38.973266,0.933637,38.973266,128.642266
train,7,7.199191,1357.112,404.83821,11.420064,404.83821,1761.95021
eval,7,0.721334,90.857,40.29296,0.978037,40.29296,131.14996
train,8,7.258709,1292.854,414.74259,11.229629,414.74259,1707.59659
eval,8,0.711081,88.703,39.713706,1.011422,39.713706,128.416706
train,9,7.392942,1312.584,417.082359,10.308488,417.082359,1729.666359
eval,9,0.746812,99.06,41.509145,0.888687,41.509145,140.569145
train,10,7.15484,1369.573,406.463615,8.813235,406.463615,1776.036615
eval,10,0.712581,94.45,40.266427,0.703715,40.266427,134.716427
train,11,7.214699,1339.299,411.182913,9.213177,411.182913,1750.481913
eval,11,0.690394,92.847,38.570988,1.000177,38.570988,131.417988
train,12,7.293576,1319.579,414.30995,8.238557,414.30995,1733.88895
eval,12,0.721784,90.242,40.34911,0.921965,40.34911,130.59111
train,13,7.305701,1316.93,419.449637,7.928087,419.449637,1736.379637
eval,13,0.725726,95.343,40.518382,1.020944,40.518382,135.861382
train,14,7.151123,1361.513,402.881982,10.101559,402.881982,1764.394982
eval,14,0.716242,86.369,40.113236,1.002069,40.113236,126.482236
train,15,7.292382,1337.816,409.673165,10.360533,409.673165,1747.489165
eval,15,0.714536,93.526,39.788073,0.885208,39.788073,133.314073
train,16,7.26582,1300.686,410.903493,10.854206,410.903493,1711.589493
eval,16,0.708372,89.963,39.811693,0.855028,39.811693,129.774693
train,17,7.293343,1324.792,415.065098,8.960383,415.065098,1739.857098
eval,17,0.736035,96.2,41.25133,0.902236,41.25133,137.45133
train,18,7.165803,1319.654,407.974156,10.125407,407.974156,1727.628156
eval,18,0.725767,97.908,40.690279,0.890747,40.690279,138.598279
train,19,7.279301,1347.761,411.973279,10.705623,411.973279,1759.734279
eval,19,0.714212,87.751,39.73647,1.12572,39.73647,127.48747
train,20,7.226224,1383.049,409.058878,10.894258,409.058878,1792.107878
eval,20,0.718563,95.462,40.172208,1.023247,40.172208,135.634208
train,21,7.166863,1385.603,413.540534,8.47913,413.540534,1799.143534
eval,21,0.735036,86.413,41.215795,0.802648,41.215795,127.628795
train,22,7.23033,1319.384,411.754066,9.159378,411.754066,1731.138066
eval,22,0.769442,90.405,42.889186,0.949811,42.889186,133.294186
train,23,7.188043,1353.018,410.317663,10.605943,410.317663,1763.335663
eval,23,0.688729,83.622,39.092888,0.837557,39.092888,122.714888
train,24,7.246439,1330.951,411.85599,10.563525,411.85599,1742.80699
eval,24,0.733694,86.362,40.858361,1.022683,40.858361,127.220361
train,25,7.133727,1393.676,407.618965,9.343298,407.618965,1801.294965
eval,25,0.72415,94.387,40.713486,0.850512,40.713486,135.100486
train,26,7.221254,1308.855,412.98493,10.624343,412.98493,1721.83993
eval,26,0.754914,88.242,42.212416,0.930478,42.212416,130.454416
train,27,7.193818,1360.866,407.593042,10.541951,407.593042,1768.459042
eval,27,0.67603,83.924,37.801268,1.038169,37.801268,121.725268
train,28,7.362843,1314.799,418.960771,10.505209,418.960771,1733.759771
eval,28,0.710087,87.365,40.109315,0.928495,40.109315,127.474315
train,29,7.270076,1298.735,411.655134,10.423365,411.655134,1710.390134
eval,29,0.720745,87.212,40.284049,0.989466,40.284049,127.496049
train,30,7.235879,1356.112,410.309652,10.089062,410.309652,1766.421652
eval,30,0.719998,91.8,40.196194,0.996836,40.196194,131.996194
