phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,8.121164,2316.217,473.251954,14.903358,473.251954,2789.468954
eval,1,0.974154,220.438,66.981185,2.613146,66.981185,287.419185
train,2,4.996724,1701.311,252.492115,6.332665,252.492115,1953.803115
eval,2,0.326167,86.315,19.092915,0.486242,19.092915,105.407915
train,3,5.01198,1724.197,254.137157,6.321359,254.137157,1978.334157
eval,3,0.31916,98.828,18.097193,0.496144,18.097193,116.925193
train,4,5.011027,1695.564,253.815365,6.402531,253.815365,1949.379365
eval,4,0.311348,75.339,17.611791,0.474845,17.611791,92.950791
train,5,5.018855,1707.14,254.214087,6.144488,254.214087,1961.354087
eval,5,0.300838,91.872,17.631,0.472509,17.631,109.503
train,6,5.026768,1700.512,254.494468,6.317789,254.494468,1955.006468
eval,6,0.294759,93.549,16.789567,0.499104,16.789567,110.338567
train,7,5.023982,1698.665,255.228516,6.143878,255.228516,1953.893516
eval,7,0.342139,106.359,19.776047,0.385813,19.776047,126.135047
train,8,5.028921,1692.934,257.632123,4.898368,257.632123,1950.566123
eval,8,0.322684,107.104,18.509983,0.540576,18.509983,125.613983
train,9,5.030649,1699.197,257.444695,5.95503,257.444695,1956.641695
eval,9,0.300059,71.462,17.21078,0.585068,17.21078,88.67278
train,10,5.031099,1718.445,256.568656,6.000712,256.568656,1975.013656
eval,10,0.30689,78.969,17.538933,0.416727,17.538933,96.507933
train,11,5.036919,1721.756,257.136467,6.403462,257.136467,1978.892467
eval,11,0.339755,107.814,19.348014,0.541033,19.348014,127.162014
train,12,5.035081,1713.697,259.104871,6.038094,259.104871,1972.801871
eval,12,0.307213,74.033,17.594656,0.537997,17.594656,91.627656
train,13,5.04228,1720.099,258.318367,6.383368,258.318367,1978.417367
eval,13,0.337742,112.74,19.327568,0.462241,19.327568,132.067568
train,14,5.037637,1694.663,258.06394,6.030465,258.06394,1952.72694
eval,14,0.307235,75.091,17.601171,0.539859,17.601171,92.692171
train,15,5.045693,1718.212,260.81778,6.2469,260.81778,1979.02978
eval,15,0.328405,108.734,18.893355,0.689067,18.893355,127.627355
train,16,5.040881,1714.85,258.344077,6.698414,258.344077,1973.194077
eval,16,0.314443,98.299,18.091289,0.510411,18.091289,116.390289
train,17,5.043059,1726.52,259.340805,6.736102,259.340805,1985.860805
eval,17,0.297406,101.296,17.081286,0.601791,17.081286,118.377286
train,18,5.040521,1696.107,261.961199,6.396779,261.961199,1958.068199
eval,18,0.312763,71.83,17.991334,0.527575,17.991334,89.821334
train,19,5.046533,1696.492,258.651404,6.506606,258.651404,1955.143404
eval,19,0.299567,70.711,17.240259,0.45304,17.240259,87.951259
train,20,5.03944,1717.829,259.964904,6.304255,259.964904,1977.793904
eval,20,0.305575,77.832,17.62711,0.539339,17.62711,95.45911
train,21,5.041855,1712.737,263.605783,5.957669,263.605783,1976.342783
eval,21,0.316294,72.793,18.375469,0.550295,18.375469,91.168469
train,22,5.043385,1708.516,260.26892,6.555737,260.26892,1968.78492
eval,22,0.297643,74.215,17.079728,0.478735,17.079728,91.294728
train,23,5.046013,1712.36,259.822821,6.315606,259.822821,1972.182821
eval,23,0.298313,77.341,17.408645,0.52129,17.408645,94.749645
train,24,5.045836,1713.006,262.520024,6.86285,262.520024,1975.526024
eval,24,0.338243,81.047,19.658301,0.45832,19.658301,100.705301
train,25,5.045065,1715.856,259.971755,6.45801,259.971755,1975.827755
eval,25,0.313986,74.057,18.133203,0.599075,18.133203,92.190203
train,26,5.046083,1718.567,259.987303,6.452211,259.987303,1978.554303
eval,26,0.338068,99.994,19.278757,0.491827,19.278757,119.272757
train,27,5.040638,1744.746,263.017388,5.121607,263.017388,2007.763388
eval,27,0.304394,99.604,17.88381,0.527957,17.88381,117.48781
train,28,5.042487,1712.093,260.100227,6.428119,260.100227,1972.193227
eval,28,0.321223,102.447,18.53284,0.567109,18.53284,120.97984
train,29,5.048484,1734.913,259.662704,6.308298,259.662704,1994.575704
eval,29,0.304784,101.048,18.154747,0.599151,18.154747,119.202747
train,30,5.050238,1738.651,261.072543,6.926705,261.072543,1999.723543
eval,30,0.33715,99.142,19.809569,0.551027,19.809569,118.951569
