phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,8.782739,2624.18,499.110907,14.047858,499.110907,3123.290907
eval,1,0.966166,233.066,62.937999,2.407025,62.937999,296.003999
train,2,6.042069,2056.876,307.631643,6.129489,307.631643,2364.507643
eval,2,0.296152,76.95,16.079521,0.489263,16.079521,93.029521
train,3,6.049746,2061.296,308.415996,6.333229,308.415996,2369.711996
eval,3,0.294475,85.535,16.53572,0.371685,16.53572,102.07072
train,4,6.057767,2077.187,308.519476,5.700984,308.519476,2385.706476
eval,4,0.298153,93.181,16.635721,0.388926,16.635721,109.816721
train,5,6.067902,2085.899,308.934783,5.861391,308.934783,2394.833783
eval,5,0.29934,79.684,16.65519,0.454429,16.65519,96.33919
train,6,6.075294,2069.008,312.904839,5.763679,312.904839,2381.912839
eval,6,0.29828,76.502,16.754321,0.505437,16.754321,93.256321
train,7,6.08015,2063.572,309.31277,6.194901,309.31277,2372.88477
eval,7,0.298444,77.161,16.213914,0.537296,16.213914,93.374914
train,8,6.074781,2063.913,307.282616,7.359254,307.282616,2371.195616
eval,8,0.295203,75.063,16.165637,0.434655,16.165637,91.228637
train,9,6.088735,2073.059,315.49284,5.928465,315.49284,2388.55184
eval,9,0.297158,69.966,16.302135,0.501149,16.302135,86.268135
train,10,6.085688,2083.773,311.351361,6.208435,311.351361,2395.124361
eval,10,0.295836,97.166,16.289106,0.368725,16.289106,113.455106
train,11,6.086838,2079.805,311.025359,5.995463,311.025359,2390.830359
eval,11,0.297123,88.187,16.286511,0.33621,16.286511,104.473511
train,12,6.087806,2091.659,311.555055,7.786188,311.555055,2403.214055
eval,12,0.296266,83.978,16.363564,0.596801,16.363564,100.341564
train,13,6.084342,2072.001,309.583416,7.523094,309.583416,2381.584416
eval,13,0.295945,80.043,16.326426,0.397837,16.326426,96.369426
train,14,6.087,2072.826,310.310109,7.074143,310.310109,2383.136109
eval,14,0.297088,72.465,16.902278,0.540713,16.902278,89.367278
train,15,6.083149,2070.007,311.622267,5.761574,311.622267,2381.629267
eval,15,0.297483,70.401,16.700354,0.346723,16.700354,87.101354
train,16,6.095944,2094.023,310.507807,7.187372,310.507807,2404.530807
eval,16,0.296991,97.438,16.29086,0.395228,16.29086,113.72886
train,17,6.082607,2078.962,310.324131,7.490808,310.324131,2389.286131
eval,17,0.297671,82.22,16.837279,0.416314,16.837279,99.057279
train,18,6.076885,2088.716,311.775884,6.190933,311.775884,2400.491884
eval,18,0.296128,81.506,16.198808,0.424096,16.198808,97.704808
train,19,6.093176,2077.638,309.534987,7.810692,309.534987,2387.172987
eval,19,0.295474,66.832,16.181765,0.440926,16.181765,83.013765
train,20,6.082438,2092.516,314.444844,6.692007,314.444844,2406.960844
eval,20,0.295604,67.55,16.803116,0.411646,16.803116,84.353116
train,21,6.084157,2096.743,312.024086,6.248411,312.024086,2408.767086
eval,21,0.296058,99.168,16.656029,0.558,16.656029,115.824029
train,22,6.081755,2075.394,311.27208,6.753191,311.27208,2386.66608
eval,22,0.29596,94.645,16.291608,0.55591,16.291608,110.936608
train,23,6.081525,2064.979,316.869874,6.216399,316.869874,2381.848874
eval,23,0.295768,94.608,16.929895,0.32614,16.929895,111.537895
train,24,6.090018,2061.267,312.109699,6.1736,312.109699,2373.376699
eval,24,0.29556,69.47,16.351876,0.528873,16.351876,85.821876
train,25,6.081001,2071.937,311.192189,7.755642,311.192189,2383.129189
eval,25,0.29536,66.861,16.264173,0.539218,16.264173,83.125173
train,26,6.077332,2092.623,312.517621,8.139274,312.517621,2405.140621
eval,26,0.295245,67.478,16.26866,0.479773,16.26866,83.74666
train,27,6.082742,2066.925,311.074031,7.674179,311.074031,2377.999031
eval,27,0.29666,97.754,16.602626,0.520939,16.602626,114.356626
train,28,6.085606,2079.633,311.310042,7.986526,311.310042,2390.943042
eval,28,0.293928,94.823,16.583219,0.384212,16.583219,111.406219
train,29,6.090122,2087.738,312.794889,6.699376,312.794889,2400.532889
eval,29,0.296,86.71,16.664512,0.517658,16.664512,103.374512
train,30,6.08608,2086.391,312.789289,6.024026,312.789289,2399.180289
eval,30,0.295061,82.956,16.546813,0.506733,16.546813,99.502813
