phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,12.833919,4059.806,780.42012,19.461243,780.42012,4840.22612
eval,1,1.432838,337.498,93.364419,3.34199,93.364419,430.862419
train,2,10.080393,3424.309,561.806823,14.056509,561.806823,3986.115823
eval,2,0.730818,184.825,41.064908,0.984233,41.064908,225.889908
train,3,10.107464,3463.598,565.742029,12.951417,565.742029,4029.340029
eval,3,0.699889,173.52,39.323437,1.018227,39.323437,212.843437
train,4,10.135326,3504.404,566.223709,13.657848,566.223709,4070.627709
eval,4,0.719308,162.135,40.388078,1.183533,40.388078,202.523078
train,5,10.177197,3492.066,570.887042,13.391672,570.887042,4062.953042
eval,5,0.684489,168.99,39.105949,0.99853,39.105949,208.095949
train,6,10.16227,3492.641,567.379762,13.397547,567.379762,4060.020762
eval,6,0.703108,187.938,39.622905,0.913054,39.622905,227.560905
train,7,10.167926,3465.664,568.354244,12.993194,568.354244,4034.018244
eval,7,0.736558,186.032,41.693309,1.188567,41.693309,227.725309
train,8,10.183429,3491.047,569.586999,13.484242,569.586999,4060.633999
eval,8,0.75288,186.337,42.413685,1.18486,42.413685,228.750685
train,9,10.178111,3503.652,569.287149,13.286835,569.287149,4072.939149
eval,9,0.726408,179.887,42.409337,1.013803,42.409337,222.296337
train,10,10.178639,3492.558,569.557628,13.566621,569.557628,4062.115628
eval,10,0.72833,177.843,41.177055,0.972972,41.177055,219.020055
train,11,10.179566,3472.192,568.949855,13.518344,568.949855,4041.141855
eval,11,0.736087,180.331,41.658506,0.957363,41.658506,221.989506
train,12,10.174736,3481.579,569.713656,13.392847,569.713656,4051.292656
eval,12,0.718704,174.236,40.626912,1.022103,40.626912,214.862912
train,13,10.192595,3461.328,570.818106,13.862839,570.818106,4032.146106
eval,13,0.740625,170.535,41.905746,1.112857,41.905746,212.440746
train,14,10.179549,3511.772,575.197564,13.017256,575.197564,4086.969564
eval,14,0.722839,164.175,40.926732,1.057654,40.926732,205.101732
train,15,10.198138,3483.441,572.470715,12.984955,572.470715,4055.911715
eval,15,0.708747,168.957,40.033574,0.967311,40.033574,208.990574
train,16,10.192395,3481.539,575.790704,13.629346,575.790704,4057.329704
eval,16,0.706281,162.1,40.009329,1.10918,40.009329,202.109329
train,17,10.185087,3483.666,569.893166,13.350841,569.893166,4053.559166
eval,17,0.718027,171.388,40.590079,1.121585,40.590079,211.978079
train,18,10.186232,3513.125,574.786147,13.860611,574.786147,4087.911147
eval,18,0.713701,167.517,41.000031,0.898864,41.000031,208.517031
train,19,10.186067,3488.389,571.396231,13.909284,571.396231,4059.785231
eval,19,0.73094,173.574,41.532337,0.991663,41.532337,215.106337
train,20,10.188939,3484.869,574.470138,13.350124,574.470138,4059.339138
eval,20,0.737466,165.123,42.085256,1.083288,42.085256,207.208256
train,21,10.185872,3487.942,571.335886,13.98028,571.335886,4059.277886
eval,21,0.738775,187.61,42.053429,0.94946,42.053429,229.663429
train,22,10.187412,3476.252,570.908219,14.174209,570.908219,4047.160219
eval,22,0.734518,189.529,42.703755,0.994303,42.703755,232.232755
train,23,10.182107,3470.812,572.542581,13.415108,572.542581,4043.354581
eval,23,0.712286,181.277,40.548959,1.141069,40.548959,221.825959
train,24,10.185588,3503.374,571.572324,13.497288,571.572324,4074.946324
eval,24,0.71169,189.451,40.867622,0.91899,40.867622,230.318622
train,25,10.194195,3487.424,574.445909,14.034033,574.445909,4061.869909
eval,25,0.733714,183.921,41.754097,1.114491,41.754097,225.675097
train,26,10.191434,3485.702,572.547234,14.943761,572.547234,4058.249234
eval,26,0.709425,176.924,40.078555,0.993708,40.078555,217.002555
train,27,10.186842,3508.62,575.869053,14.132219,575.869053,4084.489053
eval,27,0.739398,180.229,41.702891,1.083577,41.702891,221.931891
train,28,10.187059,3467.538,574.710056,13.652019,574.710056,4042.248056
eval,28,0.731761,169.154,41.660657,1.257427,41.660657,210.814657
train,29,10.193167,3524.359,577.265221,14.666997,577.265221,4101.624221
eval,29,0.721441,173.073,41.313431,1.119327,41.313431,214.386431
train,30,10.206578,3495.938,574.860286,13.68722,574.860286,4070.798286
eval,30,0.709763,161.216,40.430542,1.174957,40.430542,201.646542
