phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,8.850507,2938.405,478.660991,11.170412,478.660991,3417.065991
eval,1,0.954029,151.014,52.657342,1.187653,52.657342,203.671342
train,2,8.502077,2891.422,463.914501,10.977688,463.914501,3355.336501
eval,2,0.967264,145.311,53.100602,1.328301,53.100602,198.411602
train,3,8.532594,2858.009,461.818601,12.074586,461.818601,3319.827601
eval,3,0.971971,149.786,53.525735,1.028588,53.525735,203.311735
train,4,8.544745,2903.737,464.6821,9.327001,464.6821,3368.4191
eval,4,0.940554,144.442,51.713574,1.220121,51.713574,196.155574
train,5,8.544258,2916.652,458.276761,9.793591,458.276761,3374.928761
eval,5,0.935202,141.155,51.484017,1.118777,51.484017,192.639017
train,6,8.556402,2910.285,464.000601,9.962329,464.000601,3374.285601
eval,6,0.959785,154.328,52.920024,1.277354,52.920024,207.248024
train,7,8.568278,2917.413,461.514768,11.682043,461.514768,3378.927768
eval,7,0.964681,159.564,53.397446,1.381963,53.397446,212.961446
train,8,8.596739,2946.682,466.808196,11.409261,466.808196,3413.490196
eval,8,0.965654,161.141,53.898061,1.401722,53.898061,215.039061
train,9,8.599251,2943.156,468.448232,17.250634,468.448232,3411.604232
eval,9,0.952089,160.516,53.077623,1.196517,53.077623,213.593623
train,10,8.598306,2905.569,467.632662,14.944952,467.632662,3373.201662
eval,10,0.942213,145.158,53.726058,1.167054,53.726058,198.884058
train,11,8.596079,2902.895,470.442941,15.142802,470.442941,3373.337941
eval,11,0.95934,148.311,53.550514,1.209929,53.550514,201.861514
train,12,8.599723,2905.92,469.721405,14.71306,469.721405,3375.641405
eval,12,0.965643,149.803,53.826944,1.121219,53.826944,203.629944
train,13,8.604259,2904.396,475.886736,17.344593,475.886736,3380.282736
eval,13,0.974653,164.342,54.405802,1.213865,54.405802,218.747802
train,14,8.59481,2894.705,468.458073,13.975718,468.458073,3363.163073
eval,14,0.957713,147.8,53.10794,1.236096,53.10794,200.90794
train,15,8.601191,2915.773,474.676105,12.22596,474.676105,3390.449105
eval,15,0.956605,148.2,53.348468,1.359351,53.348468,201.548468
train,16,8.60158,2907.774,468.794604,12.323399,468.794604,3376.568604
eval,16,0.959121,150.486,53.399155,1.405445,53.399155,203.885155
train,17,8.589751,2927.756,470.506338,11.171755,470.506338,3398.262338
eval,17,0.941492,153.393,52.688239,1.289377,52.688239,206.081239
train,18,8.607225,2919.813,471.684301,14.423479,471.684301,3391.497301
eval,18,0.961731,155.865,53.623051,1.239941,53.623051,209.488051
train,19,8.607369,2901.893,473.387842,16.553435,473.387842,3375.280842
eval,19,0.943093,152.109,53.521219,1.465286,53.521219,205.630219
train,20,8.60243,2928.862,471.497558,13.742026,471.497558,3400.359558
eval,20,0.966844,155.477,54.057126,1.44687,54.057126,209.534126
train,21,8.621097,2928.694,474.024177,16.898555,474.024177,3402.718177
eval,21,0.970572,150.874,54.348203,1.391758,54.348203,205.222203
train,22,8.604829,2904.51,473.330182,12.770611,473.330182,3377.840182
eval,22,0.954728,149.429,53.369264,1.337211,53.369264,202.798264
train,23,8.609818,2916.656,473.054912,12.684571,473.054912,3389.710912
eval,23,0.968433,148.449,54.059278,1.226957,54.059278,202.508278
train,24,8.610336,2927.213,477.393555,12.350711,477.393555,3404.606555
eval,24,0.951206,147.544,53.460065,1.345359,53.460065,201.004065
train,25,8.621415,2918.072,474.462783,16.12821,474.462783,3392.534783
eval,25,0.963136,162.177,53.92377,1.264324,53.92377,216.10077
train,26,8.613263,2953.347,478.426201,15.679716,478.426201,3431.773201
eval,26,0.957243,161.228,53.490199,1.400745,53.490199,214.718199
train,27,8.621923,2949.886,474.648519,16.613063,474.648519,3424.534519
eval,27,0.96569,158.994,54.076565,1.392033,54.076565,213.070565
train,28,8.615637,2942.097,479.031837,17.834771,479.031837,3421.128837
eval,28,0.958658,156.984,53.972154,1.422915,53.972154,210.956154
train,29,8.623001,2913.017,475.822072,16.281247,475.822072,3388.839072
eval,29,0.952233,153.549,53.668581,1.326027,53.668581,207.217581
train,30,8.607599,2931.72,473.975321,12.194666,473.975321,3405.695321
eval,30,0.969757,154.07,55.607124,1.345755,55.607124,209.677124
