ecosystem,model,dataset,repetition,seed,precision,epoch,train_loss,test_loss,test_acc
Python/PyTorch,resnet18,cifar100,2,1002,fp32,1,3.8064820220184328,3.3563833702087402,20.18
Python/PyTorch,resnet18,cifar100,2,1002,fp32,2,3.0665755744934082,3.082468172836304,25.12
Python/PyTorch,resnet18,cifar100,2,1002,fp32,3,2.645694718170166,2.937706718444824,27.77
Python/PyTorch,resnet18,cifar100,2,1002,fp32,4,2.2706077583312987,2.8572338317871093,30.0
Python/PyTorch,resnet18,cifar100,2,1002,fp32,5,1.8968411797714233,2.881682960128784,30.67
Python/PyTorch,resnet18,cifar100,2,1002,fp32,6,1.5230000347137451,2.9743434452056885,29.7
Python/PyTorch,resnet18,cifar100,2,1002,fp32,7,1.1474141802215576,3.0560557376861572,30.62
Python/PyTorch,resnet18,cifar100,2,1002,fp32,8,0.7933159447479248,3.1805602287292483,29.72
Python/PyTorch,resnet18,cifar100,2,1002,fp32,9,0.5184033212089538,3.359367505264282,28.99
Python/PyTorch,resnet18,cifar100,2,1002,fp32,10,0.31228627130508424,3.452725337600708,29.55
Python/PyTorch,resnet18,cifar100,2,1002,fp32,11,0.1953536188030243,3.624333946990967,29.28
Python/PyTorch,resnet18,cifar100,2,1002,fp32,12,0.1394556287431717,3.7014477756500246,29.21
Python/PyTorch,resnet18,cifar100,2,1002,fp32,13,0.11117359248638153,3.917332110977173,28.44
Python/PyTorch,resnet18,cifar100,2,1002,fp32,14,0.12630607709884645,4.0352225032806395,28.33
Python/PyTorch,resnet18,cifar100,2,1002,fp32,15,0.20761255634307862,4.126534453582764,28.28
Python/PyTorch,resnet18,cifar100,2,1002,fp32,16,0.16949355927467347,4.24069227180481,28.7
Python/PyTorch,resnet18,cifar100,2,1002,fp32,17,0.105362283577919,4.241828024291992,29.34
Python/PyTorch,resnet18,cifar100,2,1002,fp32,18,0.08669073350429535,4.385312208557129,28.5
Python/PyTorch,resnet18,cifar100,2,1002,fp32,19,0.09869101688861846,4.458511004638672,28.45
Python/PyTorch,resnet18,cifar100,2,1002,fp32,20,0.14421114381790162,4.5130161346435544,28.27
Python/PyTorch,resnet18,cifar100,2,1002,fp32,21,0.141737924618721,4.545666569519043,28.63
Python/PyTorch,resnet18,cifar100,2,1002,fp32,22,0.09498611785888672,4.61380231552124,29.59
Python/PyTorch,resnet18,cifar100,2,1002,fp32,23,0.0608118419957161,4.609301985549926,30.35
Python/PyTorch,resnet18,cifar100,2,1002,fp32,24,0.07982485078811645,4.678751410675049,28.81
Python/PyTorch,resnet18,cifar100,2,1002,fp32,25,0.13064454424381255,4.803492140960693,27.82
Python/PyTorch,resnet18,cifar100,2,1002,fp32,26,0.13737732316970824,4.7982447212219235,28.95
Python/PyTorch,resnet18,cifar100,2,1002,fp32,27,0.08334455383777618,4.780733673858642,29.38
Python/PyTorch,resnet18,cifar100,2,1002,fp32,28,0.05813041398525238,4.856092763519287,30.02
Python/PyTorch,resnet18,cifar100,2,1002,fp32,29,0.059316886234283446,4.834377793884277,29.61
Python/PyTorch,resnet18,cifar100,2,1002,fp32,30,0.08333462220668793,4.946504446411133,29.17
