ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc,precision
Python/PyTorch,resnet18,fashionmnist,0,1000,1,0.4405463505585988,,0.3885899425804615,85.64,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,2,0.2851137690385182,,0.3438271518707275,87.42,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,3,0.2289657870451609,,0.3087245079994201,88.7,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,4,0.1885140457948048,,0.32011354585886,88.81,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,5,0.1595035931030909,,0.3236609595656395,88.98,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,6,0.1343695605119069,,0.3199805455669761,89.51,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,7,0.1148650887926419,,0.3599049326628447,88.6,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,8,0.0973779764354229,,0.3640198053061962,88.89,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,9,0.0837084435383478,,0.3557474739551544,89.36,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,10,0.0745347857117652,,0.4134132524371147,88.62,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,11,0.0672057409246762,,0.4358553949475288,88.99,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,12,0.0582836268047491,,0.4269392713904381,89.13,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,13,0.0532767722427845,,0.4390309221774339,89.84,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,14,0.0505247561047474,,0.4258092144846916,90.06,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,15,0.0503117399235566,,0.4142773180305957,89.7,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,16,0.0391426200052102,,0.4511345444485545,89.47,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,17,0.0404636624435583,,0.463278182997182,89.35,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,18,0.0368789413506786,,0.4697342707671225,89.69,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,19,0.0360332836732268,,0.4761373614825308,89.64,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,20,0.0381944946413238,,0.4758469444803893,89.65,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,21,0.029191824855407,,0.4778904466867447,90.04,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,22,0.0319877402012546,,0.4838543156176805,89.64,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,23,0.0295136693159739,,0.4714055459528696,89.89,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,24,0.0274483723814288,,0.4904557799025904,89.79,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,25,0.0264373483908673,,0.4673244049137458,89.81,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,26,0.0303341011121869,,0.4785720204030745,89.7,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,27,0.0241227722935378,,0.4835188798010349,90.17,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,28,0.0265483837261796,,0.4976612901076674,90.19,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,29,0.0223937706260631,,0.4997732856273651,90.18,fp32
Python/PyTorch,resnet18,fashionmnist,0,1000,30,0.0237496379925558,,0.5162127015769482,89.71,fp32
