ecosystem,model,dataset,repetition,seed,precision,epoch,train_loss,test_loss,test_acc
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,1,0.44196608541806537,0.36100649685263636,86.76
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,2,0.2827489780664444,0.33237062952518465,87.47
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,3,0.22977347695032754,0.2978024938464165,89.11
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,4,0.18650900355180106,0.3248776862502098,88.66
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,5,0.15795021195411682,0.3272748864173889,89.03
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,6,0.1302386553923289,0.3213518409691751,89.25
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,7,0.11185273189147313,0.358035731357336,88.72
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,8,0.09246821791330974,0.3551371011048555,89.43
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,9,0.08075138511061668,0.39612175025939944,89.02
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,10,0.07192081046700477,0.40154154104618356,89.14
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,11,0.06367797498007616,0.42143917292132976,88.98
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,12,0.0619820940554142,0.4060151324916631,89.68
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,13,0.05265777844587962,0.44270376296043396,89.58
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,14,0.04794537004431089,0.43606477273851635,89.53
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,15,0.04640257227073113,0.4505026117794216,89.99
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,16,0.04340296327918768,0.424772254152596,89.72
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,17,0.03530015161906679,0.46951177547872064,90.14
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,18,0.03626610254570842,0.4748604349507019,89.75
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,19,0.035151329172154265,0.4752170038923621,89.43
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,20,0.03504665065084894,0.4711582761690021,90.16
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,21,0.03167659507120649,0.50613341101408,89.73
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,22,0.030084909073015056,0.4943903252796736,90.21
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,23,0.031193126634756724,0.5257226379334926,89.38
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,24,0.02921574577788512,0.4780339004999027,89.63
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,25,0.024892995704462132,0.49437858400046825,89.78
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,26,0.026140659890323877,0.48148899126648903,90.16
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,27,0.025796416684488455,0.5286004064105684,89.36
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,28,0.026264483438432216,0.49578746480923147,90.08
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,29,0.0166006779593726,0.5055783104579896,90.29
Python/PyTorch,resnet18,fashionmnist,4,1004,fp32,30,0.026175546131531398,0.511533937025629,89.88
