phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,13.389507,4412.851,713.846583,21.022122,713.846583,5126.697583
eval,1,0.979124,286.131,55.836407,1.254864,55.836407,341.967407
train,2,13.224649,4450.197,705.492782,12.607915,705.492782,5155.689782
eval,2,0.969299,291.006,55.47438,1.295633,55.47438,346.48038
train,3,13.313661,4449.579,713.916693,12.414626,713.916693,5163.495693
eval,3,0.97062,292.903,55.675328,1.211394,55.675328,348.578328
train,4,13.366918,4476.276,713.674153,12.260902,713.674153,5189.950153
eval,4,0.960077,296.693,54.889389,1.073263,54.889389,351.582389
train,5,13.405771,4512.168,720.520569,14.355825,720.520569,5232.688569
eval,5,0.967489,297.644,55.606545,1.381002,55.606545,353.250545
train,6,13.397955,4525.143,717.779211,12.886693,717.779211,5242.922211
eval,6,0.958599,292.778,54.953854,1.326729,54.953854,347.731854
train,7,13.403992,4502.714,723.885568,17.30396,723.885568,5226.599568
eval,7,0.970439,293.36,55.696659,1.267177,55.696659,349.056659
train,8,13.408463,4497.643,718.771514,13.89961,718.771514,5216.414514
eval,8,0.964265,294.305,55.390919,1.473999,55.390919,349.695919
train,9,13.402844,4546.364,727.667706,18.741432,727.667706,5274.031706
eval,9,0.950089,297.528,55.067145,1.500563,55.067145,352.595145
train,10,13.417458,4530.877,724.808815,22.636647,724.808815,5255.685815
eval,10,0.949276,282.251,54.701197,1.464386,54.701197,336.952197
train,11,13.429312,4493.436,727.70431,18.783681,727.70431,5221.14031
eval,11,0.950652,274.195,54.801426,1.51428,54.801426,328.996426
train,12,13.426865,4543.813,727.076138,20.622438,727.076138,5270.889138
eval,12,0.9678,301.117,55.55659,1.536099,55.55659,356.67359
train,13,13.414013,4552.631,728.1115,18.309997,728.1115,5280.7425
eval,13,0.964692,296.685,55.651464,1.405888,55.651464,352.336464
train,14,13.409732,4514.857,728.912928,18.124536,728.912928,5243.769928
eval,14,0.974327,293.29,56.41879,1.277217,56.41879,349.70879
train,15,13.417627,4508.754,733.305797,19.891901,733.305797,5242.059797
eval,15,0.967846,283.209,56.92386,1.518568,56.92386,340.13286
train,16,13.422513,4518.562,732.197029,22.229442,732.197029,5250.759029
eval,16,0.967343,301.099,56.359771,1.653006,56.359771,357.458771
train,17,13.416347,4547.732,732.539189,23.950345,732.539189,5280.271189
eval,17,0.946907,298.284,56.506202,1.604653,56.506202,354.790202
train,18,13.420174,4548.426,731.834728,17.841316,731.834728,5280.260728
eval,18,0.950898,300.882,55.050162,1.46016,55.050162,355.932162
train,19,13.422315,4511.478,732.537847,21.646998,732.537847,5244.015847
eval,19,0.959492,296.998,55.602746,1.64318,55.602746,352.600746
train,20,13.41093,4501.646,731.817546,18.499028,731.817546,5233.463546
eval,20,0.948257,296.262,54.997232,1.552364,54.997232,351.259232
train,21,13.415647,4507.953,731.457168,17.243294,731.457168,5239.410168
eval,21,0.954451,282.419,54.975367,1.520566,54.975367,337.394367
train,22,13.415841,4509.51,735.620863,19.573344,735.620863,5245.130863
eval,22,0.947118,281.197,55.21684,1.356818,55.21684,336.41384
train,23,13.403794,4502.423,734.06978,14.359853,734.06978,5236.49278
eval,23,0.968002,279.192,56.517478,1.057791,56.517478,335.709478
train,24,13.415595,4547.143,738.257048,18.514225,738.257048,5285.400048
eval,24,0.972715,302.338,56.424786,1.62606,56.424786,358.762786
train,25,13.419589,4538.58,734.522516,27.039465,734.522516,5273.102516
eval,25,0.958714,298.322,56.1347,1.082631,56.1347,354.4567
train,26,13.422684,4521.444,736.182586,22.858956,736.182586,5257.626586
eval,26,0.957493,276.557,56.216332,1.327904,56.216332,332.773332
train,27,13.415556,4497.012,735.481237,19.125613,735.481237,5232.493237
eval,27,0.954219,273.427,55.622673,1.417621,55.622673,329.049673
train,28,13.420485,4550.636,740.300629,20.707074,740.300629,5290.936629
eval,28,0.942102,269.999,55.29194,1.227567,55.29194,325.29094
train,29,13.42222,4556.285,734.177929,22.628316,734.177929,5290.462929
eval,29,0.942097,270.536,54.841738,1.281031,54.841738,325.377738
train,30,13.415469,4563.732,736.713793,22.666965,736.713793,5300.445793
eval,30,0.963242,300.728,56.162424,1.501067,56.162424,356.890424
