ecosystem,model,dataset,repetition,seed,precision,epoch,train_loss,test_loss,test_acc
Python/PyTorch,vgg16,cifar100,4,1004,fp32,1,4.434270511322022,4.294578750610351,2.24
Python/PyTorch,vgg16,cifar100,4,1004,fp32,2,4.030110083084106,3.818181884765625,8.94
Python/PyTorch,vgg16,cifar100,4,1004,fp32,3,3.743302071380615,3.6479603370666505,11.7
Python/PyTorch,vgg16,cifar100,4,1004,fp32,4,3.5452383545684816,3.4805884086608887,14.57
Python/PyTorch,vgg16,cifar100,4,1004,fp32,5,3.3541049687194824,3.3448094570159914,17.39
Python/PyTorch,vgg16,cifar100,4,1004,fp32,6,3.137300306015015,3.173068843841553,20.76
Python/PyTorch,vgg16,cifar100,4,1004,fp32,7,2.8979573485565187,3.0471769790649414,23.34
Python/PyTorch,vgg16,cifar100,4,1004,fp32,8,2.6472715884399416,3.0222475536346436,24.75
Python/PyTorch,vgg16,cifar100,4,1004,fp32,9,2.368697160110474,3.070516582107544,26.5
Python/PyTorch,vgg16,cifar100,4,1004,fp32,10,2.087178800697327,2.993252869796753,28.63
Python/PyTorch,vgg16,cifar100,4,1004,fp32,11,1.7946914178466797,3.125651929473877,30.34
Python/PyTorch,vgg16,cifar100,4,1004,fp32,12,1.5192507919311524,3.1906443481445312,31.41
Python/PyTorch,vgg16,cifar100,4,1004,fp32,13,1.2618695292282105,3.5086248085021974,31.21
Python/PyTorch,vgg16,cifar100,4,1004,fp32,14,1.0304153522872925,3.8374832977294924,32.82
Python/PyTorch,vgg16,cifar100,4,1004,fp32,15,0.8531172747611999,4.143182623291016,31.57
Python/PyTorch,vgg16,cifar100,4,1004,fp32,16,0.6991216544914246,4.387001231765747,32.17
Python/PyTorch,vgg16,cifar100,4,1004,fp32,17,0.5854217757415772,4.658737764358521,32.16
Python/PyTorch,vgg16,cifar100,4,1004,fp32,18,0.4943639789581299,4.988997554779052,31.8
Python/PyTorch,vgg16,cifar100,4,1004,fp32,19,0.41776403765678405,5.289913579559326,32.31
Python/PyTorch,vgg16,cifar100,4,1004,fp32,20,0.3686330460166931,5.06110891494751,32.52
Python/PyTorch,vgg16,cifar100,4,1004,fp32,21,0.3306004302406311,5.314122108840943,32.35
Python/PyTorch,vgg16,cifar100,4,1004,fp32,22,0.2981023697757721,5.401642092132568,32.44
Python/PyTorch,vgg16,cifar100,4,1004,fp32,23,0.2705892468070984,5.454462651824951,33.14
Python/PyTorch,vgg16,cifar100,4,1004,fp32,24,0.2513269047260284,5.596692282485962,32.72
Python/PyTorch,vgg16,cifar100,4,1004,fp32,25,0.2438920323753357,5.375718486785889,33.09
Python/PyTorch,vgg16,cifar100,4,1004,fp32,26,0.218627396402359,5.648400105667115,32.71
Python/PyTorch,vgg16,cifar100,4,1004,fp32,27,0.21649717291355133,5.710606694793701,33.02
Python/PyTorch,vgg16,cifar100,4,1004,fp32,28,0.20287406703948974,5.548054668807984,33.27
Python/PyTorch,vgg16,cifar100,4,1004,fp32,29,0.1975514169025421,5.652810209655762,33.8
Python/PyTorch,vgg16,cifar100,4,1004,fp32,30,0.17800924397468568,5.576905082702637,33.34
