phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,16.103481,5294.481,870.617726,21.709693,870.617726,6165.098726
eval,1,0.960556,291.76,55.409137,1.244138,55.409137,347.169137
train,2,15.950195,5364.583,864.342172,18.822101,864.342172,6228.925172
eval,2,0.961623,298.945,55.098057,1.365668,55.098057,354.043057
train,3,16.016295,5414.936,863.487419,21.155751,863.487419,6278.423419
eval,3,0.925612,269.94,53.611226,1.232602,53.611226,323.551226
train,4,16.030581,5439.609,861.663996,23.901917,861.663996,6301.272996
eval,4,0.955678,295.856,54.827396,1.10651,54.827396,350.683396
train,5,16.061492,5398.768,866.908278,17.684968,866.908278,6265.676278
eval,5,0.944599,276.612,55.554164,1.20848,55.554164,332.166164
train,6,16.081068,5419.364,868.705732,25.60744,868.705732,6288.069732
eval,6,0.941666,294.391,54.435127,1.594263,54.435127,348.826127
train,7,16.077119,5443.201,870.862266,26.243867,870.862266,6314.063266
eval,7,0.957115,300.653,54.994684,1.483429,54.994684,355.647684
train,8,16.079195,5455.422,867.930213,25.142254,867.930213,6323.352213
eval,8,0.935235,279.706,53.710342,1.267375,53.710342,333.416342
train,9,16.081651,5392.369,876.730737,19.54681,876.730737,6269.099737
eval,9,0.956601,295.147,55.231733,1.26118,55.231733,350.378733
train,10,16.083532,5421.894,874.268386,18.490895,874.268386,6296.162386
eval,10,0.956043,292.729,55.698474,1.468537,55.698474,348.427474
train,11,16.075039,5431.609,875.200483,21.277418,875.200483,6306.809483
eval,11,0.952603,299.881,55.21472,1.398045,55.21472,355.09572
train,12,16.080498,5441.034,874.614743,24.577754,874.614743,6315.648743
eval,12,0.928195,280.634,53.469754,1.359579,53.469754,334.103754
train,13,16.082149,5452.803,877.274975,23.639402,877.274975,6330.077975
eval,13,0.93553,296.742,54.904112,1.219739,54.904112,351.646112
train,14,16.076075,5411.063,874.64178,25.649598,874.64178,6285.70478
eval,14,0.94384,276.354,55.218015,1.347113,55.218015,331.572015
train,15,16.074538,5405.66,876.70521,27.929677,876.70521,6282.36521
eval,15,0.94643,297.369,55.061316,1.568645,55.061316,352.430316
train,16,16.075919,5417.648,880.895424,22.104341,880.895424,6298.543424
eval,16,0.95535,297.566,56.729809,1.040321,56.729809,354.295809
train,17,16.070139,5431.174,878.397583,20.10716,878.397583,6309.571583
eval,17,0.943392,278.382,54.831821,1.085393,54.831821,333.213821
train,18,16.077934,5409.811,884.222126,22.144668,884.222126,6294.033126
eval,18,0.938455,297.193,55.161912,1.237607,55.161912,352.354912
train,19,16.072582,5448.297,877.042458,24.933647,877.042458,6325.339458
eval,19,0.949886,301.273,55.212737,1.518293,55.212737,356.485737
train,20,16.063675,5439.337,880.892311,23.675869,880.892311,6320.229311
eval,20,0.945953,282.593,55.205794,1.331841,55.205794,337.798794
train,21,16.051682,5419.722,875.062488,23.33177,875.062488,6294.784488
eval,21,0.935593,270.615,54.660167,1.531872,54.660167,325.275167
train,22,16.06816,5434.463,882.287777,21.766635,882.287777,6316.750777
eval,22,0.95531,294.894,55.733583,1.275386,55.733583,350.627583
train,23,16.057684,5412.595,879.280868,21.46056,879.280868,6291.875868
eval,23,0.95349,271.547,55.787718,1.435641,55.787718,327.334718
train,24,16.060038,5446.73,881.454538,19.446947,881.454538,6328.184538
eval,24,0.960651,284.595,55.639381,1.602411,55.639381,340.234381
train,25,16.05799,5437.456,878.85874,21.211091,878.85874,6316.31474
eval,25,0.941548,292.419,56.518852,1.204695,56.518852,348.937852
train,26,16.039403,5450.875,879.687875,18.55089,879.687875,6330.562875
eval,26,0.949796,296.012,55.541409,1.133914,55.541409,351.553409
train,27,16.050236,5425.459,883.530572,18.961056,883.530572,6308.989572
eval,27,0.94002,276.485,55.390965,1.108265,55.390965,331.875965
train,28,16.08678,5434.804,881.953169,22.407167,881.953169,6316.757169
eval,28,0.930283,297.932,54.722024,1.251675,54.722024,352.654024
train,29,16.064774,5409.356,886.771905,21.989753,886.771905,6296.127905
eval,29,0.96102,274.169,56.319932,1.038169,56.319932,330.488932
train,30,16.060353,5442.904,882.420369,22.49635,882.420369,6325.324369
eval,30,0.956479,298.632,56.075591,1.159196,56.075591,354.707591
