phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,26.650338,8947.838,1466.368412,33.381757,1466.368412,10414.206412
eval,1,1.477914,356.774,83.384833,1.609475,83.384833,440.158833
train,2,26.63091,9017.419,1470.421806,35.691407,1470.421806,10487.840806
eval,2,1.463297,392.972,84.866155,1.827222,84.866155,477.838155
train,3,26.748031,9069.659,1488.037777,38.521446,1488.037777,10557.696777
eval,3,1.434842,370.893,81.782681,1.769424,81.782681,452.675681
train,4,26.751468,9095.656,1494.27949,31.98295,1494.27949,10589.93549
eval,4,1.461082,391.907,83.02659,1.616036,83.02659,474.93359
train,5,26.76912,9015.101,1497.696916,43.640764,1497.696916,10512.797916
eval,5,1.443869,350.269,82.233708,1.940757,82.233708,432.502708
train,6,26.803576,9132.989,1502.130768,45.97983,1502.130768,10635.119768
eval,6,1.458168,369.538,83.673941,2.438244,83.673941,453.211941
train,7,26.814302,9137.146,1509.625421,35.86399,1509.625421,10646.771421
eval,7,1.438538,371.852,83.058998,2.08464,83.058998,454.910998
train,8,26.81955,9122.79,1511.314177,37.382116,1511.314177,10634.104177
eval,8,1.456622,401.077,84.108398,1.688328,84.108398,485.185398
train,9,26.827185,9105.048,1517.271663,41.260302,1517.271663,10622.319663
eval,9,1.458371,365.846,85.908064,2.00304,85.908064,451.754064
train,10,26.81001,9089.944,1514.67112,33.40881,1514.67112,10604.61512
eval,10,1.457386,380.253,84.173991,1.710376,84.173991,464.426991
train,11,26.823992,9083.023,1513.07611,40.39551,1513.07611,10596.09911
eval,11,1.448604,397.253,83.774736,2.189706,83.774736,481.027736
train,12,26.831452,9123.6,1517.112796,46.191383,1517.112796,10640.712796
eval,12,1.45977,375.389,83.784546,2.182031,83.784546,459.173546
train,13,26.841145,9090.931,1516.925276,46.186165,1516.925276,10607.856276
eval,13,1.464322,358.109,84.130354,2.188714,84.130354,442.239354
train,14,26.823472,9105.684,1516.741127,47.021799,1516.741127,10622.425127
eval,14,1.450364,370.498,83.646523,2.213829,83.646523,454.144523
train,15,26.833999,9061.803,1518.698958,47.369773,1518.698958,10580.501958
eval,15,1.436449,377.042,83.01475,1.97588,83.01475,460.05675
train,16,26.830051,9054.263,1520.317495,44.969537,1520.317495,10574.580495
eval,16,1.427427,383.838,82.704494,1.872676,82.704494,466.542494
train,17,26.829657,9051.188,1513.803077,43.372467,1513.803077,10564.991077
eval,17,1.449042,348.954,86.416582,2.293201,86.416582,435.370582
train,18,26.828021,9092.473,1517.27299,44.62141,1517.27299,10609.74599
eval,18,1.446575,372.754,83.641777,2.298205,83.641777,456.395777
train,19,26.831248,9096.551,1522.578365,45.865212,1522.578365,10619.129365
eval,19,1.461589,380.408,84.61391,2.169107,84.61391,465.02191
train,20,26.824855,9073.373,1522.326089,43.325319,1522.326089,10595.699089
eval,20,1.443966,351.909,83.556363,2.199029,83.556363,435.465363
train,21,26.817852,9057.613,1529.191625,40.254037,1529.191625,10586.804625
eval,21,1.449413,364.3,84.163769,2.265736,84.163769,448.463769
train,22,26.828484,9098.656,1527.851439,42.06066,1527.851439,10626.507439
eval,22,1.443128,380.719,84.226509,2.262563,84.226509,464.945509
train,23,26.826038,9088.916,1527.494188,46.487388,1527.494188,10616.410188
eval,23,1.46145,401.588,84.766033,2.366653,84.766033,486.354033
train,24,26.793571,9085.052,1519.991294,35.043201,1519.991294,10605.043294
eval,24,1.460402,379.57,86.003594,2.004779,86.003594,465.573594
train,25,26.823133,9083.292,1525.926245,47.735126,1525.926245,10609.218245
eval,25,1.46164,383.837,84.961122,2.121564,84.961122,468.798122
train,26,26.811518,9057.998,1522.777939,45.025397,1522.777939,10580.775939
eval,26,1.444235,342.695,85.239748,1.756806,85.239748,427.934748
train,27,26.813373,9042.072,1535.915489,29.66973,1535.915489,10577.987489
eval,27,1.440156,348.927,84.551154,1.650672,84.551154,433.478154
train,28,26.818869,9078.971,1528.568625,49.211566,1528.568625,10607.539625
eval,28,1.451919,362.785,84.281011,2.323961,84.281011,447.066011
train,29,26.812084,9106.964,1524.674677,45.382266,1524.674677,10631.638677
eval,29,1.455362,382.69,84.601124,2.237235,84.601124,467.291124
train,30,26.811497,9107.321,1523.260748,41.308945,1523.260748,10630.581748
eval,30,1.437542,368.187,83.86932,2.186944,83.86932,452.05632
