phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,10.237008,1842.068,522.601667,12.85044,522.601667,2364.669667
eval,1,0.455076,67.037,25.805596,0.690486,25.805596,92.842596
train,2,3.03248,895.11,164.569065,4.537088,164.569065,1059.679065
eval,2,0.229528,32.458,13.792393,0.579315,13.792393,46.250393
train,3,2.881348,893.577,156.272009,4.602362,156.272009,1049.849009
eval,3,0.234277,43.751,13.759206,0.520267,13.759206,57.510206
train,4,2.852653,873.402,154.47663,4.340473,154.47663,1027.87863
eval,4,0.217993,24.866,13.105829,0.497243,13.105829,37.971829
train,5,2.874068,887.62,156.196176,5.07092,156.196176,1043.816176
eval,5,0.224732,32.793,13.230426,0.425118,13.230426,46.023426
train,6,2.887539,893.629,155.404683,5.846073,155.404683,1049.033683
eval,6,0.237194,33.15,13.806232,0.597961,13.806232,46.956232
train,7,2.877207,906.793,154.992702,4.731673,154.992702,1061.785702
eval,7,0.244209,36.214,14.258097,0.509404,14.258097,50.472097
train,8,2.873885,906.353,156.266226,4.906775,156.266226,1062.619226
eval,8,0.270321,36.389,15.664763,0.339994,15.664763,52.053763
train,9,2.846094,883.983,154.652265,3.91386,154.652265,1038.635265
eval,9,0.265061,38.881,15.519843,0.449318,15.519843,54.400843
train,10,2.859986,877.816,154.723627,4.379382,154.723627,1032.539627
eval,10,0.22911,40.801,13.995645,0.40713,13.995645,54.796645
train,11,2.86319,894.413,156.495431,4.196606,156.495431,1050.908431
eval,11,0.26345,43.007,15.368575,0.444237,15.368575,58.375575
train,12,2.880007,877.386,155.775987,5.118815,155.775987,1033.161987
eval,12,0.268074,39.817,15.514517,0.422845,15.514517,55.331517
train,13,2.880031,909.884,155.916894,4.896399,155.916894,1065.800894
eval,13,0.214313,39.907,12.785075,0.490759,12.785075,52.692075
train,14,2.880002,885.31,157.337124,4.402513,157.337124,1042.647124
eval,14,0.264872,42.581,15.337128,0.407846,15.337128,57.918128
train,15,2.852759,892.708,154.972928,3.977653,154.972928,1047.680928
eval,15,0.247045,26.088,14.308937,0.523227,14.308937,40.396937
train,16,2.881498,883.903,156.214807,4.922566,156.214807,1040.117807
eval,16,0.231198,24.958,13.577637,0.470099,13.577637,38.535637
train,17,2.879999,888.331,157.982537,4.838968,157.982537,1046.313537
eval,17,0.221053,26.642,12.957109,0.616347,12.957109,39.599109
train,18,2.868975,902.636,155.308008,5.029296,155.308008,1057.944008
eval,18,0.252702,32.643,14.736024,0.598709,14.736024,47.379024
train,19,2.870217,903.104,155.808196,4.1055,155.808196,1058.912196
eval,19,0.216825,33.938,12.785471,0.391063,12.785471,46.723471
train,20,2.867366,883.93,156.253104,5.006958,156.253104,1040.183104
eval,20,0.256718,40.005,14.899513,0.634397,14.899513,54.904513
train,21,2.883336,903.754,156.052064,4.968448,156.052064,1059.806064
eval,21,0.226338,38.607,13.275467,0.510197,13.275467,51.882467
train,22,2.874707,883.952,155.517226,5.03363,155.517226,1039.469226
eval,22,0.250368,42.161,14.443543,0.537814,14.443543,56.604543
train,23,2.861286,885.299,157.069178,4.790722,157.069178,1042.368178
eval,23,0.249176,27.119,14.663228,0.422402,14.663228,41.782228
train,24,2.849971,900.027,154.493354,4.683672,154.493354,1054.520354
eval,24,0.230685,33.961,13.507663,0.609465,13.507663,47.468663
train,25,2.867837,885.913,154.832996,4.673373,154.832996,1040.745996
eval,25,0.268264,38.204,15.585452,0.361081,15.585452,53.789452
train,26,2.87403,897.899,157.376536,4.321966,157.376536,1055.275536
eval,26,0.24052,35.36,14.21951,0.459632,14.21951,49.57951
train,27,2.862362,886.441,155.506256,4.198788,155.506256,1041.947256
eval,27,0.261825,38.477,15.505012,0.359875,15.505012,53.982012
train,28,2.878673,907.333,154.449486,5.389446,154.449486,1061.782486
eval,28,0.245401,36.158,14.293481,0.442543,14.293481,50.451481
train,29,2.874304,917.825,156.40129,5.409022,156.40129,1074.22629
eval,29,0.250899,36.087,14.677463,0.438409,14.677463,50.764463
train,30,2.879852,907.313,156.15202,5.422877,156.15202,1063.46502
eval,30,0.23896,36.732,14.172271,0.399043,14.172271,50.904271
