phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,16.477794,3955.454,905.030651,27.649144,905.030651,4860.484651
eval,1,1.369766,328.872,69.242223,1.692417,69.242223,398.114223
train,2,7.845599,2668.87,370.664638,10.220617,370.664638,3039.534638
eval,2,0.353895,103.393,19.499861,0.591125,19.499861,122.892861
train,3,7.85004,2649.899,372.082213,9.876152,372.082213,3021.981213
eval,3,0.353363,87.126,19.396931,0.709283,19.396931,106.522931
train,4,7.861222,2685.652,372.579334,10.07031,372.579334,3058.231334
eval,4,0.349899,105.837,19.005899,0.532672,19.005899,124.842899
train,5,7.870014,2692.863,376.021036,9.757781,376.021036,3068.884036
eval,5,0.353281,112.075,20.034227,0.69694,20.034227,132.109227
train,6,7.877823,2707.015,374.823405,9.439316,374.823405,3081.838405
eval,6,0.352946,113.413,19.741258,0.506443,19.741258,133.154258
train,7,7.870647,2652.792,374.970874,8.540055,374.970874,3027.762874
eval,7,0.353651,89.186,19.961691,0.587708,19.961691,109.147691
train,8,7.878772,2697.613,376.213225,8.945308,376.213225,3073.826225
eval,8,0.35334,102.973,19.693836,0.528491,19.693836,122.666836
train,9,7.881285,2684.467,376.032022,8.469593,376.032022,3060.499022
eval,9,0.356503,106.007,19.948767,0.472326,19.948767,125.955767
train,10,7.873636,2705.783,380.730906,9.451797,380.730906,3086.513906
eval,10,0.354133,112.186,19.720537,0.422509,19.720537,131.906537
train,11,7.885168,2676.908,374.498668,7.630083,374.498668,3051.406668
eval,11,0.353537,81.422,19.502836,0.509297,19.502836,100.924836
train,12,7.884051,2687.983,377.423322,8.339031,377.423322,3065.406322
eval,12,0.35547,90.184,20.322909,0.362195,20.322909,110.506909
train,13,7.887582,2674.516,378.334835,8.887769,378.334835,3052.850835
eval,13,0.35388,85.723,19.603585,0.424432,19.603585,105.326585
train,14,7.889901,2673.312,377.566473,8.470646,377.566473,3050.878473
eval,14,0.354731,88.783,19.648993,0.544406,19.648993,108.431993
train,15,7.90449,2687.414,383.291519,8.802646,383.291519,3070.705519
eval,15,0.355385,90.575,19.793334,0.649976,19.793334,110.368334
train,16,7.896451,2669.398,379.069828,8.820314,379.069828,3048.467828
eval,16,0.355971,92.566,19.999531,0.539782,19.999531,112.565531
train,17,7.897605,2680.463,381.410757,9.297676,381.410757,3061.873757
eval,17,0.355775,89.495,20.892002,0.468513,20.892002,110.387002
train,18,7.898759,2695.423,380.726039,8.717338,380.726039,3076.149039
eval,18,0.355101,91.02,20.068863,0.606734,20.068863,111.088863
train,19,7.90497,2672.99,382.531991,9.404924,382.531991,3055.521991
eval,19,0.353631,91.527,20.281345,0.386806,20.281345,111.808345
train,20,7.903101,2682.074,382.525781,8.084772,382.525781,3064.599781
eval,20,0.354153,87.465,19.718066,0.583222,19.718066,107.183066
train,21,7.899111,2693.373,380.314179,8.141973,380.314179,3073.687179
eval,21,0.357298,88.968,19.849667,0.598144,19.849667,108.817667
train,22,7.902267,2691.432,381.972861,8.803072,381.972861,3073.404861
eval,22,0.355453,83.385,20.552755,0.375301,20.552755,103.937755
train,23,7.906769,2663.519,382.961702,10.18972,382.961702,3046.480702
eval,23,0.35572,83.341,19.698444,0.684794,19.698444,103.039444
train,24,7.902052,2683.926,380.38786,10.332534,380.38786,3064.31386
eval,24,0.35685,83.126,19.869151,0.791234,19.869151,102.995151
train,25,7.896479,2689.698,385.746439,10.442484,385.746439,3075.444439
eval,25,0.354751,84.701,19.72304,0.750113,19.72304,104.42404
train,26,7.889087,2663.409,379.602149,10.838658,379.602149,3043.011149
eval,26,0.356247,89.298,19.807844,0.592911,19.807844,109.105844
train,27,7.892498,2665.202,380.855853,10.662214,380.855853,3046.057853
eval,27,0.35422,94.171,20.493584,0.553652,20.493584,114.664584
train,28,7.902262,2691.777,383.136802,10.238682,383.136802,3074.913802
eval,28,0.352044,105.453,19.512296,0.491017,19.512296,124.965296
train,29,7.896219,2674.062,381.381781,9.442673,381.381781,3055.443781
eval,29,0.354658,107.28,19.88125,0.530246,19.88125,127.16125
train,30,7.899741,2708.788,385.901841,10.36775,385.901841,3094.689841
eval,30,0.352389,109.264,19.841107,0.641553,19.841107,129.105107
