ecosystem,model,dataset,repetition,seed,precision,epoch,train_loss,train_acc,test_loss,test_acc
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,1,4.6053547859191895,0.009074519388377666,4.60516881942749,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,2,4.6052470207214355,0.008273237384855747,4.605168342590332,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,3,4.60522985458374,0.0088741984218359,4.605169296264648,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,4,4.605220317840576,0.008413461968302727,4.605171203613281,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,5,4.6052141189575195,0.008914262987673283,4.605171203613281,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,6,4.605213165283203,0.0088741984218359,4.605170726776123,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,7,4.605214595794678,0.00861378200352192,4.605172157287598,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,8,4.605212211608887,0.008633813820779324,4.605170726776123,0.8413461968302727
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,9,4.60521125793457,0.008854166604578495,4.605170249938965,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,10,4.60521125793457,0.008754006586968899,4.605170726776123,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,11,4.605212211608887,0.008633813820779324,4.605172634124756,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,12,4.6052141189575195,0.008754006586968899,4.605171203613281,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,13,4.60521125793457,0.009194711223244667,4.605171203613281,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,14,4.605212688446045,0.008112980984151363,4.605172157287598,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,15,4.605209827423096,0.008794070221483707,4.6051716804504395,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,16,4.605210781097412,0.008754006586968899,4.605171203613281,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,17,4.60521125793457,0.00897435937076807,4.605171203613281,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,18,4.605210304260254,0.009214743971824646,4.605170726776123,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,19,4.6052093505859375,0.007932692766189575,4.6051716804504395,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,20,4.6052117347717285,0.008112980984151363,4.605170249938965,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,21,4.605210781097412,0.00821314100176096,4.605171203613281,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,22,4.60521125793457,0.008754006586968899,4.605171203613281,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,23,4.6052093505859375,0.009475160390138626,4.605170726776123,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,24,4.6052117347717285,0.008413461968302727,4.60516881942749,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,25,4.605212211608887,0.008313301019370556,4.605171203613281,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,26,4.6052141189575195,0.007972756400704384,4.605170249938965,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,27,4.605212688446045,0.008533653803169727,4.605170726776123,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,28,4.6052093505859375,0.009114583022892475,4.605171203613281,1.0016025975346565
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,29,4.605210781097412,0.008533653803169727,4.605171203613281,0.8413461968302727
Python/TensorFlow,vgg16,cifar100,3,1003,fp32,30,4.605210781097412,0.008994391188025475,4.605171203613281,1.0016025975346565
