phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,24.052931,6626.642,1316.571943,33.580554,1316.571943,7943.213943
eval,1,1.716838,393.38,90.201054,1.85998,90.201054,483.581054
train,2,15.706366,5336.769,787.942543,16.460377,787.942543,6124.711543
eval,2,0.688451,185.62,38.561726,0.917464,38.561726,224.181726
train,3,15.738953,5380.162,795.081975,19.151644,795.081975,6175.243975
eval,3,0.727938,206.972,40.674227,0.948453,40.674227,247.646227
train,4,15.739027,5421.517,790.93923,19.429903,790.93923,6212.45623
eval,4,0.694023,187.086,38.554646,1.233029,38.554646,225.640646
train,5,15.76679,5408.732,794.217808,20.134167,794.217808,6202.949808
eval,5,0.718799,209.355,40.347599,1.069356,40.347599,249.702599
train,6,15.768529,5384.147,796.190163,20.523856,796.190163,6180.337163
eval,6,0.698595,187.272,39.721914,1.086919,39.721914,226.993914
train,7,15.780454,5388.729,797.513979,20.924684,797.513979,6186.242979
eval,7,0.693869,189.272,39.122076,1.052313,39.122076,228.394076
train,8,15.780908,5417.372,802.240937,20.526969,802.240937,6219.612937
eval,8,0.696853,189.22,39.752125,0.777792,39.752125,228.972125
train,9,15.783822,5417.12,800.196472,19.874262,800.196472,6217.316472
eval,9,0.722203,182.443,40.704071,0.985422,40.704071,223.147071
train,10,15.771208,5395.163,803.485548,21.697516,803.485548,6198.648548
eval,10,0.691197,185.272,39.098487,1.189026,39.098487,224.370487
train,11,15.762351,5395.186,796.337602,21.759724,796.337602,6191.523602
eval,11,0.705723,180.608,40.28315,1.007363,40.28315,220.89115
train,12,15.797897,5384.436,804.387127,21.440038,804.387127,6188.823127
eval,12,0.689568,193.764,39.094628,1.351981,39.094628,232.858628
train,13,15.787856,5414.945,809.011248,20.798713,809.011248,6223.956248
eval,13,0.712999,186.709,41.685649,0.93614,41.685649,228.394649
train,14,15.793788,5396.811,806.422911,20.989897,806.422911,6203.233911
eval,14,0.718219,183.705,41.127619,1.113605,41.127619,224.832619
train,15,15.820249,5412.998,816.738295,21.426428,816.738295,6229.736295
eval,15,0.687716,188.181,38.949219,1.151216,38.949219,227.130219
train,16,15.796352,5389.962,812.183996,19.221571,812.183996,6202.145996
eval,16,0.703625,181.808,40.670886,0.975383,40.670886,222.478886
train,17,15.776049,5433.578,824.102386,20.387633,824.102386,6257.680386
eval,17,0.689765,187.913,39.871672,0.911803,39.871672,227.784672
train,18,15.788383,5410.406,818.267727,21.04568,818.267727,6228.673727
eval,18,0.711093,214.448,41.152138,0.896698,41.152138,255.600138
train,19,15.799357,5431.776,819.180689,19.539379,819.180689,6250.956689
eval,19,0.6953,185.184,40.275261,1.117923,40.275261,225.459261
train,20,15.800835,5409.265,817.981349,21.863417,817.981349,6227.246349
eval,20,0.707268,189.533,41.393763,1.094883,41.393763,230.926763
train,21,15.805555,5427.569,819.550085,19.808943,819.550085,6247.119085
eval,21,0.7106,187.755,41.16114,1.018898,41.16114,228.91614
train,22,15.815755,5404.541,823.779771,19.210143,823.779771,6228.320771
eval,22,0.67287,191.642,39.135503,0.832843,39.135503,230.777503
train,23,15.811081,5417.414,815.731695,18.550387,815.731695,6233.145695
eval,23,0.690978,168.29,39.899716,1.141314,39.899716,208.189716
train,24,15.805351,5412.986,826.317146,18.976695,826.317146,6239.303146
eval,24,0.676444,192.165,39.47626,1.080694,39.47626,231.64126
train,25,15.794046,5383.857,821.940022,21.017972,821.940022,6205.797022
eval,25,0.687872,189.972,39.929454,0.89778,39.929454,229.901454
train,26,15.808691,5452.041,820.87184,18.737297,820.87184,6272.91284
eval,26,0.713129,181.975,41.204305,0.880112,41.204305,223.179305
train,27,15.804505,5420.106,821.075916,19.552654,821.075916,6241.181916
eval,27,0.724939,190.689,43.444744,0.916792,43.444744,234.133744
train,28,15.818914,5394.41,816.582542,22.35268,816.582542,6210.992542
eval,28,0.689141,167.311,39.518006,1.110095,39.518006,206.829006
train,29,15.813139,5447.113,820.478916,21.50757,820.478916,6267.591916
eval,29,0.687546,186.213,39.771548,1.141848,39.771548,225.984548
train,30,15.814556,5405.719,818.716679,19.541439,818.716679,6224.435679
eval,30,0.677724,186.24,39.524766,1.077398,39.524766,225.764766
