phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,47.746989,6098.659,2717.162782,57.721059,2717.162782,8815.821782
eval,1,12.600048,1519.239,695.863336,17.031284,695.863336,2215.102336
train,2,47.755134,6123.031,2690.225713,65.873638,2690.225713,8813.256713
eval,2,12.475817,1514.61,686.139046,15.402478,686.139046,2200.749046
train,3,47.848234,6114.181,2686.35247,57.839889,2686.35247,8800.53347
eval,3,12.451969,1536.564,683.843022,16.679054,683.843022,2220.407022
train,4,48.202683,6156.517,2690.356749,62.483509,2690.356749,8846.873749
eval,4,12.479321,1504.933,683.374114,15.55872,683.374114,2188.307114
train,5,48.245954,6152.433,2682.310901,63.240473,2682.310901,8834.743901
eval,5,12.57978,1530.916,683.027055,14.990695,683.027055,2213.943055
train,6,48.170417,6141.674,2672.837468,64.602387,2672.837468,8814.511468
eval,6,12.520865,1527.417,676.449652,16.391517,676.449652,2203.866652
train,7,48.213189,6144.252,2665.822587,64.037888,2665.822587,8810.074587
eval,7,12.566464,1503.447,681.691736,16.744541,681.691736,2185.138736
train,8,47.817396,6076.901,2651.794427,58.65401,2651.794427,8728.695427
eval,8,12.572403,1499.788,678.42036,13.540224,678.42036,2178.20836
train,9,48.16878,6104.962,2669.705443,55.615105,2669.705443,8774.667443
eval,9,12.536866,1523.895,674.387533,15.212943,674.387533,2198.282533
train,10,48.124923,6128.373,2650.92167,64.128794,2650.92167,8779.29467
eval,10,12.505019,1511.409,675.887898,16.242797,675.887898,2187.296898
train,11,47.873392,6094.206,2638.310765,60.200561,2638.310765,8732.516765
eval,11,12.618266,1514.117,677.353215,16.686973,677.353215,2191.470215
train,12,48.237518,6154.303,2651.52456,63.591926,2651.52456,8805.82756
eval,12,12.502321,1522.142,668.572954,16.056863,668.572954,2190.714954
train,13,48.176937,6109.667,2650.223983,60.579814,2650.223983,8759.890983
eval,13,12.54225,1515.977,671.649668,16.218644,671.649668,2187.626668
train,14,47.605931,6080.294,2620.594214,55.515516,2620.594214,8700.888214
eval,14,12.59735,1542.465,678.570896,15.161096,678.570896,2221.035896
train,15,48.047178,6115.719,2649.812154,53.741681,2649.812154,8765.531154
eval,15,12.47252,1483.207,669.27296,13.251375,669.27296,2152.47996
train,16,47.992547,6145.183,2639.669154,55.481735,2639.669154,8784.852154
eval,16,12.474777,1497.621,667.936863,14.019096,667.936863,2165.557863
train,17,48.124554,6119.744,2643.772702,53.006338,2643.772702,8763.516702
eval,17,12.650087,1537.539,682.508223,13.68934,682.508223,2220.047223
train,18,47.95191,6079.658,2640.692326,51.624802,2640.692326,8720.350326
eval,18,12.497016,1518.929,669.042183,13.933026,669.042183,2187.971183
train,19,48.020217,6109.291,2633.388001,63.00817,2633.388001,8742.679001
eval,19,12.5671,1508.095,668.190878,15.605897,668.190878,2176.285878
train,20,48.400355,6154.421,2644.114359,61.048525,2644.114359,8798.535359
eval,20,12.463084,1497.859,669.242825,15.800819,669.242825,2167.101825
train,21,48.28941,6118.172,2634.180318,61.954544,2634.180318,8752.352318
eval,21,12.362414,1493.354,660.034546,13.47106,660.034546,2153.388546
train,22,48.157575,6115.548,2636.41177,56.421139,2636.41177,8751.95977
eval,22,12.429657,1515.068,661.380271,15.227347,661.380271,2176.448271
train,23,48.14346,6108.988,2626.060331,61.191782,2626.060331,8735.048331
eval,23,12.64638,1538.986,675.124876,16.327556,675.124876,2214.110876
train,24,48.143496,6111.551,2636.197792,53.574942,2636.197792,8747.748792
eval,24,12.518885,1521.355,665.096876,15.666182,665.096876,2186.451876
train,25,48.280341,6131.34,2634.181615,60.155168,2634.181615,8765.521615
eval,25,12.456692,1498.135,663.776967,13.253435,663.776967,2161.911967
train,26,47.87326,6075.69,2619.715963,50.237087,2619.715963,8695.405963
eval,26,12.60808,1537.466,673.43136,14.179794,673.43136,2210.89736
train,27,48.083085,6091.025,2621.124703,54.83983,2621.124703,8712.149703
eval,27,12.531521,1514.567,663.047544,16.270612,663.047544,2177.614544
train,28,48.284287,6106.223,2620.531381,61.310992,2620.531381,8726.754381
eval,28,12.472038,1489.993,662.568137,14.106738,662.568137,2152.561137
train,29,48.297273,6113.491,2623.312259,61.440472,2623.312259,8736.803259
eval,29,12.607987,1505.761,672.767561,15.865147,672.767561,2178.528561
train,30,48.427196,6157.202,2642.676155,56.721203,2642.676155,8799.878155
eval,30,12.482824,1505.193,664.000528,14.800001,664.000528,2169.193528
