ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
R/torch,resnet18,cifar100,4,1004,1,3.692945,,3.324753,19.6
R/torch,resnet18,cifar100,4,1004,2,3.00044,,3.06033,25.48
R/torch,resnet18,cifar100,4,1004,3,2.602776,,2.825394,29.36
R/torch,resnet18,cifar100,4,1004,4,2.266093,,2.7704,32.01
R/torch,resnet18,cifar100,4,1004,5,1.941537,,2.734727,32.99
R/torch,resnet18,cifar100,4,1004,6,1.616309,,2.742291,33.69
R/torch,resnet18,cifar100,4,1004,7,1.287611,,2.832155,33.6
R/torch,resnet18,cifar100,4,1004,8,0.97086,,2.958298,34.15
R/torch,resnet18,cifar100,4,1004,9,0.685566,,3.112197,33.26
R/torch,resnet18,cifar100,4,1004,10,0.464685,,3.327813,32.38
R/torch,resnet18,cifar100,4,1004,11,0.318122,,3.522182,31.76
R/torch,resnet18,cifar100,4,1004,12,0.25297,,3.537762,32.38
R/torch,resnet18,cifar100,4,1004,13,0.224258,,3.70695,31.85
R/torch,resnet18,cifar100,4,1004,14,0.211954,,3.911784,30.11
R/torch,resnet18,cifar100,4,1004,15,0.220798,,3.822923,32.34
R/torch,resnet18,cifar100,4,1004,16,0.187205,,3.88972,33.36
R/torch,resnet18,cifar100,4,1004,17,0.158989,,4.222146,30.62
R/torch,resnet18,cifar100,4,1004,18,0.175076,,4.005628,33.33
R/torch,resnet18,cifar100,4,1004,19,0.186221,,4.148353,32.21
R/torch,resnet18,cifar100,4,1004,20,0.157544,,4.134843,32.94
R/torch,resnet18,cifar100,4,1004,21,0.138675,,4.157378,32.49
R/torch,resnet18,cifar100,4,1004,22,0.138229,,4.288697,32.24
R/torch,resnet18,cifar100,4,1004,23,0.133692,,4.355754,32.15
R/torch,resnet18,cifar100,4,1004,24,0.154361,,4.360932,32.63
R/torch,resnet18,cifar100,4,1004,25,0.125986,,4.261078,33.62
R/torch,resnet18,cifar100,4,1004,26,0.105014,,4.351465,32.99
R/torch,resnet18,cifar100,4,1004,27,0.122279,,4.484853,32.29
R/torch,resnet18,cifar100,4,1004,28,0.144269,,4.438242,32.69
R/torch,resnet18,cifar100,4,1004,29,0.103789,,4.464207,33.25
R/torch,resnet18,cifar100,4,1004,30,0.120109,,4.808515,30.21
