ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
R/torch,resnet18,fashionmnist,1,1001,1,0.436609,,0.352964,87.02
R/torch,resnet18,fashionmnist,1,1001,2,0.290338,,0.309644,88.43
R/torch,resnet18,fashionmnist,1,1001,3,0.242963,,0.315688,88.53
R/torch,resnet18,fashionmnist,1,1001,4,0.211717,,0.284584,89.58
R/torch,resnet18,fashionmnist,1,1001,5,0.187542,,0.282711,89.73
R/torch,resnet18,fashionmnist,1,1001,6,0.167853,,0.294808,89.72
R/torch,resnet18,fashionmnist,1,1001,7,0.149494,,0.321622,89.02
R/torch,resnet18,fashionmnist,1,1001,8,0.132946,,0.308827,90.03
R/torch,resnet18,fashionmnist,1,1001,9,0.119991,,0.321836,89.96
R/torch,resnet18,fashionmnist,1,1001,10,0.105262,,0.326134,89.82
R/torch,resnet18,fashionmnist,1,1001,11,0.095263,,0.334907,90.03
R/torch,resnet18,fashionmnist,1,1001,12,0.089559,,0.367985,89.25
R/torch,resnet18,fashionmnist,1,1001,13,0.077419,,0.351858,90.17
R/torch,resnet18,fashionmnist,1,1001,14,0.071644,,0.381577,90.16
R/torch,resnet18,fashionmnist,1,1001,15,0.066249,,0.393237,89.65
R/torch,resnet18,fashionmnist,1,1001,16,0.065565,,0.386528,89.89
R/torch,resnet18,fashionmnist,1,1001,17,0.05992,,0.409566,89.47
R/torch,resnet18,fashionmnist,1,1001,18,0.05057,,0.43674,89.69
R/torch,resnet18,fashionmnist,1,1001,19,0.0488,,0.401108,89.87
R/torch,resnet18,fashionmnist,1,1001,20,0.041899,,0.426114,90.06
R/torch,resnet18,fashionmnist,1,1001,21,0.046112,,0.460439,89.95
R/torch,resnet18,fashionmnist,1,1001,22,0.041922,,0.428222,89.93
R/torch,resnet18,fashionmnist,1,1001,23,0.038441,,0.422512,90.49
R/torch,resnet18,fashionmnist,1,1001,24,0.040722,,0.40981,90.86
R/torch,resnet18,fashionmnist,1,1001,25,0.036777,,0.401679,90.49
R/torch,resnet18,fashionmnist,1,1001,26,0.031466,,0.424801,90.75
R/torch,resnet18,fashionmnist,1,1001,27,0.031899,,0.523223,89.31
R/torch,resnet18,fashionmnist,1,1001,28,0.030639,,0.459696,90.27
R/torch,resnet18,fashionmnist,1,1001,29,0.031154,,0.522883,89.49
R/torch,resnet18,fashionmnist,1,1001,30,0.027889,,0.448086,90.38
