phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,65.4822,8139.746,3565.409473,82.456231,3565.409473,11705.155473
eval,1,13.92329,1657.75,738.232224,17.246331,738.232224,2395.982224
train,2,65.158257,8186.002,3562.400854,71.923313,3562.400854,11748.402854
eval,2,13.94329,1643.066,738.900707,16.342432,738.900707,2381.966707
train,3,65.080055,8177.959,3545.002614,77.904739,3545.002614,11722.961614
eval,3,13.772854,1644.482,730.609068,16.83197,730.609068,2375.091068
train,4,64.860807,8170.628,3544.312068,70.999746,3544.312068,11714.940068
eval,4,14.004279,1702.454,744.769895,15.122371,744.769895,2447.223895
train,5,65.084109,8203.015,3544.075585,75.621685,3544.075585,11747.090585
eval,5,13.97905,1691.333,739.499507,16.540557,739.499507,2430.832507
train,6,65.493628,8240.373,3554.483036,82.272769,3554.483036,11794.856036
eval,6,13.932995,1676.097,738.007686,17.433837,738.007686,2414.104686
train,7,65.087834,8217.958,3543.974653,78.923882,3543.974653,11761.932653
eval,7,13.961848,1704.683,744.15425,16.863005,744.15425,2448.83725
train,8,64.761387,8140.014,3520.313279,79.156261,3520.313279,11660.327279
eval,8,14.017836,1668.742,748.852005,15.995007,748.852005,2417.594005
train,9,65.05148,8191.145,3527.845483,81.365513,3527.845483,11718.990483
eval,9,13.855641,1662.959,737.443416,16.964958,737.443416,2400.402416
train,10,65.23127,8192.146,3539.140308,80.958063,3539.140308,11731.286308
eval,10,13.910082,1650.295,738.693778,16.872738,738.693778,2388.988778
train,11,64.917688,8168.896,3520.649855,81.054677,3520.649855,11689.545855
eval,11,13.874157,1671.412,736.460586,16.022273,736.460586,2407.872586
train,12,64.862073,8140.34,3541.832949,69.301042,3541.832949,11682.172949
eval,12,13.819692,1667.474,731.293618,17.39119,731.293618,2398.767618
train,13,64.932221,8151.246,3524.723085,79.729474,3524.723085,11675.969085
eval,13,14.112913,1690.486,747.5882,16.491945,747.5882,2438.0742
train,14,65.078869,8187.611,3543.194817,73.355444,3543.194817,11730.805817
eval,14,13.907073,1681.68,734.440214,17.203364,734.440214,2416.120214
train,15,65.09394,8163.213,3544.482378,71.159619,3544.482378,11707.695378
eval,15,13.897801,1660.827,737.22277,14.267389,737.22277,2398.04977
train,16,64.587977,8103.019,3519.860528,71.461072,3519.860528,11622.879528
eval,16,13.950475,1659.005,738.434133,16.86453,738.434133,2397.439133
train,17,64.835083,8156.586,3533.326232,72.680629,3533.326232,11689.912232
eval,17,13.99836,1711.488,738.433568,17.361178,738.433568,2449.921568
train,18,64.851202,8131.031,3533.57329,69.650939,3533.57329,11664.60429
eval,18,13.849541,1642.672,731.010933,17.33321,731.010933,2373.682933
train,19,64.867448,8139.586,3520.00374,78.61065,3520.00374,11659.58974
eval,19,14.07095,1688.699,741.767213,17.587271,741.767213,2430.466213
train,20,64.89782,8143.018,3526.301693,72.81972,3526.301693,11669.319693
eval,20,13.832763,1657.049,728.474443,16.871076,728.474443,2385.523443
train,21,65.380925,8243.757,3543.580783,75.865934,3543.580783,11787.337783
eval,21,13.945129,1657.834,738.170566,15.466043,738.170566,2396.004566
train,22,64.967486,8161.704,3525.611619,74.759226,3525.611619,11687.315619
eval,22,14.032082,1694.857,738.264907,17.342258,738.264907,2433.121907
train,23,65.179134,8155.553,3533.300995,71.600942,3533.300995,11688.853995
eval,23,13.896363,1648.906,733.474902,15.864735,733.474902,2382.380902
train,24,65.107205,8208.085,3534.412632,70.317988,3534.412632,11742.497632
eval,24,13.940259,1687.791,733.931283,17.315191,733.931283,2421.722283
train,25,65.01127,8168.564,3518.71183,75.317196,3518.71183,11687.27583
eval,25,13.930435,1637.79,739.287254,16.282453,739.287254,2377.077254
train,26,65.351177,8194.153,3526.340433,79.98767,3526.340433,11720.493433
eval,26,13.978614,1679.88,742.46792,16.488695,742.46792,2422.34792
train,27,65.13118,8182.244,3520.167581,78.45775,3520.167581,11702.411581
eval,27,13.925453,1649.918,737.42564,17.12622,737.42564,2387.34364
train,28,65.156514,8185.817,3534.617028,72.350354,3534.617028,11720.434028
eval,28,14.050507,1661.468,747.673004,14.182189,747.673004,2409.141004
train,29,64.837898,8130.082,3509.156415,79.605777,3509.156415,11639.238415
eval,29,13.936701,1638.356,734.111968,17.069582,734.111968,2372.467968
train,30,65.131162,8172.694,3520.291322,81.133042,3520.291322,11692.985322
eval,30,13.875626,1624.855,732.108151,17.189678,732.108151,2356.963151
