ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
R/torch,resnet18,tinyimagenet,0,1000,1,4.686994,,4.376169,9.07
R/torch,resnet18,tinyimagenet,0,1000,2,4.084794,,4.022833,13.8
R/torch,resnet18,tinyimagenet,0,1000,3,3.718874,,3.773455,18.08
R/torch,resnet18,tinyimagenet,0,1000,4,3.427016,,3.811562,18.2
R/torch,resnet18,tinyimagenet,0,1000,5,3.160657,,3.677563,20.4
R/torch,resnet18,tinyimagenet,0,1000,6,2.892461,,3.712884,20.14
R/torch,resnet18,tinyimagenet,0,1000,7,2.60833,,3.782985,20.53
R/torch,resnet18,tinyimagenet,0,1000,8,2.306368,,3.953129,19.22
R/torch,resnet18,tinyimagenet,0,1000,9,1.981582,,3.921103,20.41
R/torch,resnet18,tinyimagenet,0,1000,10,1.657426,,4.138211,19.02
R/torch,resnet18,tinyimagenet,0,1000,11,1.337122,,4.315047,19.12
R/torch,resnet18,tinyimagenet,0,1000,12,1.045201,,4.75696,17.14
R/torch,resnet18,tinyimagenet,0,1000,13,0.800843,,4.726928,18.41
R/torch,resnet18,tinyimagenet,0,1000,14,0.603353,,5.27427,16.07
R/torch,resnet18,tinyimagenet,0,1000,15,0.496917,,5.251032,17.19
R/torch,resnet18,tinyimagenet,0,1000,16,0.415658,,5.42648,17.24
R/torch,resnet18,tinyimagenet,0,1000,17,0.369906,,5.556828,17.23
R/torch,resnet18,tinyimagenet,0,1000,18,0.327224,,5.802612,16.11
R/torch,resnet18,tinyimagenet,0,1000,19,0.306962,,6.005536,16.31
R/torch,resnet18,tinyimagenet,0,1000,20,0.293811,,5.988275,16.89
R/torch,resnet18,tinyimagenet,0,1000,21,0.271965,,6.09866,17.05
R/torch,resnet18,tinyimagenet,0,1000,22,0.254622,,6.240115,17.0
R/torch,resnet18,tinyimagenet,0,1000,23,0.27003,,6.432743,16.64
R/torch,resnet18,tinyimagenet,0,1000,24,0.227133,,6.413313,16.71
R/torch,resnet18,tinyimagenet,0,1000,25,0.225177,,6.50818,16.94
R/torch,resnet18,tinyimagenet,0,1000,26,0.223913,,6.466188,17.19
R/torch,resnet18,tinyimagenet,0,1000,27,0.219762,,6.500061,17.36
R/torch,resnet18,tinyimagenet,0,1000,28,0.201614,,6.798392,16.27
R/torch,resnet18,tinyimagenet,0,1000,29,0.199654,,6.817415,16.06
R/torch,resnet18,tinyimagenet,0,1000,30,0.199307,,6.866106,16.82
