phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,42.273146,5803.034,2283.492109,52.874783,2283.492109,8086.526109
eval,1,11.985006,1479.055,632.989375,12.241966,632.989375,2112.044375
train,2,42.05452,5898.488,2273.192776,52.509918,2273.192776,8171.680776
eval,2,11.930999,1467.896,633.648994,14.937735,633.648994,2101.544994
train,3,42.218267,5943.626,2291.138946,49.409417,2291.138946,8234.764946
eval,3,11.871459,1473.373,629.241446,12.454419,629.241446,2102.614446
train,4,42.577503,6022.337,2301.423738,53.329761,2301.423738,8323.760738
eval,4,12.057072,1504.699,642.702908,12.250693,642.702908,2147.401908
train,5,41.820979,5936.743,2278.134049,44.731848,2278.134049,8214.877049
eval,5,11.885595,1488.071,629.362564,15.118222,629.362564,2117.433564
train,6,41.870528,5946.227,2271.316424,53.134047,2271.316424,8217.543424
eval,6,11.902948,1501.224,629.083282,14.961583,629.083282,2130.307282
train,7,41.90056,5947.524,2286.236718,49.606276,2286.236718,8233.760718
eval,7,11.975002,1487.448,635.959878,13.306075,635.959878,2123.407878
train,8,42.237698,6003.274,2300.668024,51.108807,2300.668024,8303.942024
eval,8,11.888237,1456.019,631.4494,13.13549,631.4494,2087.4684
train,9,42.176292,6012.905,2288.997074,53.851799,2288.997074,8301.902074
eval,9,12.040345,1495.126,637.822942,14.981647,637.822942,2132.948942
train,10,41.815441,5944.797,2285.186983,47.526793,2285.186983,8229.983983
eval,10,11.968315,1491.229,637.811788,12.552817,637.811788,2129.040788
train,11,41.839832,5946.298,2289.364882,49.305373,2289.364882,8235.662882
eval,11,11.889105,1450.006,637.455285,15.087888,637.455285,2087.461285
train,12,41.986574,5991.759,2293.070334,50.643072,2293.070334,8284.829334
eval,12,11.927132,1487.716,636.363667,14.05329,636.363667,2124.079667
train,13,41.786465,5942.182,2294.695021,44.149404,2294.695021,8236.877021
eval,13,12.034721,1501.675,646.239102,12.527199,646.239102,2147.914102
train,14,42.59622,6045.814,2319.333853,53.987061,2319.333853,8365.147853
eval,14,12.116515,1533.366,643.340494,14.100269,643.340494,2176.706494
train,15,42.173768,5994.442,2293.423282,53.469723,2293.423282,8287.865282
eval,15,11.919063,1493.96,638.401648,16.617671,638.401648,2132.361648
train,16,42.264993,5975.383,2309.988892,52.948449,2309.988892,8285.371892
eval,16,11.911438,1492.362,635.577131,13.66093,635.577131,2127.939131
train,17,42.36824,5990.679,2315.454903,53.003103,2315.454903,8306.133903
eval,17,11.891831,1486.584,637.05728,15.393674,637.05728,2123.64128
train,18,41.663643,5917.129,2284.32309,46.666212,2284.32309,8201.45209
eval,18,11.89128,1492.801,633.223539,14.128146,633.223539,2126.024539
train,19,41.809471,5940.757,2294.518379,45.630285,2294.518379,8235.275379
eval,19,12.001325,1499.194,641.226468,12.702941,641.226468,2140.420468
train,20,42.165428,5955.917,2306.532711,51.619873,2306.532711,8262.449711
eval,20,11.93104,1479.493,643.224945,12.419814,643.224945,2122.717945
train,21,42.140202,5992.878,2300.613447,53.748059,2300.613447,8293.491447
eval,21,11.884685,1480.501,633.427951,15.325074,633.427951,2113.928951
train,22,42.010402,5954.96,2290.73055,53.802241,2290.73055,8245.69055
eval,22,11.855638,1470.603,636.39641,14.55543,636.39641,2106.99941
train,23,42.327072,5987.243,2311.546917,53.906728,2311.546917,8298.789917
eval,23,11.925475,1472.967,635.090005,14.783934,635.090005,2108.057005
train,24,41.848753,5931.803,2293.064505,49.225832,2293.064505,8224.867505
eval,24,11.956085,1486.801,636.499966,14.815823,636.499966,2123.300966
train,25,42.071914,5956.867,2299.569677,53.378114,2299.569677,8256.436677
eval,25,11.910414,1493.384,633.797424,13.99656,633.797424,2127.181424
train,26,42.484026,6003.282,2324.936041,47.640481,2324.936041,8328.218041
eval,26,11.942563,1487.176,638.862011,13.02844,638.862011,2126.038011
train,27,42.482489,6033.507,2322.238518,46.17115,2322.238518,8355.745518
eval,27,12.00581,1488.833,646.39217,12.701613,646.39217,2135.22517
train,28,41.970839,5980.715,2303.758516,43.724897,2303.758516,8284.473516
eval,28,11.828414,1501.13,631.732055,13.384424,631.732055,2132.862055
train,29,42.040314,5972.973,2304.208766,47.459734,2304.208766,8277.181766
eval,29,11.979532,1464.2,641.735017,15.528479,641.735017,2105.935017
train,30,42.263703,6005.381,2304.786754,54.928205,2304.786754,8310.167754
eval,30,11.957843,1494.273,636.054463,15.164301,636.054463,2130.327463
