ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
R/torch,vgg16,fashionmnist,1,1001,1,0.719477,,0.45149,83.59
R/torch,vgg16,fashionmnist,1,1001,2,0.400166,,0.37252,85.67
R/torch,vgg16,fashionmnist,1,1001,3,0.315917,,0.306721,88.9
R/torch,vgg16,fashionmnist,1,1001,4,0.273744,,0.275596,90.02
R/torch,vgg16,fashionmnist,1,1001,5,0.238939,,0.267893,90.29
R/torch,vgg16,fashionmnist,1,1001,6,0.214247,,0.258319,90.81
R/torch,vgg16,fashionmnist,1,1001,7,0.193225,,0.267289,90.71
R/torch,vgg16,fashionmnist,1,1001,8,0.174414,,0.226837,91.93
R/torch,vgg16,fashionmnist,1,1001,9,0.15481,,0.230451,91.91
R/torch,vgg16,fashionmnist,1,1001,10,0.138078,,0.229902,91.7
R/torch,vgg16,fashionmnist,1,1001,11,0.119048,,0.241172,92.2
R/torch,vgg16,fashionmnist,1,1001,12,0.102536,,0.233021,92.6
R/torch,vgg16,fashionmnist,1,1001,13,0.089164,,0.283531,92.43
R/torch,vgg16,fashionmnist,1,1001,14,0.07749,,0.253338,93.0
R/torch,vgg16,fashionmnist,1,1001,15,0.064317,,0.27428,92.66
R/torch,vgg16,fashionmnist,1,1001,16,0.057373,,0.28891,92.18
R/torch,vgg16,fashionmnist,1,1001,17,0.046622,,0.317489,92.47
R/torch,vgg16,fashionmnist,1,1001,18,0.042752,,0.302833,92.58
R/torch,vgg16,fashionmnist,1,1001,19,0.035505,,0.349678,92.55
R/torch,vgg16,fashionmnist,1,1001,20,0.029839,,0.334276,93.05
R/torch,vgg16,fashionmnist,1,1001,21,0.032664,,0.313869,92.7
R/torch,vgg16,fashionmnist,1,1001,22,0.029884,,0.313579,92.29
R/torch,vgg16,fashionmnist,1,1001,23,0.024508,,0.345297,92.73
R/torch,vgg16,fashionmnist,1,1001,24,0.021525,,0.414444,92.8
R/torch,vgg16,fashionmnist,1,1001,25,0.022936,,0.368511,92.77
R/torch,vgg16,fashionmnist,1,1001,26,0.021142,,0.378031,92.79
R/torch,vgg16,fashionmnist,1,1001,27,0.019435,,0.36799,92.79
R/torch,vgg16,fashionmnist,1,1001,28,0.020834,,0.392193,93.1
R/torch,vgg16,fashionmnist,1,1001,29,0.018707,,0.421378,92.38
R/torch,vgg16,fashionmnist,1,1001,30,0.015905,,0.376844,92.73
