phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,58.276139,7828.724,3122.534961,69.567173,3122.534961,10951.258961
eval,1,13.312359,1617.931,697.524109,15.406979,697.524109,2315.455109
train,2,57.707116,7949.038,3095.455962,70.403784,3095.455962,11044.493962
eval,2,13.457449,1654.971,705.34806,15.879824,705.34806,2360.31906
train,3,57.870603,8022.269,3115.056526,62.505251,3115.056526,11137.325526
eval,3,13.406944,1658.551,705.153474,16.43903,705.153474,2363.704474
train,4,58.555641,8113.723,3155.329606,65.549528,3155.329606,11269.052606
eval,4,13.423979,1675.932,712.72747,15.479775,712.72747,2388.65947
train,5,58.516651,8154.201,3152.498163,72.153541,3152.498163,11306.699163
eval,5,13.272812,1617.718,709.746545,13.538744,709.746545,2327.464545
train,6,58.121772,8121.941,3148.747152,68.84852,3148.747152,11270.688152
eval,6,13.329318,1665.43,706.408658,15.892458,706.408658,2371.838658
train,7,57.650052,8017.871,3138.720387,62.771641,3138.720387,11156.591387
eval,7,13.306786,1651.865,705.380498,13.858261,705.380498,2357.245498
train,8,58.102223,8064.798,3143.84732,73.199645,3143.84732,11208.64532
eval,8,13.246602,1630.671,699.810749,15.774407,699.810749,2330.481749
train,9,57.971235,8058.165,3140.627759,71.815744,3140.627759,11198.792759
eval,9,13.281986,1666.55,701.349335,16.810441,701.349335,2367.899335
train,10,58.033911,8069.768,3156.6215,67.696832,3156.6215,11226.3895
eval,10,13.315606,1644.252,705.297083,15.266422,705.297083,2349.549083
train,11,58.054691,8083.275,3162.737945,67.071803,3162.737945,11246.012945
eval,11,13.294292,1626.037,707.300367,15.310121,707.300367,2333.337367
train,12,57.869037,8063.832,3146.003703,66.806039,3146.003703,11209.835703
eval,12,13.470441,1661.631,716.830117,16.373497,716.830117,2378.461117
train,13,58.224813,8077.686,3156.742283,65.104101,3156.742283,11234.428283
eval,13,13.369792,1629.14,711.211115,16.656426,711.211115,2340.351115
train,14,58.238437,8076.312,3162.383471,65.687048,3162.383471,11238.695471
eval,14,13.330029,1648.373,709.463036,15.929108,709.463036,2357.836036
train,15,57.987264,8071.985,3160.239417,63.138321,3160.239417,11232.224417
eval,15,13.369359,1648.537,708.723465,15.49334,708.723465,2357.260465
train,16,58.012574,8080.953,3161.654581,65.387747,3161.654581,11242.607581
eval,16,13.330711,1626.082,708.802898,13.475255,708.802898,2334.884898
train,17,57.973774,8063.61,3144.482328,72.654217,3144.482328,11208.092328
eval,17,13.423709,1666.444,709.500692,16.773622,709.500692,2375.944692
train,18,58.113099,8079.968,3149.064137,72.670573,3149.064137,11229.032137
eval,18,13.369266,1678.88,707.626415,16.667443,707.626415,2386.506415
train,19,58.18442,8113.283,3174.260313,65.236266,3174.260313,11287.543313
eval,19,13.353394,1646.188,708.386339,15.89226,708.386339,2354.574339
train,20,58.459733,8119.57,3173.657668,72.319609,3173.657668,11293.227668
eval,20,13.415359,1676.228,711.734082,15.675367,711.734082,2387.962082
train,21,58.077486,8071.871,3157.956576,69.646469,3157.956576,11229.827576
eval,21,13.410365,1649.447,714.110379,16.277982,714.110379,2363.557379
train,22,57.679024,7998.587,3136.410357,67.653697,3136.410357,11134.997357
eval,22,13.493682,1651.466,719.050354,17.117279,719.050354,2370.516354
train,23,57.986106,8086.202,3152.903706,66.23748,3152.903706,11239.105706
eval,23,13.356729,1641.904,711.820839,15.105039,711.820839,2353.724839
train,24,58.208393,8059.959,3153.684427,69.944731,3153.684427,11213.643427
eval,24,13.360375,1643.116,708.352162,16.484423,708.352162,2351.468162
train,25,57.957885,8037.881,3148.795718,67.816424,3148.795718,11186.676718
eval,25,13.356678,1652.083,706.097152,16.76253,706.097152,2358.180152
train,26,57.748901,8027.142,3132.012101,73.609215,3132.012101,11159.154101
eval,26,13.372131,1638.648,707.631954,15.786247,707.631954,2346.279954
train,27,58.219882,8106.983,3163.192556,69.463586,3163.192556,11270.175556
eval,27,13.308854,1631.547,707.578993,14.722734,707.578993,2339.125993
train,28,57.912839,8041.607,3142.416959,73.101582,3142.416959,11184.023959
eval,28,13.322061,1638.051,705.607735,16.371437,705.607735,2343.658735
train,29,57.801449,8040.248,3142.893878,67.382212,3142.893878,11183.141878
eval,29,13.379643,1676.748,708.306724,16.740101,708.306724,2385.054724
train,30,58.409312,8114.639,3163.269457,72.434731,3163.269457,11277.908457
eval,30,13.254182,1633.584,705.391438,16.769137,705.391438,2338.975438
