phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,92.912255,12980.065,5192.233576,113.972987,5192.233576,18172.298576
eval,1,13.506697,1674.081,741.920891,15.341492,741.920891,2416.001891
train,2,91.681515,12917.376,5120.961108,103.450934,5120.961108,18038.337108
eval,2,13.470782,1656.285,731.429475,15.138911,731.429475,2387.714475
train,3,91.58994,12929.216,5077.546743,120.574331,5077.546743,18006.762743
eval,3,13.446571,1664.859,723.829572,17.628163,723.829572,2388.688572
train,4,91.579301,12937.181,5079.46002,115.931367,5079.46002,18016.64102
eval,4,13.560343,1701.996,732.501899,14.46968,732.501899,2434.497899
train,5,92.179035,13026.608,5100.482308,109.49745,5100.482308,18127.090308
eval,5,13.35831,1668.716,724.540625,14.810559,724.540625,2393.256625
train,6,91.870446,12978.795,5075.29872,109.473113,5075.29872,18054.09372
eval,6,13.448067,1701.385,728.646125,16.223832,728.646125,2430.031125
train,7,92.619494,13022.598,5109.522933,100.762001,5109.522933,18132.120933
eval,7,13.525495,1699.508,726.601889,14.999285,726.601889,2426.109889
train,8,90.689923,12782.927,5010.739849,101.746463,5010.739849,17793.666849
eval,8,13.539199,1684.001,721.314703,17.149504,721.314703,2405.315703
train,9,91.499007,12870.456,5040.191802,104.095996,5040.191802,17910.647802
eval,9,13.676231,1702.536,735.359707,15.123791,735.359707,2437.895707
train,10,92.401733,12937.319,5084.573158,101.966315,5084.573158,18021.892158
eval,10,13.431254,1662.131,720.172443,17.01264,720.172443,2382.303443
train,11,91.713696,12859.624,5043.523753,107.596853,5043.523753,17903.147753
eval,11,13.485102,1665.894,727.413966,15.052261,727.413966,2393.307966
train,12,92.385217,12941.144,5087.305622,100.933974,5087.305622,18028.449622
eval,12,13.490225,1658.817,718.565394,16.511185,718.565394,2377.382394
train,13,91.095976,12925.213,5015.266623,105.245138,5015.266623,17940.479623
eval,13,13.451015,1633.772,719.047165,14.324867,719.047165,2352.819165
train,14,90.843946,12754.887,4990.54198,100.829838,4990.54198,17745.42898
eval,14,13.399367,1671.153,712.245606,16.784929,712.245606,2383.398606
train,15,91.481376,12818.306,4999.907065,113.766456,4999.907065,17818.213065
eval,15,13.440065,1648.545,726.865974,14.213819,726.865974,2375.410974
train,16,91.173553,12806.141,4995.728754,99.956059,4995.728754,17801.869754
eval,16,13.472344,1680.311,721.367098,13.692544,721.367098,2401.678098
train,17,91.741474,12837.322,5004.55067,111.049997,5004.55067,17841.87267
eval,17,13.497107,1644.833,715.349008,17.215769,715.349008,2360.182008
train,18,91.391796,12812.262,4987.564015,110.211998,4987.564015,17799.826015
eval,18,13.492906,1695.63,715.768785,14.671223,715.768785,2411.398785
train,19,91.061643,12751.757,4972.547,105.012758,4972.547,17724.304
eval,19,13.415705,1631.155,717.789006,14.100025,717.789006,2348.944006
train,20,92.069247,12855.438,5012.507107,113.363202,5012.507107,17867.945107
eval,20,13.326508,1661.377,716.432203,13.617628,716.432203,2377.809203
train,21,90.847348,12709.453,4994.316183,96.130343,4994.316183,17703.769183
eval,21,13.495461,1677.445,720.364297,16.664941,720.364297,2397.809297
train,22,91.861405,12896.865,5010.984785,107.316853,5010.984785,17907.849785
eval,22,13.386751,1656.833,712.657664,13.71685,712.657664,2369.490664
train,23,91.784324,12856.223,5008.42045,107.171719,5008.42045,17864.64345
eval,23,13.398423,1663.954,712.060802,15.943313,712.060802,2376.014802
train,24,91.978252,12851.467,5025.692445,101.663489,5025.692445,17877.159445
eval,24,13.398565,1648.671,715.192506,16.956032,715.192506,2363.863506
train,25,92.544756,12963.225,5032.191239,117.907095,5032.191239,17995.416239
eval,25,13.394203,1641.896,718.561686,13.919965,718.561686,2360.457686
train,26,91.490142,12838.664,4980.406411,116.052013,4980.406411,17819.070411
eval,26,13.455686,1653.549,716.579459,17.096055,716.579459,2370.128459
train,27,91.452604,12819.183,4987.353073,115.180827,4987.353073,17806.536073
eval,27,13.423015,1674.131,714.672498,14.251094,714.672498,2388.803498
train,28,91.071535,12756.819,4978.834577,108.067867,4978.834577,17735.653577
eval,28,13.51838,1672.208,720.10575,13.990793,720.10575,2392.31375
train,29,91.120765,12768.793,4989.55703,100.688045,4989.55703,17758.35003
eval,29,13.453941,1674.94,715.788545,14.549021,715.788545,2390.728545
train,30,91.694175,12826.2,5035.001991,99.274361,5035.001991,17861.201991
eval,30,13.349053,1643.947,713.492567,16.109488,713.492567,2357.439567
