ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
R/torch,vgg16,tinyimagenet,2,1002,1,5.161083,,5.017822,1.68
R/torch,vgg16,tinyimagenet,2,1002,2,4.93086,,4.748596,3.4
R/torch,vgg16,tinyimagenet,2,1002,3,4.691448,,4.521933,5.41
R/torch,vgg16,tinyimagenet,2,1002,4,4.476069,,4.35736,7.47
R/torch,vgg16,tinyimagenet,2,1002,5,4.259805,,4.167021,9.94
R/torch,vgg16,tinyimagenet,2,1002,6,4.071189,,3.992819,12.46
R/torch,vgg16,tinyimagenet,2,1002,7,3.893075,,3.877737,14.53
R/torch,vgg16,tinyimagenet,2,1002,8,3.723306,,3.822587,15.76
R/torch,vgg16,tinyimagenet,2,1002,9,3.560183,,3.818238,16.13
R/torch,vgg16,tinyimagenet,2,1002,10,3.36747,,3.782144,17.17
R/torch,vgg16,tinyimagenet,2,1002,11,3.157331,,3.804768,17.87
R/torch,vgg16,tinyimagenet,2,1002,12,2.924694,,3.936776,17.35
R/torch,vgg16,tinyimagenet,2,1002,13,2.687338,,4.000501,17.16
R/torch,vgg16,tinyimagenet,2,1002,14,2.441911,,4.317904,17.47
R/torch,vgg16,tinyimagenet,2,1002,15,2.197665,,4.405212,17.93
R/torch,vgg16,tinyimagenet,2,1002,16,1.971425,,4.686281,17.02
R/torch,vgg16,tinyimagenet,2,1002,17,1.750557,,5.164262,17.24
R/torch,vgg16,tinyimagenet,2,1002,18,1.534233,,5.667436,16.31
R/torch,vgg16,tinyimagenet,2,1002,19,1.355928,,6.161286,16.85
R/torch,vgg16,tinyimagenet,2,1002,20,1.20154,,6.265023,15.96
R/torch,vgg16,tinyimagenet,2,1002,21,1.059771,,6.83695,16.55
R/torch,vgg16,tinyimagenet,2,1002,22,0.92868,,7.218459,16.61
R/torch,vgg16,tinyimagenet,2,1002,23,0.849048,,7.752351,15.32
R/torch,vgg16,tinyimagenet,2,1002,24,0.760459,,8.15252,15.9
R/torch,vgg16,tinyimagenet,2,1002,25,0.688447,,8.395413,16.02
R/torch,vgg16,tinyimagenet,2,1002,26,0.623856,,8.493031,15.98
R/torch,vgg16,tinyimagenet,2,1002,27,0.568882,,8.827667,16.06
R/torch,vgg16,tinyimagenet,2,1002,28,0.530329,,9.254273,15.67
R/torch,vgg16,tinyimagenet,2,1002,29,0.491113,,9.255432,16.24
R/torch,vgg16,tinyimagenet,2,1002,30,0.456794,,9.88991,16.54
