ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
Rust/tch,resnet18,cifar100,0,1000,1,3.795557,,3.375925,19.67
Rust/tch,resnet18,cifar100,0,1000,2,3.045061,,3.085327,25.07
Rust/tch,resnet18,cifar100,0,1000,3,2.623956,,2.914422,28.42
Rust/tch,resnet18,cifar100,0,1000,4,2.260593,,2.9172,28.65
Rust/tch,resnet18,cifar100,0,1000,5,1.898035,,2.880494,30.35
Rust/tch,resnet18,cifar100,0,1000,6,1.514847,,2.928457,30.43
Rust/tch,resnet18,cifar100,0,1000,7,1.14175,,3.035785,29.97
Rust/tch,resnet18,cifar100,0,1000,8,0.800821,,3.17947,30.17
Rust/tch,resnet18,cifar100,0,1000,9,0.51348,,3.302049,29.8
Rust/tch,resnet18,cifar100,0,1000,10,0.314839,,3.507775,28.22
Rust/tch,resnet18,cifar100,0,1000,11,0.187171,,3.609403,29.23
Rust/tch,resnet18,cifar100,0,1000,12,0.137542,,3.683402,29.64
Rust/tch,resnet18,cifar100,0,1000,13,0.120434,,3.895132,28.26
Rust/tch,resnet18,cifar100,0,1000,14,0.130378,,4.063842,27.98
Rust/tch,resnet18,cifar100,0,1000,15,0.192726,,4.206296,27.97
Rust/tch,resnet18,cifar100,0,1000,16,0.174579,,4.237171,28.39
Rust/tch,resnet18,cifar100,0,1000,17,0.113091,,4.199624,29.54
Rust/tch,resnet18,cifar100,0,1000,18,0.067805,,4.339154,28.66
Rust/tch,resnet18,cifar100,0,1000,19,0.091798,,4.405261,28.87
Rust/tch,resnet18,cifar100,0,1000,20,0.153469,,4.596727,27.68
Rust/tch,resnet18,cifar100,0,1000,21,0.151171,,4.62212,27.94
Rust/tch,resnet18,cifar100,0,1000,22,0.085239,,4.56073,29.49
Rust/tch,resnet18,cifar100,0,1000,23,0.074877,,4.590822,28.81
Rust/tch,resnet18,cifar100,0,1000,24,0.077397,,4.636535,29.54
Rust/tch,resnet18,cifar100,0,1000,25,0.131443,,4.753197,28.05
Rust/tch,resnet18,cifar100,0,1000,26,0.109448,,4.803714,28.83
Rust/tch,resnet18,cifar100,0,1000,27,0.081127,,4.823333,28.67
Rust/tch,resnet18,cifar100,0,1000,28,0.072814,,4.923098,28.47
Rust/tch,resnet18,cifar100,0,1000,29,0.063573,,4.861583,29.32
Rust/tch,resnet18,cifar100,0,1000,30,0.083726,,4.965655,29.08
