phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,5.06068,1022.55,254.441645,4.716385,254.441645,1276.991645
eval,1,0.590407,84.248,29.70133,0.574754,29.70133,113.94933
train,2,4.577649,952.848,229.536775,5.2652,229.536775,1182.384775
eval,2,0.549233,69.275,27.704836,0.725335,27.704836,96.979836
train,3,4.580433,954.573,229.309705,5.462349,229.309705,1183.882705
eval,3,0.552901,68.368,27.576546,0.474646,27.576546,95.944546
train,4,4.574305,964.663,230.255686,5.69575,230.255686,1194.918686
eval,4,0.549698,79.698,27.879127,0.616302,27.879127,107.577127
train,5,4.574108,959.292,228.798943,4.867592,228.798943,1188.090943
eval,5,0.549683,78.351,27.411454,0.577729,27.411454,105.762454
train,6,4.564761,975.047,226.879625,4.063571,226.879625,1201.926625
eval,6,0.547569,79.362,27.180524,0.47106,27.180524,106.542524
train,7,4.569636,974.932,227.788238,5.209493,227.788238,1202.720238
eval,7,0.549956,72.911,27.115648,0.598755,27.115648,100.026648
train,8,4.575548,974.633,226.059248,4.992739,226.059248,1200.692248
eval,8,0.535896,86.117,27.468214,0.632886,27.468214,113.585214
train,9,4.572412,984.468,225.609411,4.982363,225.609411,1210.077411
eval,9,0.537384,86.904,27.715455,0.676128,27.715455,114.619455
train,10,4.575116,970.389,228.439984,5.433221,228.439984,1198.828984
eval,10,0.536133,80.993,26.485126,0.586091,26.485126,107.478126
train,11,4.580108,993.974,228.942475,5.268373,228.942475,1222.916475
eval,11,0.538353,93.998,26.96522,0.580064,26.96522,120.96322
train,12,4.58404,1004.67,228.615206,5.222111,228.615206,1233.285206
eval,12,0.537103,96.141,27.58184,0.682628,27.58184,123.72284
train,13,4.558769,982.674,227.129078,4.975512,227.129078,1209.803078
eval,13,0.54782,71.392,27.030066,0.619368,27.030066,98.422066
train,14,4.577372,986.94,225.194332,5.102428,225.194332,1212.134332
eval,14,0.547539,71.059,27.075031,0.635572,27.075031,98.134031
train,15,4.593155,985.81,226.304535,5.277804,226.304535,1212.114535
eval,15,0.552848,75.724,27.496335,0.602127,27.496335,103.220335
train,16,4.568999,983.72,225.392458,5.010346,225.392458,1209.112458
eval,16,0.547882,72.443,27.218167,0.581955,27.218167,99.661167
train,17,4.579831,988.102,225.742537,4.962618,225.742537,1213.844537
eval,17,0.545896,70.161,26.938655,0.616973,26.938655,97.099655
train,18,4.575427,977.904,225.779721,5.04698,225.779721,1203.683721
eval,18,0.547494,70.407,27.022681,0.571946,27.022681,97.429681
train,19,4.590877,976.588,226.647428,4.825128,226.647428,1203.235428
eval,19,0.549854,77.742,28.067365,0.71081,28.067365,105.809365
train,20,4.575389,994.936,225.372561,5.24094,225.372561,1220.308561
eval,20,0.550792,74.638,27.682941,0.613066,27.682941,102.320941
train,21,4.579602,983.092,225.363375,5.148111,225.363375,1208.455375
eval,21,0.548588,72.423,27.083835,0.851946,27.083835,99.506835
train,22,4.563115,994.631,224.645273,5.165001,224.645273,1219.276273
eval,22,0.546485,74.221,26.993904,0.607222,26.993904,101.214904
train,23,4.587615,984.875,229.315778,5.201009,229.315778,1214.190778
eval,23,0.541595,89.487,28.522817,1.022881,28.522817,118.009817
train,24,4.581683,978.128,225.88021,4.997391,225.88021,1204.00821
eval,24,0.546673,78.926,26.97001,0.605514,26.97001,105.89601
train,25,4.569897,977.773,224.981483,5.163598,224.981483,1202.754483
eval,25,0.561265,77.637,27.669941,0.602462,27.669941,105.306941
train,26,4.570784,995.597,227.079351,5.166191,227.079351,1222.676351
eval,26,0.547044,75.446,26.903379,0.636915,26.903379,102.349379
train,27,4.564388,978.395,224.636668,4.955081,224.636668,1203.031668
eval,27,0.548269,77.593,27.099123,0.61119,27.099123,104.692123
train,28,4.577618,970.943,225.557656,5.018906,225.557656,1196.500656
eval,28,0.550338,70.429,27.063771,0.627287,27.063771,97.492771
train,29,4.583532,980.369,228.003315,4.967181,228.003315,1208.372315
eval,29,0.548229,68.693,27.113252,0.593658,27.113252,95.806252
train,30,4.586261,981.238,226.935042,4.463637,226.935042,1208.173042
eval,30,0.547284,76.896,27.075046,0.465919,27.075046,103.971046
