phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,5.335458,1095.293,268.373466,6.118351,268.373466,1363.666466
eval,1,0.481597,67.369,24.81793,0.544512,24.81793,92.18693
train,2,4.839916,1046.375,243.610556,5.152566,243.610556,1289.985556
eval,2,0.443191,61.962,23.275026,0.494984,23.275026,85.237026
train,3,4.875091,1063.199,246.307727,5.616348,246.307727,1309.506727
eval,3,0.449729,58.745,23.28409,0.535632,23.28409,82.02909
train,4,4.866306,1069.117,245.885218,4.755659,245.885218,1315.002218
eval,4,0.448987,56.438,23.081875,0.484289,23.081875,79.519875
train,5,4.880461,1059.788,245.415119,5.353453,245.415119,1305.203119
eval,5,0.446161,53.698,23.392223,0.484716,23.392223,77.090223
train,6,4.878602,1065.386,246.058076,4.899023,246.058076,1311.444076
eval,6,0.455078,64.915,23.532673,0.405405,23.532673,88.447673
train,7,4.99535,1091.485,251.67363,4.363864,251.67363,1343.15863
eval,7,0.446991,52.497,23.182761,0.389476,23.182761,75.679761
train,8,4.873714,1065.852,244.700282,5.954663,244.700282,1310.552282
eval,8,0.453286,65.32,23.786398,0.481512,23.786398,89.106398
train,9,4.882821,1064.349,246.1405,5.69189,246.1405,1310.4895
eval,9,0.449358,59.521,23.077649,0.524814,23.077649,82.598649
train,10,4.870814,1071.618,245.146853,6.739306,245.146853,1316.764853
eval,10,0.450001,54.297,23.157403,0.486089,23.157403,77.454403
train,11,4.888911,1073.406,246.541236,5.790136,246.541236,1319.947236
eval,11,0.4497,63.865,23.685817,0.543826,23.685817,87.550817
train,12,4.876622,1095.155,246.253332,5.388927,246.253332,1341.408332
eval,12,0.454961,55.887,23.491889,0.489691,23.491889,79.378889
train,13,4.883576,1080.807,246.426206,5.613052,246.426206,1327.233206
eval,13,0.448532,64.382,23.241184,0.480307,23.241184,87.623184
train,14,4.898186,1090.297,247.266509,5.241078,247.266509,1337.563509
eval,14,0.448838,58.471,23.863711,0.536136,23.863711,82.334711
train,15,4.87975,1092.072,246.729855,5.684169,246.729855,1338.801855
eval,15,0.450234,54.232,23.366315,0.488515,23.366315,77.598315
train,16,4.880951,1081.283,246.772608,5.274843,246.772608,1328.055608
eval,16,0.448655,65.125,23.207494,0.476599,23.207494,88.332494
train,17,4.889202,1098.289,247.136008,5.282838,247.136008,1345.425008
eval,17,0.453418,68.628,24.314874,0.530567,24.314874,92.942874
train,18,4.88699,1089.283,247.878752,5.322784,247.878752,1337.161752
eval,18,0.44821,57.863,23.224492,0.492955,23.224492,81.087492
train,19,4.896815,1071.739,247.704857,5.473777,247.704857,1319.443857
eval,19,0.450634,61.878,23.478552,0.402659,23.478552,85.356552
train,20,4.9371,1085.721,250.509475,4.415864,250.509475,1336.230475
eval,20,0.463403,61.129,25.036074,0.461143,25.036074,86.165074
train,21,4.887454,1087.25,248.997194,4.308951,248.997194,1336.247194
eval,21,0.45837,69.849,23.946058,0.451255,23.946058,93.795058
train,22,4.885842,1078.435,248.043859,4.320623,248.043859,1326.478859
eval,22,0.447423,64.423,23.202963,0.394556,23.202963,87.625963
train,23,4.88805,1098.697,248.353612,4.372836,248.353612,1347.050612
eval,23,0.457781,69.713,24.556821,0.436363,24.556821,94.269821
train,24,4.88795,1095.283,248.335531,4.28559,248.335531,1343.618531
eval,24,0.447194,60.44,23.313766,0.393382,23.313766,83.753766
train,25,4.883275,1092.619,247.788623,4.339039,247.788623,1340.407623
eval,25,0.448461,55.348,23.382976,0.430535,23.382976,78.730976
train,26,4.884433,1077.656,248.119111,4.45056,248.119111,1325.775111
eval,26,0.44737,66.185,23.835712,0.390894,23.835712,90.020712
train,27,4.889038,1093.021,248.376926,4.304556,248.376926,1341.397926
eval,27,0.449754,59.596,23.527927,0.457877,23.527927,83.123927
train,28,4.885295,1087.385,248.376819,4.573204,248.376819,1335.761819
eval,28,0.446769,55.0,23.333053,0.394221,23.333053,78.333053
train,29,4.884835,1081.268,246.764719,5.341597,246.764719,1328.032719
eval,29,0.44737,62.418,23.68835,0.540133,23.68835,86.10635
train,30,4.890131,1096.12,247.86357,5.578584,247.86357,1343.98357
eval,30,0.450504,56.141,23.556566,0.486379,23.556566,79.697566
