ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
Rust/tch,resnet18,fashionmnist,4,1004,1,0.447832,,0.377531,86.24
Rust/tch,resnet18,fashionmnist,4,1004,2,0.282394,,0.329142,87.66
Rust/tch,resnet18,fashionmnist,4,1004,3,0.223119,,0.322351,88.26
Rust/tch,resnet18,fashionmnist,4,1004,4,0.179434,,0.333851,88.53
Rust/tch,resnet18,fashionmnist,4,1004,5,0.149768,,0.340839,88.99
Rust/tch,resnet18,fashionmnist,4,1004,6,0.127206,,0.340524,88.97
Rust/tch,resnet18,fashionmnist,4,1004,7,0.10527,,0.371626,88.53
Rust/tch,resnet18,fashionmnist,4,1004,8,0.085661,,0.365415,89.31
Rust/tch,resnet18,fashionmnist,4,1004,9,0.077215,,0.380926,89.34
Rust/tch,resnet18,fashionmnist,4,1004,10,0.067168,,0.392024,89.56
Rust/tch,resnet18,fashionmnist,4,1004,11,0.061533,,0.424187,89.33
Rust/tch,resnet18,fashionmnist,4,1004,12,0.053708,,0.412995,89.88
Rust/tch,resnet18,fashionmnist,4,1004,13,0.049719,,0.438225,89.4
Rust/tch,resnet18,fashionmnist,4,1004,14,0.04626,,0.430333,89.96
Rust/tch,resnet18,fashionmnist,4,1004,15,0.04302,,0.437486,90.18
Rust/tch,resnet18,fashionmnist,4,1004,16,0.038177,,0.477562,89.63
Rust/tch,resnet18,fashionmnist,4,1004,17,0.040682,,0.463378,89.93
Rust/tch,resnet18,fashionmnist,4,1004,18,0.03197,,0.494945,89.83
Rust/tch,resnet18,fashionmnist,4,1004,19,0.031441,,0.517384,88.94
Rust/tch,resnet18,fashionmnist,4,1004,20,0.03098,,0.491331,89.96
Rust/tch,resnet18,fashionmnist,4,1004,21,0.030541,,0.455334,90.24
Rust/tch,resnet18,fashionmnist,4,1004,22,0.026025,,0.549258,89.15
Rust/tch,resnet18,fashionmnist,4,1004,23,0.028665,,0.492578,89.98
Rust/tch,resnet18,fashionmnist,4,1004,24,0.026961,,0.476416,89.74
Rust/tch,resnet18,fashionmnist,4,1004,25,0.027409,,0.503126,89.78
Rust/tch,resnet18,fashionmnist,4,1004,26,0.025913,,0.502524,90.09
Rust/tch,resnet18,fashionmnist,4,1004,27,0.024106,,0.490902,90.12
Rust/tch,resnet18,fashionmnist,4,1004,28,0.020293,,0.483499,89.92
Rust/tch,resnet18,fashionmnist,4,1004,29,0.025025,,0.528925,90.15
Rust/tch,resnet18,fashionmnist,4,1004,30,0.01748,,0.501581,90.19
