phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,24.402511,3384.785,1210.714305,27.812511,1210.714305,4595.499305
eval,1,2.0273,258.209,100.052412,2.223274,100.052412,358.261412
train,2,23.757515,3318.787,1169.372006,26.021589,1169.372006,4488.159006
eval,2,1.975459,239.999,97.159007,2.044267,97.159007,337.158007
train,3,23.747319,3334.154,1169.794179,25.990554,1169.794179,4503.948179
eval,3,1.978769,252.086,97.392806,2.13641,97.392806,349.478806
train,4,23.806071,3368.343,1173.367847,25.473658,1173.367847,4541.710847
eval,4,1.979296,253.043,97.228751,2.147319,97.228751,350.271751
train,5,23.734703,3348.3,1168.773618,25.75938,1168.773618,4517.073618
eval,5,1.98545,253.582,97.669937,2.414914,97.669937,351.251937
train,6,23.729666,3356.404,1165.551052,24.767549,1165.551052,4521.955052
eval,6,1.982683,244.878,97.461528,2.135906,97.461528,342.339528
train,7,23.803811,3368.809,1169.18508,25.673279,1169.18508,4537.99408
eval,7,1.981354,253.028,97.102782,2.136394,97.102782,350.130782
train,8,23.74245,3362.964,1167.38488,25.305744,1167.38488,4530.34888
eval,8,1.974929,242.213,97.084945,2.129665,97.084945,339.297945
train,9,23.730633,3368.493,1168.459135,25.36377,1168.459135,4536.952135
eval,9,1.977141,245.586,96.979619,2.038454,96.979619,342.565619
train,10,23.876319,3397.333,1178.422182,26.062968,1178.422182,4575.755182
eval,10,1.980064,244.459,98.113762,2.284825,98.113762,342.572762
train,11,23.774039,3364.153,1171.901386,25.071305,1171.901386,4536.054386
eval,11,1.975964,243.792,97.028186,2.03525,97.028186,340.820186
train,12,23.773376,3365.79,1170.016336,26.282286,1170.016336,4535.806336
eval,12,1.980821,255.416,97.303546,2.165232,97.303546,352.719546
train,13,23.928328,3382.569,1182.066311,20.862614,1182.066311,4564.635311
eval,13,1.98917,244.515,97.479151,1.812651,97.479151,341.994151
train,14,23.786771,3378.098,1178.203916,19.638175,1178.203916,4556.301916
eval,14,1.970746,252.84,97.211861,1.615945,97.211861,350.051861
train,15,23.766246,3358.152,1176.865973,19.948996,1176.865973,4535.017973
eval,15,1.975089,254.387,99.662479,1.635414,99.662479,354.049479
train,16,23.752601,3374.931,1168.059376,25.631594,1168.059376,4542.990376
eval,16,1.978566,254.709,97.410124,2.081282,97.410124,352.119124
train,17,23.811604,3371.767,1182.419793,26.583388,1182.419793,4554.186793
eval,17,1.985528,255.177,105.080381,2.563253,105.080381,360.257381
train,18,23.985658,3373.815,1241.404429,29.184373,1241.404429,4615.219429
eval,18,1.981309,244.605,97.826362,2.083022,97.826362,342.431362
train,19,23.879314,3372.421,1179.289554,21.027553,1179.289554,4551.710554
eval,19,1.976177,249.878,99.506649,1.754975,99.506649,349.384649
train,20,23.765514,3370.455,1172.433524,19.506468,1172.433524,4542.888524
eval,20,1.978916,252.749,97.863149,1.644492,97.863149,350.612149
train,21,23.755942,3364.053,1176.608784,19.737291,1176.608784,4540.661784
eval,21,1.9806,255.123,97.637162,1.727725,97.637162,352.760162
train,22,23.875163,3379.576,1193.732532,20.763346,1193.732532,4573.308532
eval,22,1.974593,254.969,97.828528,1.710101,97.828528,352.797528
train,23,23.876396,3371.596,1178.634497,21.678811,1178.634497,4550.230497
eval,23,1.974653,253.377,98.691155,1.620796,98.691155,352.068155
train,24,23.84164,3360.001,1173.279717,21.395988,1173.279717,4533.280717
eval,24,1.977518,254.111,96.987126,2.129437,96.987126,351.098126
train,25,23.746374,3382.369,1172.621014,24.977239,1172.621014,4554.990014
eval,25,1.975009,251.901,97.18104,2.019107,97.18104,349.08204
train,26,23.763343,3351.314,1172.647991,24.766999,1172.647991,4523.961991
eval,26,1.978696,253.912,97.293217,2.056412,97.293217,351.205217
train,27,23.804513,3384.863,1168.772702,25.112486,1168.772702,4553.635702
eval,27,1.974148,243.903,97.067719,2.017337,97.067719,340.970719
train,28,23.74416,3367.623,1165.956396,24.626137,1165.956396,4533.579396
eval,28,1.98174,254.839,97.081985,2.109479,97.081985,351.920985
train,29,23.811768,3380.236,1171.086425,25.278539,1171.086425,4551.322425
eval,29,1.974674,255.007,97.133252,2.009036,97.133252,352.140252
train,30,23.856038,3389.427,1174.365233,25.779307,1174.365233,4563.792233
eval,30,1.977373,255.939,97.350343,2.118268,97.350343,353.289343
