ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
Rust/tch,resnet18,tinyimagenet,4,1004,1,4.783751,,4.408788,9.18
Rust/tch,resnet18,tinyimagenet,4,1004,2,4.135044,,4.102075,13.62
Rust/tch,resnet18,tinyimagenet,4,1004,3,3.771001,,3.917591,15.97
Rust/tch,resnet18,tinyimagenet,4,1004,4,3.467571,,3.84898,17.65
Rust/tch,resnet18,tinyimagenet,4,1004,5,3.175041,,3.878144,17.62
Rust/tch,resnet18,tinyimagenet,4,1004,6,2.864089,,3.883786,18.08
Rust/tch,resnet18,tinyimagenet,4,1004,7,2.533528,,4.058879,16.62
Rust/tch,resnet18,tinyimagenet,4,1004,8,2.178637,,4.11518,16.79
Rust/tch,resnet18,tinyimagenet,4,1004,9,1.816655,,4.225102,17.25
Rust/tch,resnet18,tinyimagenet,4,1004,10,1.461349,,4.445969,16.22
Rust/tch,resnet18,tinyimagenet,4,1004,11,1.127647,,4.70143,15.85
Rust/tch,resnet18,tinyimagenet,4,1004,12,0.856767,,4.892871,15.87
Rust/tch,resnet18,tinyimagenet,4,1004,13,0.629171,,5.17664,14.99
Rust/tch,resnet18,tinyimagenet,4,1004,14,0.46916,,5.575617,13.49
Rust/tch,resnet18,tinyimagenet,4,1004,15,0.368469,,5.742703,14.23
Rust/tch,resnet18,tinyimagenet,4,1004,16,0.314312,,5.800304,14.49
Rust/tch,resnet18,tinyimagenet,4,1004,17,0.280136,,6.034174,14.31
Rust/tch,resnet18,tinyimagenet,4,1004,18,0.258796,,6.18013,14.72
Rust/tch,resnet18,tinyimagenet,4,1004,19,0.247098,,6.336197,14.34
Rust/tch,resnet18,tinyimagenet,4,1004,20,0.219292,,6.487713,14.19
Rust/tch,resnet18,tinyimagenet,4,1004,21,0.212023,,6.840791,13.11
Rust/tch,resnet18,tinyimagenet,4,1004,22,0.197844,,6.701929,14.64
Rust/tch,resnet18,tinyimagenet,4,1004,23,0.200881,,6.883591,14.4
Rust/tch,resnet18,tinyimagenet,4,1004,24,0.178532,,7.028827,13.65
Rust/tch,resnet18,tinyimagenet,4,1004,25,0.191808,,7.052576,13.99
Rust/tch,resnet18,tinyimagenet,4,1004,26,0.186462,,7.037271,14.26
Rust/tch,resnet18,tinyimagenet,4,1004,27,0.159623,,7.23009,14.26
Rust/tch,resnet18,tinyimagenet,4,1004,28,0.1585,,7.19949,14.43
Rust/tch,resnet18,tinyimagenet,4,1004,29,0.180578,,7.352475,13.85
Rust/tch,resnet18,tinyimagenet,4,1004,30,0.144523,,7.339298,14.39
