ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
Rust/tch,vgg16,cifar100,2,1002,1,4.535691,,4.351416,2.06
Rust/tch,vgg16,cifar100,2,1002,2,4.164362,,3.975134,5.84
Rust/tch,vgg16,cifar100,2,1002,3,3.823516,,3.736364,9.32
Rust/tch,vgg16,cifar100,2,1002,4,3.560199,,3.494819,14.2
Rust/tch,vgg16,cifar100,2,1002,5,3.313479,,3.307783,17.69
Rust/tch,vgg16,cifar100,2,1002,6,3.083124,,3.214208,20.47
Rust/tch,vgg16,cifar100,2,1002,7,2.849244,,3.096076,22.74
Rust/tch,vgg16,cifar100,2,1002,8,2.604729,,3.013885,26.11
Rust/tch,vgg16,cifar100,2,1002,9,2.361976,,3.018604,26.73
Rust/tch,vgg16,cifar100,2,1002,10,2.106153,,3.040421,28.22
Rust/tch,vgg16,cifar100,2,1002,11,1.851613,,3.179635,28.79
Rust/tch,vgg16,cifar100,2,1002,12,1.602835,,3.327038,28.77
Rust/tch,vgg16,cifar100,2,1002,13,1.375165,,3.61719,29.14
Rust/tch,vgg16,cifar100,2,1002,14,1.172671,,3.84108,30.18
Rust/tch,vgg16,cifar100,2,1002,15,1.015852,,4.002749,30.29
Rust/tch,vgg16,cifar100,2,1002,16,0.84758,,4.309834,30.34
Rust/tch,vgg16,cifar100,2,1002,17,0.738724,,4.347785,30.62
Rust/tch,vgg16,cifar100,2,1002,18,0.633521,,4.632854,31.02
Rust/tch,vgg16,cifar100,2,1002,19,0.550219,,4.875073,31.42
Rust/tch,vgg16,cifar100,2,1002,20,0.473408,,5.020702,30.93
Rust/tch,vgg16,cifar100,2,1002,21,0.415371,,5.506492,31.08
Rust/tch,vgg16,cifar100,2,1002,22,0.381454,,5.110413,32.01
Rust/tch,vgg16,cifar100,2,1002,23,0.338198,,5.225348,31.79
Rust/tch,vgg16,cifar100,2,1002,24,0.306166,,5.636703,31.29
Rust/tch,vgg16,cifar100,2,1002,25,0.288746,,5.489451,31.89
Rust/tch,vgg16,cifar100,2,1002,26,0.260136,,5.28114,32.1
Rust/tch,vgg16,cifar100,2,1002,27,0.249498,,5.479676,31.36
Rust/tch,vgg16,cifar100,2,1002,28,0.235191,,5.404133,32.66
Rust/tch,vgg16,cifar100,2,1002,29,0.219031,,5.917701,32.19
Rust/tch,vgg16,cifar100,2,1002,30,0.203974,,5.915941,32.21
