phase,epoch,duration_s,gpu_j,cpu_package-0@intel-rapl:0_j,cpu_core@intel-rapl:0:0_j,cpu_package_total_j,hw_total_j
train,1,16.528355,5340.736,833.811021,18.465277,833.811021,6174.547021
eval,1,0.783177,209.134,40.751997,0.885071,40.751997,249.885997
train,2,16.22792,5417.397,815.567213,18.028563,815.567213,6232.964213
eval,2,0.748745,242.948,38.638703,0.90219,38.638703,281.586703
train,3,16.24509,5403.667,819.168773,18.493825,819.168773,6222.835773
eval,3,0.752784,212.436,38.471781,0.858918,38.471781,250.907781
train,4,16.270961,5401.863,817.065229,18.416498,817.065229,6218.928229
eval,4,0.750852,221.558,38.544317,0.84476,38.544317,260.102317
train,5,16.289141,5410.083,819.256232,18.778402,819.256232,6229.339232
eval,5,0.748716,245.487,38.603259,0.957409,38.603259,284.090259
train,6,16.296084,5424.939,818.672491,19.05448,818.672491,6243.611491
eval,6,0.746366,240.414,39.29736,1.209806,39.29736,279.71136
train,7,16.301438,5466.235,821.960331,20.316927,821.960331,6288.195331
eval,7,0.750826,244.816,38.858464,1.017296,38.858464,283.674464
train,8,16.298515,5412.215,825.777424,20.798012,825.777424,6237.992424
eval,8,0.747542,241.271,39.108604,1.011758,39.108604,280.379604
train,9,16.303334,5454.52,825.812717,19.788085,825.812717,6280.332717
eval,9,0.748776,245.309,38.798516,0.980632,38.798516,284.107516
train,10,16.303807,5428.218,827.90262,19.222959,827.90262,6256.12062
eval,10,0.751463,244.755,38.851842,0.893066,38.851842,283.606842
train,11,16.30875,5434.362,828.346628,19.07575,828.346628,6262.708628
eval,11,0.748038,244.952,39.066217,1.128528,39.066217,284.018217
train,12,16.293006,5431.198,833.832672,19.744951,833.832672,6265.030672
eval,12,0.75092,243.192,39.219728,0.88295,39.219728,282.411728
train,13,16.300751,5462.068,832.775537,18.641095,832.775537,6294.843537
eval,13,0.749543,242.873,40.240213,0.874436,40.240213,283.113213
train,14,16.295898,5425.551,829.037571,18.660992,829.037571,6254.588571
eval,14,0.750104,241.201,39.199922,0.901061,39.199922,280.400922
train,15,16.308284,5440.71,834.871971,19.303719,834.871971,6275.581971
eval,15,0.755025,246.454,39.429738,0.940687,39.429738,285.883738
train,16,16.30046,5456.245,834.603568,20.498177,834.603568,6290.848568
eval,16,0.749758,222.938,39.433782,0.928083,39.433782,262.371782
train,17,16.298092,5443.41,837.84812,19.62844,837.84812,6281.25812
eval,17,0.755988,223.702,39.471622,0.895843,39.471622,263.173622
train,18,16.299051,5431.58,836.726718,20.13226,836.726718,6268.306718
eval,18,0.748847,244.835,39.415214,0.944608,39.415214,284.250214
train,19,16.294307,5450.082,843.668833,19.7854,843.668833,6293.750833
eval,19,0.752519,243.745,39.393334,0.882538,39.393334,283.138334
train,20,16.299501,5434.429,844.505246,18.28502,844.505246,6278.934246
eval,20,0.753095,243.971,40.945316,0.715189,40.945316,284.916316
train,21,16.300675,5430.533,849.399768,15.28168,849.399768,6279.932768
eval,21,0.755658,246.88,39.975945,0.73597,39.975945,286.855945
train,22,16.297945,5480.275,849.369543,16.041803,849.369543,6329.644543
eval,22,0.752501,247.458,39.822938,0.864869,39.822938,287.280938
train,23,16.297315,5441.033,849.700626,15.794441,849.700626,6290.733626
eval,23,0.749889,244.204,40.032033,0.718652,40.032033,284.236033
train,24,16.301277,5461.768,853.679424,15.653777,853.679424,6315.447424
eval,24,0.749354,244.036,40.26101,0.758551,40.26101,284.29701
train,25,16.294333,5484.947,851.898525,16.612208,851.898525,6336.845525
eval,25,0.756247,244.408,40.227701,0.872865,40.227701,284.635701
train,26,16.305514,5432.021,855.381057,16.148991,855.381057,6287.402057
eval,26,0.758943,243.95,40.450316,0.766333,40.450316,284.400316
train,27,16.301082,5450.8,855.205697,16.879208,855.205697,6306.005697
eval,27,0.755357,240.93,41.012939,1.007379,41.012939,281.942939
train,28,16.305785,5452.156,858.648756,16.8867,858.648756,6310.804756
eval,28,0.750299,246.951,39.975655,0.722176,39.975655,286.926655
train,29,16.291943,5473.086,856.756398,16.176516,856.756398,6329.842398
eval,29,0.752132,243.075,40.106813,0.737144,40.106813,283.181813
train,30,16.29163,5443.185,851.295423,15.359466,851.295423,6294.480423
eval,30,0.748579,244.164,40.153059,0.749382,40.153059,284.317059
