ecosystem,model,dataset,repetition,seed,epoch,train_loss,train_acc,test_loss,test_acc
Rust/tch,vgg16,fashionmnist,4,1004,1,0.695413,,0.412534,85.68
Rust/tch,vgg16,fashionmnist,4,1004,2,0.349362,,0.303791,88.98
Rust/tch,vgg16,fashionmnist,4,1004,3,0.275603,,0.274428,90.06
Rust/tch,vgg16,fashionmnist,4,1004,4,0.229497,,0.249876,91.09
Rust/tch,vgg16,fashionmnist,4,1004,5,0.205198,,0.260926,90.56
Rust/tch,vgg16,fashionmnist,4,1004,6,0.176315,,0.244397,91.42
Rust/tch,vgg16,fashionmnist,4,1004,7,0.156767,,0.237735,92.0
Rust/tch,vgg16,fashionmnist,4,1004,8,0.138317,,0.259581,91.69
Rust/tch,vgg16,fashionmnist,4,1004,9,0.120935,,0.245104,91.97
Rust/tch,vgg16,fashionmnist,4,1004,10,0.105398,,0.280483,91.7
Rust/tch,vgg16,fashionmnist,4,1004,11,0.093651,,0.270224,92.16
Rust/tch,vgg16,fashionmnist,4,1004,12,0.082348,,0.269177,92.12
Rust/tch,vgg16,fashionmnist,4,1004,13,0.072004,,0.287314,92.2
Rust/tch,vgg16,fashionmnist,4,1004,14,0.060176,,0.277539,92.6
Rust/tch,vgg16,fashionmnist,4,1004,15,0.055383,,0.315149,92.25
Rust/tch,vgg16,fashionmnist,4,1004,16,0.052538,,0.346903,92.09
Rust/tch,vgg16,fashionmnist,4,1004,17,0.0489,,0.344022,92.2
Rust/tch,vgg16,fashionmnist,4,1004,18,0.040982,,0.334486,92.29
Rust/tch,vgg16,fashionmnist,4,1004,19,0.040195,,0.345102,92.33
Rust/tch,vgg16,fashionmnist,4,1004,20,0.038835,,0.34206,92.02
Rust/tch,vgg16,fashionmnist,4,1004,21,0.034451,,0.366791,92.48
Rust/tch,vgg16,fashionmnist,4,1004,22,0.032813,,0.392863,92.41
Rust/tch,vgg16,fashionmnist,4,1004,23,0.027506,,0.375068,91.95
Rust/tch,vgg16,fashionmnist,4,1004,24,0.029343,,0.430498,92.23
Rust/tch,vgg16,fashionmnist,4,1004,25,0.024471,,0.46007,92.08
Rust/tch,vgg16,fashionmnist,4,1004,26,0.028112,,0.356427,92.28
Rust/tch,vgg16,fashionmnist,4,1004,27,0.023976,,0.415869,92.32
Rust/tch,vgg16,fashionmnist,4,1004,28,0.022522,,0.446891,92.2
Rust/tch,vgg16,fashionmnist,4,1004,29,0.02067,,0.528983,92.22
Rust/tch,vgg16,fashionmnist,4,1004,30,0.023128,,0.488631,92.09
