modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,model,language
ResNet18,CIFAR100,train,1,2025-09-04T15:55:20,codecarbon,f704ba9b-fe34-4efd-a58b-3bfaac1e4c31,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,68.58012765995227,0.0008530588762408,1.2438863929660424e-05,42.5,82.05590447789199,0.0373377799987793,0.0008063707486438,0.0017723816956802,6.622722648847187e-07,0.002579414716589,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,1,2025-09-04T15:55:37,codecarbon,594b7080-5b5b-468e-bbd4-653c7b51ced5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.551242504967377,0.000154775285567,1.23314712073998e-05,42.5,98.43272698774066,0.0378999710083007,0.0001477045287723,0.0003201710894735,1.221489366989515e-07,0.0004679977671826,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,2,2025-09-04T15:56:50,codecarbon,50dc33c4-3136-4513-ae97-02236cbf89f9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,68.92010880599264,0.0008581204513967,1.2450944524947636e-05,42.5,92.83976928256044,0.0379528999328613,0.0008102804929975,0.0017837639270119,6.751035627730338e-07,0.0025947195235722,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,2,2025-09-04T15:57:07,codecarbon,9a1dc6c5-9263-4e56-b213-0f5ea362ec7a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.187608796055429,0.0001500962566845,1.2315480353548142e-05,42.5,87.93729851045809,0.037975788116455,0.0001433918741148,0.0003103388593821,1.1894110358027285e-07,0.0004538496746005,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,3,2025-09-04T15:58:21,codecarbon,ca9fef26-9779-4bda-8852-8e0b139ee8da,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,69.0651733209379,0.0008596551369046,1.2447013387049635e-05,42.5,87.73405061447593,0.0380086898803711,0.00081220981871,0.0017864717069535,6.784635254396701e-07,0.002599359989189,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,3,2025-09-04T15:58:37,codecarbon,78cdb4a5-67fd-4e61-9272-1972376beeba,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.95806623401586,0.0001474575697475,1.233122202719868e-05,42.5,94.92369500384528,0.0380244255065918,0.0001405457957737,0.0003052080219418,1.1719549681446257e-07,0.0004458710132124,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,4,2025-09-04T15:59:51,codecarbon,8b5533a9-d28a-4bc5-b708-58d7e6c792db,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,69.573565636063,0.000865831446451,1.2444833587805082e-05,42.5,82.3615239867801,0.0381231307983398,0.0008181648145728,0.0017991861615662,6.844693190992365e-07,0.0026180354454581,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,4,2025-09-04T16:00:08,codecarbon,a57ad1f1-a56a-45bf-824d-1e3b78fdb650,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.720473140012473,0.000144009486089,1.228700278297194e-05,42.5,86.58724750883724,0.0381388664245605,0.0001377690252408,0.0002975607936051,1.151405729251186e-07,0.0004354449594188,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,train,5,2025-09-04T16:01:21,codecarbon,3d1b1d2b-44e7-4172-8b55-7d8d2e6ac83f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,68.85569276101887,0.00085695073068,1.2445604659796197e-05,42.5,100.7442193101242,0.0381488800048828,0.000809747889813,0.0017807555912732,6.791297181921675e-07,0.0025911826108044,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
ResNet18,CIFAR100,eval,5,2025-09-04T16:01:38,codecarbon,e12c86ba-0877-4e59-a7c2-cccdca3f76e0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.175517034018412,0.000149853789941,1.2307796828859388e-05,42.5,0.0,0.0381546020507812,0.000143059385657,0.0003099280257217,1.291106762981683e-07,0.000453116522055,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,2.8.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,process,N,1.0,resnet18,R
