ecosystem,model,dataset,phase,n_runs,mean_energy_J,ci95_lo_J,ci95_hi_J,sd_J,cv_pct
C++/LibTorch,resnet18,cifar100,Inference,5,81.039,80.285,81.881,1.049,1.294
C++/LibTorch,resnet18,cifar100,Training,5,1024.635,1016.054,1032.794,10.684,1.043
C++/LibTorch,resnet18,fashionmnist,Inference,5,57.121,55.684,58.268,1.684,2.949
C++/LibTorch,resnet18,fashionmnist,Training,5,1219.661,1210.424,1228.898,11.979,0.982
C++/LibTorch,resnet18,tinyimagenet,Inference,5,151.072,149.866,152.21,1.474,0.976
C++/LibTorch,resnet18,tinyimagenet,Training,5,2408.354,2392.85,2420.466,17.373,0.721
C++/LibTorch,vgg16,cifar100,Inference,5,192.858,190.133,194.957,3.037,1.575
C++/LibTorch,vgg16,cifar100,Training,5,5368.693,5352.893,5386.221,20.958,0.39
C++/LibTorch,vgg16,fashionmnist,Inference,5,188.319,185.473,191.166,3.615,1.92
C++/LibTorch,vgg16,fashionmnist,Training,5,6440.504,6425.575,6458.276,20.612,0.32
C++/LibTorch,vgg16,tinyimagenet,Inference,5,259.462,256.651,262.3,3.6,1.388
C++/LibTorch,vgg16,tinyimagenet,Training,5,10829.419,10780.174,10874.239,60.061,0.555
Java/DL4J,resnet18,cifar100,Inference,5,587.96,584.125,591.183,4.638,0.789
Java/DL4J,resnet18,cifar100,Training,5,8979.862,8930.454,9009.602,55.325,0.616
Java/DL4J,resnet18,fashionmnist,Inference,5,584.494,583.775,585.227,0.951,0.163
Java/DL4J,resnet18,fashionmnist,Training,5,10769.941,10726.445,10806.767,49.127,0.456
Java/DL4J,resnet18,tinyimagenet,Inference,5,616.013,610.969,622.544,7.696,1.249
Java/DL4J,resnet18,tinyimagenet,Training,5,18164.174,18088.644,18235.961,94.168,0.518
Java/DL4J,vgg16,cifar100,Inference,5,1149.816,1144.657,1155.257,6.648,0.578
Java/DL4J,vgg16,cifar100,Training,5,16718.669,16695.662,16741.784,30.356,0.182
Java/DL4J,vgg16,fashionmnist,Inference,5,1146.307,1142.442,1150.172,5.008,0.437
Java/DL4J,vgg16,fashionmnist,Training,5,20094.033,20073.369,20117.087,28.762,0.143
Java/DL4J,vgg16,tinyimagenet,Inference,5,1155.397,1150.586,1161.083,6.34,0.549
Java/DL4J,vgg16,tinyimagenet,Training,5,33533.987,33452.316,33612.757,105.037,0.313
Python/JAX,resnet18,cifar100,Inference,5,68.114,67.607,68.625,0.662,0.972
Python/JAX,resnet18,cifar100,Training,5,616.531,613.941,618.937,3.441,0.558
Python/JAX,resnet18,fashionmnist,Inference,5,50.545,50.288,50.823,0.356,0.705
Python/JAX,resnet18,fashionmnist,Training,5,677.559,674.478,681.088,4.169,0.615
Python/JAX,resnet18,tinyimagenet,Inference,5,149.729,148.136,151.154,1.961,1.309
Python/JAX,resnet18,tinyimagenet,Training,5,1920.68,1901.397,1939.964,24.798,1.291
Python/JAX,vgg16,cifar100,Inference,5,120.785,118.913,122.644,2.43,2.012
Python/JAX,vgg16,cifar100,Training,5,2114.839,2102.375,2126.599,15.896,0.752
Python/JAX,vgg16,fashionmnist,Inference,5,112.663,110.922,114.535,2.34,2.077
Python/JAX,vgg16,fashionmnist,Training,5,2534.552,2529.297,2538.1,5.91,0.233
Python/JAX,vgg16,tinyimagenet,Inference,5,239.104,237.83,240.377,1.618,0.677
Python/JAX,vgg16,tinyimagenet,Training,5,4287.106,4273.779,4299.677,15.985,0.373
Python/PyTorch,resnet18,cifar100,Inference,5,229.064,225.406,233.101,4.956,2.164
Python/PyTorch,resnet18,cifar100,Training,5,3565.103,3550.377,3579.829,18.639,0.523
Python/PyTorch,resnet18,fashionmnist,Inference,5,252.231,234.974,269.405,23.113,9.163
Python/PyTorch,resnet18,fashionmnist,Training,5,4287.788,4273.122,4299.781,16.711,0.39
Python/PyTorch,resnet18,tinyimagenet,Inference,5,387.561,384.759,391.81,4.546,1.173
Python/PyTorch,resnet18,tinyimagenet,Training,5,7216.951,7204.941,7228.961,15.384,0.213
Python/PyTorch,vgg16,cifar100,Inference,5,366.261,362.765,368.853,4.031,1.101
Python/PyTorch,vgg16,cifar100,Training,5,5497.524,5479.796,5514.73,22.625,0.412
Python/PyTorch,vgg16,fashionmnist,Inference,5,363.48,361.715,365.001,2.212,0.609
Python/PyTorch,vgg16,fashionmnist,Training,5,6592.738,6570.695,6614.781,28.933,0.439
Python/PyTorch,vgg16,tinyimagenet,Inference,5,486.911,482.829,489.687,4.429,0.91
Python/PyTorch,vgg16,tinyimagenet,Training,5,11087.307,11049.138,11125.477,49.478,0.446
Python/TensorFlow,resnet18,cifar100,Inference,5,72.964,72.129,73.88,1.116,1.53
Python/TensorFlow,resnet18,cifar100,Training,5,981.73,976.588,988.856,7.811,0.796
Python/TensorFlow,resnet18,fashionmnist,Inference,5,58.145,57.574,58.715,0.721,1.24
Python/TensorFlow,resnet18,fashionmnist,Training,5,1160.074,1152.078,1166.95,9.485,0.818
Python/TensorFlow,resnet18,tinyimagenet,Inference,5,156.145,155.389,157.033,1.036,0.664
Python/TensorFlow,resnet18,tinyimagenet,Training,5,2453.995,2446.223,2461.767,10.007,0.408
Python/TensorFlow,vgg16,cifar100,Inference,5,136.364,134.478,137.965,2.242,1.644
Python/TensorFlow,vgg16,cifar100,Training,5,3282.546,3274.458,3290.635,10.582,0.322
Python/TensorFlow,vgg16,fashionmnist,Inference,5,136.628,134.332,138.324,2.559,1.873
Python/TensorFlow,vgg16,fashionmnist,Training,5,3913.469,3906.078,3921.089,10.007,0.256
Python/TensorFlow,vgg16,tinyimagenet,Inference,5,256.931,254.592,260.27,3.641,1.417
Python/TensorFlow,vgg16,tinyimagenet,Training,5,6598.003,6577.675,6618.33,26.049,0.395
R/torch,resnet18,cifar100,Inference,5,2411.345,2388.082,2430.001,26.246,1.088
R/torch,resnet18,cifar100,Training,5,9619.0,9526.443,9691.279,102.872,1.069
R/torch,resnet18,fashionmnist,Inference,5,2676.464,2651.371,2690.47,27.603,1.031
R/torch,resnet18,fashionmnist,Training,5,12967.086,12838.253,13058.703,141.72,1.093
R/torch,resnet18,tinyimagenet,Inference,5,2672.105,2652.947,2688.005,22.963,0.859
R/torch,resnet18,tinyimagenet,Training,5,20052.66,19933.627,20164.195,148.497,0.741
R/torch,vgg16,cifar100,Inference,5,2348.92,2339.343,2358.497,12.531,0.533
R/torch,vgg16,cifar100,Training,5,9064.79,9029.764,9099.816,44.889,0.495
R/torch,vgg16,fashionmnist,Inference,5,2628.85,2622.44,2636.542,9.471,0.36
R/torch,vgg16,fashionmnist,Training,5,12341.993,12312.072,12371.64,39.112,0.317
R/torch,vgg16,tinyimagenet,Inference,5,2633.108,2622.31,2646.927,15.702,0.596
R/torch,vgg16,tinyimagenet,Training,5,19652.125,19606.568,19699.654,59.892,0.305
Rust/tch,resnet18,cifar100,Inference,5,113.453,111.934,115.033,2.032,1.791
Rust/tch,resnet18,cifar100,Training,5,1293.891,1284.2,1301.597,11.179,0.864
