ecosystem,model,dataset,repetition,final_test_acc_pct,train_energy_total_J,acc_per_kJ,target_acc_pct,energy_to_target_J
C++/LibTorch,resnet18,cifar100,0,29.58,27130.884,1.09,30.0,3633.965
C++/LibTorch,resnet18,cifar100,1,30.89,27110.565,1.139,30.0,3612.601
C++/LibTorch,resnet18,cifar100,2,28.99,27196.663,1.066,30.0,4567.654
C++/LibTorch,resnet18,cifar100,3,30.21,27305.401,1.106,30.0,4577.506
C++/LibTorch,resnet18,cifar100,4,27.88,27099.888,1.029,30.0,4540.889
C++/LibTorch,resnet18,fashionmnist,0,90.23,32370.174,2.787,85.0,1141.768
C++/LibTorch,resnet18,fashionmnist,1,90.08,32803.783,2.746,85.0,1171.744
C++/LibTorch,resnet18,fashionmnist,2,90.33,32244.006,2.801,85.0,1147.282
C++/LibTorch,resnet18,fashionmnist,3,90.48,32272.059,2.804,85.0,1140.208
C++/LibTorch,resnet18,fashionmnist,4,90.2,32272.109,2.795,85.0,1142.141
C++/LibTorch,resnet18,tinyimagenet,0,14.6,54080.838,0.27,20.0,
C++/LibTorch,resnet18,tinyimagenet,1,14.54,55252.88,0.263,20.0,
C++/LibTorch,resnet18,tinyimagenet,2,13.93,55614.45,0.25,20.0,
C++/LibTorch,resnet18,tinyimagenet,3,13.73,55415.087,0.248,20.0,
C++/LibTorch,resnet18,tinyimagenet,4,13.67,55303.783,0.247,20.0,
C++/LibTorch,vgg16,cifar100,0,32.12,70469.224,0.456,30.0,32817.688
C++/LibTorch,vgg16,cifar100,1,31.24,70490.376,0.443,30.0,30393.377
C++/LibTorch,vgg16,cifar100,2,32.59,70415.027,0.463,30.0,30373.312
C++/LibTorch,vgg16,cifar100,3,35.05,70905.237,0.494,30.0,23475.534
C++/LibTorch,vgg16,cifar100,4,34.05,71006.184,0.48,30.0,26028.162
C++/LibTorch,vgg16,fashionmnist,0,92.87,84818.287,1.095,85.0,5654.213
C++/LibTorch,vgg16,fashionmnist,1,91.93,85228.16,1.079,85.0,5706.044
C++/LibTorch,vgg16,fashionmnist,2,92.91,85136.042,1.091,85.0,5672.093
C++/LibTorch,vgg16,fashionmnist,3,93.05,84940.379,1.095,85.0,5636.853
C++/LibTorch,vgg16,fashionmnist,4,92.51,84766.22,1.091,85.0,5644.069
C++/LibTorch,vgg16,tinyimagenet,0,15.25,142397.513,0.107,20.0,
C++/LibTorch,vgg16,tinyimagenet,1,14.64,142973.224,0.102,20.0,
C++/LibTorch,vgg16,tinyimagenet,2,14.72,143465.711,0.103,20.0,
C++/LibTorch,vgg16,tinyimagenet,3,14.34,143569.715,0.1,20.0,
C++/LibTorch,vgg16,tinyimagenet,4,15.5,142752.552,0.109,20.0,
Java/DL4J,resnet18,cifar100,0,29.05,234056.671,0.124,30.0,46367.842
Java/DL4J,resnet18,cifar100,1,27.59,237209.789,0.116,30.0,31234.597
Java/DL4J,resnet18,cifar100,2,28.6,238084.46,0.12,30.0,47323.075
Java/DL4J,resnet18,cifar100,3,27.26,239062.848,0.114,30.0,46906.853
Java/DL4J,resnet18,cifar100,4,30.0,237205.717,0.126,30.0,38978.112
