ecosystem,model,dataset,repetition,phase,energy_j,duration_s,gpu_j,cpu_j,power_w
Cpp/LibTorch,resnet18,cifar100,0,Inference,2200.211664,11.135892,1567.643,632.568664,197.57839461805125
Cpp/LibTorch,resnet18,cifar100,0,Training,27266.274665,88.210056,22312.872,4953.402665,309.10619379949156
Cpp/LibTorch,resnet18,cifar100,1,Inference,2175.810836,10.989754,1546.066,629.744836,197.98539949119882
Cpp/LibTorch,resnet18,cifar100,1,Training,27395.667421,88.446042,22410.552,4985.1154209999995,309.7444136731409
Cpp/LibTorch,resnet18,cifar100,2,Inference,2143.098832,11.060391,1521.114,621.984832,193.7633879308607
Cpp/LibTorch,resnet18,cifar100,2,Training,26748.522322,87.867167,21913.29,4835.232322,304.4199925325919
Cpp/LibTorch,resnet18,cifar100,3,Inference,2223.414377,11.016988,1590.29,633.124377,201.81690104409665
Cpp/LibTorch,resnet18,cifar100,3,Training,27492.032822,88.641872,22481.455,5010.577822,310.147249845987
Cpp/LibTorch,resnet18,cifar100,4,Inference,2158.298785,10.92577,1544.256,614.042785,197.5420299896483
Cpp/LibTorch,resnet18,cifar100,4,Training,26878.513125,88.01021,22050.797,4827.716125,305.4022155497641
Cpp/LibTorch,resnet18,fashionmnist,0,Inference,1528.26464,7.70221,1092.549,435.71564,198.41897844904256
Cpp/LibTorch,resnet18,fashionmnist,0,Training,32101.726882,104.652641,26540.405,5561.321882,306.74550183592595
Cpp/LibTorch,resnet18,fashionmnist,1,Inference,1587.095926,7.591012,1145.933,441.16292599999997,209.07567080647482
Cpp/LibTorch,resnet18,fashionmnist,1,Training,32694.362368,105.31452900000001,26921.942,5772.420368,310.4449374501784
Cpp/LibTorch,resnet18,fashionmnist,2,Inference,1510.036168,7.589219,1075.993,434.043168,198.97122062230648
Cpp/LibTorch,resnet18,fashionmnist,2,Training,32387.117527,105.085098,26768.535,5618.582527,308.19895630682095
Cpp/LibTorch,resnet18,fashionmnist,3,Inference,1447.592977,7.455368,1029.773,417.819977,194.16787702498388
Cpp/LibTorch,resnet18,fashionmnist,3,Training,31803.739814,104.617402,26313.459,5490.280814,304.0004741658563
Cpp/LibTorch,resnet18,fashionmnist,4,Inference,1545.372045,7.471555,1112.352,433.020045,206.8340586397343
Cpp/LibTorch,resnet18,fashionmnist,4,Training,32576.455722,104.91711,26928.682,5647.773722,310.49707451911326
