model,dataset,phase,n_ecosystems,spearman_rho,p,discordant_pairs,total_pairs
resnet18,cifar100,Inference,7,1.0,0.0,0,21
resnet18,cifar100,Training,7,0.679,0.09375025395983135,5,21
resnet18,fashionmnist,Inference,7,0.964,0.00045414916919416935,1,21
resnet18,fashionmnist,Training,7,0.929,0.0025194724037946887,2,21
resnet18,tinyimagenet,Inference,7,0.893,0.006807187408935393,2,21
resnet18,tinyimagenet,Training,7,0.857,0.013697326615325618,3,21
vgg16,cifar100,Inference,7,0.964,0.00045414916919416935,1,21
vgg16,cifar100,Training,7,0.964,0.00045414916919416935,1,21
vgg16,fashionmnist,Inference,7,0.929,0.0025194724037946887,2,21
vgg16,fashionmnist,Training,7,0.964,0.00045414916919416935,1,21
vgg16,tinyimagenet,Inference,7,0.929,0.0025194724037946887,2,21
vgg16,tinyimagenet,Training,7,0.964,0.00045414916919416935,1,21
