model,dataset,phase,a,b,median_a_J,median_b_J,p_raw,p_holm,significant,cliffs_delta,magnitude
resnet18,cifar100,Inference,Cpp/LibTorch,Java/DL4J,2175.8,16375.0,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,Cpp/LibTorch,Python/JAX,2175.8,1816.3,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Inference,Cpp/LibTorch,Python/PyTorch,2175.8,6212.2,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,Cpp/LibTorch,Python/TensorFlow,2175.8,1953.4,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Inference,Cpp/LibTorch,R/torch,2175.8,64888.0,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,Cpp/LibTorch,Rust/tch,2175.8,3030.5,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,Java/DL4J,Python/JAX,16375.0,1816.3,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Inference,Java/DL4J,Python/PyTorch,16375.0,6212.2,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Inference,Java/DL4J,Python/TensorFlow,16375.0,1953.4,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Inference,Java/DL4J,R/torch,16375.0,64888.0,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,Java/DL4J,Rust/tch,16375.0,3030.5,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Inference,Python/JAX,Python/PyTorch,1816.3,6212.2,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,Python/JAX,Python/TensorFlow,1816.3,1953.4,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,Python/JAX,R/torch,1816.3,64888.0,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,Python/JAX,Rust/tch,1816.3,3030.5,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,Python/PyTorch,Python/TensorFlow,6212.2,1953.4,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Inference,Python/PyTorch,R/torch,6212.2,64888.0,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,Python/PyTorch,Rust/tch,6212.2,3030.5,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Inference,Python/TensorFlow,R/torch,1953.4,64888.0,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,Python/TensorFlow,Rust/tch,1953.4,3030.5,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Inference,R/torch,Rust/tch,64888.0,3030.5,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Training,Cpp/LibTorch,Java/DL4J,27266.3,249988.2,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Cpp/LibTorch,Python/JAX,27266.3,17492.6,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Training,Cpp/LibTorch,Python/PyTorch,27266.3,101651.3,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Cpp/LibTorch,Python/TensorFlow,27266.3,27780.1,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Cpp/LibTorch,R/torch,27266.3,260338.1,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Cpp/LibTorch,Rust/tch,27266.3,36104.8,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Java/DL4J,Python/JAX,249988.2,17492.6,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Training,Java/DL4J,Python/PyTorch,249988.2,101651.3,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Training,Java/DL4J,Python/TensorFlow,249988.2,27780.1,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Training,Java/DL4J,R/torch,249988.2,260338.1,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Java/DL4J,Rust/tch,249988.2,36104.8,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Training,Python/JAX,Python/PyTorch,17492.6,101651.3,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Python/JAX,Python/TensorFlow,17492.6,27780.1,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Python/JAX,R/torch,17492.6,260338.1,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Python/JAX,Rust/tch,17492.6,36104.8,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Python/PyTorch,Python/TensorFlow,101651.3,27780.1,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Training,Python/PyTorch,R/torch,101651.3,260338.1,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Python/PyTorch,Rust/tch,101651.3,36104.8,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,cifar100,Training,Python/TensorFlow,R/torch,27780.1,260338.1,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,Python/TensorFlow,Rust/tch,27780.1,36104.8,0.007936507936507936,0.16666666666666666,False,-1.0,large
resnet18,cifar100,Training,R/torch,Rust/tch,260338.1,36104.8,0.007936507936507936,0.16666666666666666,False,1.0,large
resnet18,fashionmnist,Inference,Cpp/LibTorch,Java/DL4J,1528.3,16249.4,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Inference,Cpp/LibTorch,Python/JAX,1528.3,1330.6,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,fashionmnist,Inference,Cpp/LibTorch,Python/PyTorch,1528.3,7367.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Inference,Cpp/LibTorch,Python/TensorFlow,1528.3,1541.6,0.42063492063492064,0.42063492063492064,False,-0.36,medium
resnet18,fashionmnist,Inference,Cpp/LibTorch,R/torch,1528.3,72277.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Inference,Java/DL4J,Python/JAX,16249.4,1330.6,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,fashionmnist,Inference,Java/DL4J,Python/PyTorch,16249.4,7367.3,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,fashionmnist,Inference,Java/DL4J,Python/TensorFlow,16249.4,1541.6,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,fashionmnist,Inference,Java/DL4J,R/torch,16249.4,72277.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Inference,Python/JAX,Python/PyTorch,1330.6,7367.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Inference,Python/JAX,Python/TensorFlow,1330.6,1541.6,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Inference,Python/JAX,R/torch,1330.6,72277.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Inference,Python/PyTorch,Python/TensorFlow,7367.3,1541.6,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,fashionmnist,Inference,Python/PyTorch,R/torch,7367.3,72277.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Inference,Python/TensorFlow,R/torch,1541.6,72277.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Training,Cpp/LibTorch,Java/DL4J,32387.1,299225.2,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Training,Cpp/LibTorch,Python/JAX,32387.1,19169.6,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,fashionmnist,Training,Cpp/LibTorch,Python/PyTorch,32387.1,122621.8,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Training,Cpp/LibTorch,Python/TensorFlow,32387.1,32970.1,0.031746031746031744,0.11904761904761904,False,-0.84,large
resnet18,fashionmnist,Training,Cpp/LibTorch,R/torch,32387.1,351167.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Training,Java/DL4J,Python/JAX,299225.2,19169.6,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,fashionmnist,Training,Java/DL4J,Python/PyTorch,299225.2,122621.8,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,fashionmnist,Training,Java/DL4J,Python/TensorFlow,299225.2,32970.1,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,fashionmnist,Training,Java/DL4J,R/torch,299225.2,351167.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Training,Python/JAX,Python/PyTorch,19169.6,122621.8,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Training,Python/JAX,Python/TensorFlow,19169.6,32970.1,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Training,Python/JAX,R/torch,19169.6,351167.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Training,Python/PyTorch,Python/TensorFlow,122621.8,32970.1,0.007936507936507936,0.11904761904761904,False,1.0,large
resnet18,fashionmnist,Training,Python/PyTorch,R/torch,122621.8,351167.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,fashionmnist,Training,Python/TensorFlow,R/torch,32970.1,351167.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Inference,Cpp/LibTorch,Java/DL4J,4084.3,17119.2,0.007936507936507936,0.11904761904761904,False,-1.0,large
resnet18,tinyimagenet,Inference,Cpp/LibTorch,Python/JAX,4084.3,4018.7,0.09523809523809523,0.11904761904761904,False,0.68,large
resnet18,tinyimagenet,Inference,Cpp/LibTorch,Python/PyTorch,4084.3,10655.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
